StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
131,GPS Resaldar Abad ( C ),32.03633554,70.94242253,Combined,KPK,1,1,353,297
115,GHS Band Korai (M),32.038227086738644,70.9061079574296,Male,KPK,3,0,1063,0
116,GHS Band Korai (F),32.03825,70.90613,Female,KPK,0,2,0,849
92,GPS Pir Ashaab (M),32.0392722,70.9706694,Male,KPK,2,0,780,0
95,GGMS Cha Shehzad Kachi (F),32.0392722,70.9706994,Female,KPK,0,2,0,816
130,GGPS Wanda Bochra ( C ),32.0392722,70.9707294,Combined,KPK,2,2,699,592
113,GPS Band Korai No.1 (M),32.03997517039363,70.9066321968102,Male,KPK,4,0,1421,0
114,GGPS Band Korai (F),32.04005237401971,70.90625353820073,Female,KPK,0,3,0,1094
111,GPS Kot Masoodan Band Korai ( C ),32.043370470113196,70.90456666156956,Combined,KPK,2,1,607,436
102,GMS Kala Gorh (M),32.0515231,71.0052573,Male,KPK,4,0,1234,0
103,GGMS Kala Gorh (F),32.0515231,71.0052873,Female,KPK,0,3,0,933
104,GPS Rangpur Shumali (M),32.0515231,71.0053173,Male,KPK,3,0,1154,0
105,GHS Rangpur Shumali (F),32.0515231,71.0053473,Female,KPK,0,2,0,904
108,GMS Shah Dau (M),32.0515231,71.0053773,Male,KPK,2,0,972,0
128,GMS Qazi Khokar (M),32.0515231,71.0054073,Male,KPK,2,0,937,0
129,GPS Qazi Khokar (F),32.0515231,71.0054373,Female,KPK,0,2,0,691
110,GGPS Niazi Abad Shah Dau ( C ),32.0615768,71.0146692,Combined,KPK,1,1,483,399
109,GGMS Shah Dau (F),32.0628,70.99998,Female,KPK,0,2,0,819
118,GPS Rodi Khel (F),32.06940092694055,70.83094560330669,Female,KPK,0,3,0,1139
80,GPS Bigwani Shumali ( C ),32.0716304,71.024081,Combined,KPK,2,1,658,470
81,GHS Bigwani Shumali ( C ),32.0716304,71.024111,Combined,KPK,2,1,676,484
86,GPS Budhan ( C ),32.0716304,71.024141,Combined,KPK,1,1,391,371
87,GGMS Segra ( C ),32.0716304,71.024171,Combined,KPK,1,1,433,350
88,GPS Hafiz Abad ( C ),32.0716304,71.024201,Combined,KPK,2,2,827,664
89,GGMS Hafiz Abad ( C ),32.0716304,71.024231,Combined,KPK,2,1,597,424
90,GPS Cha Pai Wala ( C ),32.0716304,71.024261,Combined,KPK,2,2,667,539
99,GGMS Khaki ( C ),32.0716304,71.024291,Combined,KPK,2,1,540,472
100,GGHSS Mithapur Kalaa ( C ),32.0716304,71.024321,Combined,KPK,1,1,486,380
101,GPS Mithapur Khurd ( C ),32.0716304,71.024351,Combined,KPK,2,2,682,553
106,GPS Kurarr (M),32.0716304,71.024381,Male,KPK,2,0,962,0
107,GGPS Kurarr (F),32.0716304,71.024411,Female,KPK,0,2,0,807
41,GMS Jhok Muazam  ( C ),32.0716304,71.024441,Combined,KPK,2,2,724,601
43,GHSS Dhakki (M),32.0716304,71.024471,Male,KPK,4,0,1116,0
45,GHSS Dhakki ( C ),32.0716304,71.024501,Combined,KPK,2,1,535,516
44,GGCMS Dhakki (F),32.0716304,71.024531,Female,KPK,0,2,0,877
46,GPS Jaiwala (Jhok Malkani) ( C ),32.0716304,71.024561,Combined,KPK,1,1,390,302
112,GMS Toba ( C ),32.07313358293349,70.91183067239851,Combined,KPK,2,2,933,613
117,GHS Rodi Khel (M),32.07372,70.83337,Male,KPK,4,0,1296,0
93,GPS Kirri Sarwar (F),32.0867327,70.9931185,Female,KPK,0,4,0,1426
120,GGPS Wanda Khaliq Shah (F),32.09102327913626,70.94175715800966,Female,KPK,0,4,0,1210
82,GGHS Bigwani Shumali (M),32.0936811,71.0008902,Male,KPK,4,0,1588,0
83,GGHS Bigwani Shumali (F),32.0936811,71.0009202,Female,KPK,0,4,0,1247
119,GHS Wanda Nadir Shah (M),32.09605,70.93644,Male,KPK,4,0,1473,0
7,GGMS Moh Sultania Paharpur (F),32.10098,70.97214,Female,KPK,0,2,0,1010
91,GPS Pir Ashaab (M),32.1018351,70.962156,Male,KPK,4,0,1524,0
94,GPS Cha Shehzad (M),32.1018351,70.962186,Male,KPK,3,0,1127,0
11,GPS No.2 Paharpur (M),32.10254,70.9681,Male,KPK,3,0,956,0
6,GHSS No.1 Paharpur (M),32.10321,70.9715,Male,KPK,4,0,1280,0
10,GGPS Lari Adda Paharpur (F),32.10401,70.971,Female,KPK,0,2,0,841
4,GHS No.2 Paharpur (M),32.10447,70.97323,Male,KPK,4,0,1403,0
1,GDC Paharpur (M),32.1047134,70.9758531,Male,KPK,3,0,930,0
2,GDC Paharpur (M),32.1047134,70.9758831,Male,KPK,2,0,851,0
84,GPS Amir Shah ( C ),32.1047134,70.9759131,Combined,KPK,2,1,582,462
85,GPS Mian Wada ( C ),32.1047134,70.9759431,Combined,KPK,2,2,725,576
96,GHS Lar ( C ),32.1047134,70.9759731,Combined,KPK,2,2,717,526
97,GGHS Lar ( C ),32.1047134,70.9760031,Combined,KPK,2,1,648,471
98,GPS Basti Zangaizan Wali ( C ),32.1047134,70.9760331,Combined,KPK,2,2,720,554
3,GGHSS Paharpur (F),32.10478,70.9736,Female,KPK,0,4,0,1439
125,GMS Wanda Umer Khan ( C ),32.106958611411315,70.86474399586174,Combined,KPK,1,1,438,315
5,Govt Veternary Hospital Paharpur (F),32.10773,70.97125,Female,KPK,0,3,0,1069
