StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
135,GPS Sheikh Malli  ( C ),31.75965,70.92061,Combined,KPK,1,1,261,234
134,GPS Sheikh Raju ( C ),31.76622,70.89743,Combined,KPK,2,2,679,568
122,GGMS Jhoke Qureshi (F),31.776042640756753,70.87704628401845,Female,KPK,0,3,0,1033
121,GMS Jhoke Qureshi (M),31.77735914,70.8758185,Male,KPK,4,0,1276,0
127,GPS Noon (M),31.7828974,70.86349537,Male,KPK,3,0,996,0
128,GGPS Noon (F),31.78291862,70.86310738,Female,KPK,0,2,0,726
125,GPS Nawab (M),31.79178705,70.86991226,Male,KPK,3,0,1164,0
123,GMS Nawab (M),31.79712762,70.87120071,Male,KPK,3,0,1069,0
124,GGMS Nawab (F),31.79723827,70.87058781,Female,KPK,0,2,0,826
126,GGPS Nawab (F),31.79725254,70.87056898,Female,KPK,0,2,0,847
133,GPS Dhab Chabak ( C ),31.7987,70.9678,Combined,KPK,1,1,468,395
111,GHSS Muryali (M),31.79882401,70.88842181,Male,KPK,3,0,1080,0
113,GHSS Muryali (M),31.79886678,70.8884219,Male,KPK,3,0,1082,0
120,GMS Cha Lal Wala (F),31.799849888618603,70.88675742227669,Female,KPK,0,4,0,1563
112,GGPS Cha Lal Wala (F),31.79987339,70.88642997,Female,KPK,0,2,0,864
104,GPS Baloch Nagar ( C ),31.804658,70.90380749,Combined,KPK,2,2,691,562
116,GPS Sultania Muryali (F),31.80512811,70.89669786,Female,KPK,0,2,0,735
115,GHSS Muryali (M),31.80579564,70.89576048,Male,KPK,2,0,915,0
117,GHSS Muryali ( C ),31.80580851,70.89574884,Combined,KPK,2,1,690,516
118,GHSS Muryali (M),31.80580851,70.89577884,Male,KPK,3,0,944,0
119,GHSS Muryali (M),31.80580851,70.89580884,Male,KPK,3,0,1163,0
110,GGCMS Bilal Abad (F),31.80606,70.88023,Female,KPK,0,3,0,944
114,GGHS No.7 Muryali (F),31.806995,70.89864506,Female,KPK,0,3,0,935
105,GDC No.1 D.I.Khan ( C ),31.8088963,70.90535867,Combined,KPK,2,2,849,771
109,GGPS Wanda Mochian Wala (M),31.81001,70.88794,Male,KPK,4,0,1312,0
103,GGMS Chah Mughal Wala ( C ),31.81010292,70.9061575,Combined,KPK,2,2,821,664
100,GPS Dewala Chah Malik Wala (M),31.81221182,70.90429999,Male,KPK,3,0,922,0
101,GPS Dewala Chah Malik Wala (M),31.81221182,70.90432999,Male,KPK,2,0,880,0
108,F.G Model High School- D.I.Khan.  ( C ),31.8129104,70.918093,Combined,KPK,2,2,793,750
129,GPS Ara ( C ),31.8133418,70.9181728,Combined,KPK,2,1,581,450
130,Civil Despensery Ara (M),31.8133418,70.9182028,Male,KPK,3,0,1156,0
131,GGMS Arra (F),31.8133418,70.9182328,Female,KPK,0,3,0,935
65,University Wensam College D.I.Khan      (F),31.81357363259162,70.89408078663547,Female,KPK,0,4,0,1220
61,University Wensam College D.I.Khan      (M),31.81357363259162,70.8941107866355,Male,KPK,4,0,1464,0
62,University Wensam College D.I.Khan      (F),31.81357363259162,70.8941407866355,Female,KPK,0,3,0,1168
64,University Wensam College D.I.Khan      (M),31.81357363259162,70.8941707866355,Male,KPK,4,0,1482,0
75,GGHS Madni Town ( C ),31.81360097,70.91440135,Combined,KPK,2,2,800,630
96,GPS Nad Ali Shah ( C ),31.81413821,70.90455457,Combined,KPK,2,2,795,634
102,GGPS No.1 Dewala (F),31.81485589,70.90381468,Female,KPK,0,4,0,1460
99,Govt College of Technology  D.I.Khan (F),31.81508384,70.89543925,Female,KPK,0,2,0,962
98,Govt College of Technology  D.I.Khan (M),31.81509966,70.89552032,Male,KPK,3,0,1162,0
97,Govt College of Technology D.I.KHAN ( C ),31.81510359,70.89545527,Combined,KPK,2,2,690,612
95,GGPS Madni Town ( C ),31.81606261,70.91402358,Combined,KPK,2,2,771,597
69,I.E.R City Campus Gomal University  (F),31.81922221,70.8958523,Female,KPK,0,3,0,942
63,Veterinary Block- Gomal University- City Campus D.I.Khan. ( C ),31.82018786,70.8970668,Combined,KPK,2,1,535,483
136,GMS Jhok Mohana Kachi Paind Khan  ( C ),31.82049282,70.96683362,Combined,KPK,2,2,841,703
68,Law College- City Campus- Paroa Adda D.I.Khan (M),31.82060118,70.89765551,Male,KPK,4,0,1157,0
54,GGDC No 2 D.I.Khan  ( C ),31.82061698,70.8991643,Combined,KPK,2,2,751,529
60,GPS Basti Tareen Kanchkiyanwali  (F),31.82121884,70.90573597,Female,KPK,0,3,0,1137
49,GPS Chah Pipal Wala (F),31.823004914684045,70.89167898695996,Female,KPK,0,2,0,975
41,GMS No.3 D.I.Khan (M),31.82377297,70.9044245,Male,KPK,4,0,1400,0
70,GMS Dinpur ( C ),31.82557082,70.88162272,Combined,KPK,1,1,432,304
44,GGMS Kirri Alizai (F),31.82614984,70.91084341,Female,KPK,0,3,0,944
42,GGMS Kirri Alizai (F),31.82616659,70.9108107,Female,KPK,0,4,0,1262
43,GGPS Kirri Alizai (M),31.82622949,70.91060356,Male,KPK,3,0,1026,0
39,GPS No.10 D.I.Khan (M),31.82664994,70.90569019,Male,KPK,4,0,1395,0
71,GGPS Dinpur ( C ),31.82739849,70.88258915,Combined,KPK,2,2,871,681
32,GHSS No.2 D.I.Khan (M),31.8274251,70.8949709,Male,KPK,4,0,1253,0
33,GHSS No.2 D.I.Khan (F),31.8274251,70.8950009,Female,KPK,0,3,0,1154
38,GGPS No.1 Chaman Chowk ( C ),31.8274251,70.8950309,Combined,KPK,2,2,753,620
