StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
139,City Scholars School- Abdullah Colony.,31.36741269869061,73.06402607422551,Male,Punjab,4,0,1675,0
148,City Scholar School-Abdullah Colony Faisalabad,31.36741269869061,73.0640560742255,Male,Punjab,2,0,824,0
149,City Scholar School-Abdullah Colony Faisalabad,31.36741269869061,73.0640860742255,Male,Punjab,2,0,971,0
140,Government Dhakhan Primary School Abdullah Colony.,31.368018993241293,73.06337312147704,Female,Punjab,0,3,0,1338
41,Iqra Public High School Street No.08 Farooqabad,31.369040599518595,73.07243348251828,Male,Punjab,3,0,1072,0
42,Iqra Public High School Street No.08 Farooqabad,31.369040599518595,73.0724634825183,Female,Punjab,0,2,0,854
45,Firdous Model School- Street No.9-Murad Colony.,31.372256474050445,73.07490775100021,Female,Punjab,0,4,0,1621
39,Supirior Sirjia Middle School- Opp.Bilal Masjid.Murad Colony.,31.372572718693117,73.07283636435008,Male,Punjab,3,0,1046,0
43,Family Welefare Center- Streer No. 2- Sohail abad,31.372775071895735,73.07706691048513,Male,Punjab,3,0,1404,0
145,Falcon House School-Street No.07-Nisar Colony,31.37384105699054,73.07001013800173,Female,Punjab,0,4,0,1572
146,Al Barkat School System- Main Road PEPSI Cola Factory- Satellite Town.,31.37384105699054,73.0700401380017,Male,Punjab,4,0,1610,0
147,Al Barkat School System- Main Town.,31.37384105699054,73.0700701380017,Female,Punjab,0,3,0,1343
59,Al-Habeeb Foundation Boys School-Allama Iqbal Colony,31.37419,73.05246,Male,Punjab,2,0,833,0
141,Government Girls Primary School- St.No.4 PeoplesTown.PRESENTLY WORKING IN GULSHAN-E-RAFIQUE COLONY.,31.37438913563479,73.06559494229482,Male,Punjab,3,0,1004,0
142,Government Girls Primary School- St.No.4 Peoples  Town. Presently Working in Gulshan-e- Rafique Colony-,31.37438913563479,73.0656249422948,Female,Punjab,0,2,0,728
40,Government Girls Primary School-Chak No.223/RB-Chungi No.15-Murad Colony.,31.374626767964525,73.07309474750325,Female,Punjab,0,2,0,796
170,Govt. Girls Elementary School- Muzaffar Colony.,31.375567308446037,73.05465888997081,Male,Punjab,3,0,1091,0
171,Govt. Girls Elementary School- Muzaffar Colony.,31.375567308446037,73.0546888899708,Male,Punjab,2,0,851,0
172,Govt.  Girls Elementary School- Muzaffar Colony.,31.375567308446037,73.0547188899708,Female,Punjab,0,3,0,1447
165,Govt. Primary School- Opp.St No 12-DarsGahe Iqbal Muzaffar Colony.,31.37751574043775,73.05710949532128,Male,Punjab,2,0,808,0
166,Govt. Primary School- Opp.St No 12-DarsGahe Iqbal Muzaffar Colony.,31.37751574043775,73.0571394953213,Male,Punjab,3,0,1135,0
167,Govt. Primary School-Opp.St No 12-DarsGahe IqbalMuzaffar Colony.,31.37751574043775,73.0571694953213,Female,Punjab,0,3,0,1519
131,New Quaid Public School-Rauf Chowk St No.11-Nisar Colony.,31.378728313670624,73.06801347214491,Male,Punjab,3,0,1033,0
133,New Quaid Public School- Rauf Chowk St No.11-Nisar Colony.,31.378728313670624,73.0680434721449,Male,Punjab,2,0,936,0
28,MC Girls High School- Siddique Chowk-D-Type.,31.37890581056966,73.07928072477077,Female,Punjab,0,2,0,993
