StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
159,Ever Green Model School- P-22 Ali Town Colony 214/RB. (Female) (T),31.400623,73.137957,Female,Punjab,0,3,0,1311
156,Jinnah Poly Technical College- Zubair Colony Jaranwala Road (Male) (T),31.4018071,73.1280915,Male,Punjab,3,0,1200,0
157,Jinnah Poly Technical College- Zubair Colony Jaranwala Road (Female) (T),31.4018071,73.1281215,Female,Punjab,0,2,0,1142
158,Azra Public School-Hajveri Road Mujahid Town. (Male) (T),31.4023686,73.136113,Male,Punjab,3,0,1484,0
146,Government Girls High School- Chak No. 214/RB Ghausia Abad. (Female) (P),31.4032605,73.1366201,Female,Punjab,0,3,0,1598
151,Government Boys High School- Chak No. 214/RB Dhuddiwala Jaranwala Road. Faisalabad (Male) (P),31.4035414,73.1287369,Male,Punjab,2,0,1093,0
152,Government Public Girls High School- 214 R.B. Jaranwala Road. (Female) (P),31.4035414,73.1287669,Female,Punjab,0,2,0,951
153,Government Boys High School- Chak No. 214/RB Dhuddiwala Jaranwala Road. Faisalabad (Male) (P),31.4035414,73.1287969,Male,Punjab,3,0,1396,0
154,Government Girls High School- 214 R.B.Jaranwala Road. (Female) (P),31.4035414,73.1288269,Female,Punjab,0,2,0,1149
161,Government Boys High School Chak No. 214/RB Dhuddiwala Jaranwala Road. Faisalabad (Female) (P),31.4035414,73.1288569,Female,Punjab,0,2,0,1090
162,Government Boys High School- Chak No. 214/RB Dhuddiwala Jaranwala Road. Faisalabad (Male) (P),31.4035414,73.1288869,Male,Punjab,3,0,1336,0
163,Government Boys High School- Chak No. 214/RB Dhuddiwala Jaranwala Road. Faisalabad (Female) (P),31.4035414,73.1289169,Female,Punjab,0,2,0,1105
160,Government Boys High School- Chak No. 214/RB Dhuddiwala Jaranwala Road. Faisalabad (Male) (P),31.4036281,73.1287369,Male,Punjab,3,0,1304,0
148,Government Girls Primary School-Himmat Pura. (Female) (P),31.403929,73.1394128,Female,Punjab,0,3,0,1411
147,Buniadi Tibbi Markaz Ghausia Road 214 R.B. Dhudhi Wala. (Male) (T),31.4041781,73.1386024,Male,Punjab,3,0,1627,0
145,Government Boys Primary School- Chak No. 214/RB,31.4068764,73.1397563,Male,Punjab,2,0,678,0
149,Government Primary School- Chak No. 214/RB Ghausia Road. (Male) (P),31.4068764,73.1397863,Male,Punjab,3,0,1577,0
150,Government Girls High School- Ghausia Road. Chak No. 214/RB (Female) (P),31.4068764,73.1398163,Female,Punjab,0,3,0,1418
140,Imran Grammar School- Hasan Pura. (Male) (T),31.4078519,73.1307603,Male,Punjab,3,0,1349,0
142,Imran Grammar School- Hasan Pura. (Male) (T),31.4078519,73.1307903,Male,Punjab,3,0,1290,0
141,Government Khawar Girls Elementry School Hasan Pura-St No.7/8. (Female) (P),31.4083347,73.1289213,Female,Punjab,0,3,0,1213
143,Government Khawar Girls Elementry School Hasan Pura-St No.7/8. (Female) (P),31.4083676,73.1289595,Female,Punjab,0,3,0,1199
98,Ameer Un Nisa English Medium St No. 1- School Nemat Colony No.2. (Male) (T),31.4095092,73.1254176,Male,Punjab,3,0,1575,0
99,Al Sadiq Girls Eementary School- St # 5- Nemat Colony No-2. (Female) (T),31.40971,73.12719,Female,Punjab,0,3,0,1440
