StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
31,Govt. Girls Primary School. Mouza Chora Bhojia. (Female) (P),30.754346507869123,72.69356950794652,Female,Punjab,0,2,0,734
30,Govt. Boys Primary School. Mouza Chora Bhojia. (Male) (P),30.75638429660332,72.69347476320371,Male,Punjab,3,0,978,0
26,Govt. Boys Primary School. 188/GB. (Combined) (P),30.77013008566659,72.66619832604054,Combined,Punjab,1,1,470,336
27,Govt. Boys Primary School. 188/GB. (Combined) (P),30.77013008566659,72.6662283260405,Combined,Punjab,1,1,479,371
18,Govt. Girls Primary School. 270/GB. (Female) (P),30.77337003786111,72.61998383572563,Female,Punjab,0,2,0,843
15,Union Council Office. Chak No. 269/GB. (Combined) (P),30.774996738971165,72.59552309681358,Combined,Punjab,2,1,662,475
16,Union Council Office. Chak No. 269/GB. (Combined) (P),30.774996738971165,72.5955530968136,Combined,Punjab,1,1,386,361
17,Govt. Boys Primary School. 270/GB. (Male) (P),30.776021157313593,72.6185041221064,Male,Punjab,3,0,1234,0
14,Govt. Girls Primary School. 269/GB. (Female) (P),30.777368307607222,72.5920121749514,Female,Punjab,0,2,0,946
29,Govt. Girls Primary School. 515/GB. (Female) (P),30.78017487491362,72.7034476424132,Female,Punjab,0,3,0,1225
13,Govt. Boys High School. 269/GB. (Male) (P),30.78023647805864,72.60319854333875,Male,Punjab,3,0,1132,0
19,Govt. Boys Primary School. 271/GB. (Male) (P),30.780578729552325,72.63633658988681,Male,Punjab,3,0,1155,0
28,Govt. Boys Primary School. 515/GB. (Male) (P),30.780938827810417,72.7018326864794,Male,Punjab,4,0,1401,0
23,Govt. Girls Primary School. 187/GB. (Female) (P),30.782416858202023,72.65860814058941,Female,Punjab,0,2,0,770
20,Govt. Girls Elementary School. 271/GB. (Female) (P),30.78256821483335,72.63823735653399,Female,Punjab,0,3,0,878
21,Govt. Boys Primary School. 187/GB. (Combined) (P),30.78260708676896,72.66165308575778,Combined,Punjab,2,1,774,525
22,Govt. Boys Primary School. 187/GB. (Male) (P),30.78260708676896,72.6616830857578,Male,Punjab,3,0,1161,0
24,Govt. Boys High School. 188/GB. (Combined) (P),30.783323018608744,72.68735340239255,Combined,Punjab,2,2,861,638
25,Govt. Boys High School. 188/GB. (Combined) (P),30.783323018608744,72.6873834023925,Combined,Punjab,1,1,255,183
9,Govt. Boys Primary School. 268/GB. (Combined) (P),30.78998097571076,72.60703350446194,Combined,Punjab,2,1,602,480
37,Govt. Boys Primary School. 513/GB. (Male) (P),30.79427390869581,72.71936302600537,Male,Punjab,3,0,1161,0
38,Govt. Girls Elementary School. 513/GB. (Female) (P),30.79427390869581,72.7193930260054,Female,Punjab,0,2,0,805
10,Govt. Girls Elementary School. 268/GB. (Combined) (P),30.795091987851308,72.60860032544875,Combined,Punjab,1,1,475,345
12,Govt. Girls Primary School. 266/GB(Female) (P),30.799190729550357,72.56977604147113,Female,Punjab,0,2,0,1011
11,Govt. Boys Primary School. 266/GB. (Male) (P),30.79964930940422,72.56938139657977,Male,Punjab,4,0,1310,0
5,Govt. Boys Primary School. 265/GB. Toba Tek Singh(Combined) (P),30.803324392526637,72.55482680337063,Combined,Punjab,1,1,462,373
6,Govt. Girls Primary School. 265/GB. Toba Tek Singh(Combined) (P),30.80424269646093,72.55845324932972,Combined,Punjab,1,1,521,449
