StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
130,Boys Primary School. Tukra-58/2 (Combined) (P),30.58992,72.69281,Combined,Punjab,1,1,498,408
163,Govt. Girls Elementary School. 733/GB. (Combined) (P),30.59405,72.60503,Combined,Punjab,1,1,348,238
164,Govt. Girls Elementary School. 733/GB. (Combined)(P),30.59405,72.60506,Combined,Punjab,2,1,699,544
193,Boys primary School. Mouza Darsana. (Combined) (P),30.60253,72.58043,Combined,Punjab,2,1,700,507
137,Girls Primary School. 732/GB. (Male) (P),30.60382,72.65372,Male,Punjab,2,0,994,0
138,Govt Model Primary School 732/GB (Boys Portion) (Female) (P),30.60382,72.65375,Female,Punjab,0,2,0,693
131,Boys Elementary School. Tukra-58/3 (Male) (P),30.6057,72.7095,Male,Punjab,2,0,969,0
132,Boys Elementary School. Tukra-58/3 (Female) (P),30.6057,72.70953,Female,Punjab,0,2,0,621
167,Boys Primary School. Chak Sher Singh. (Combined) (P),30.60583,72.61465,Combined,Punjab,1,1,566,415
102,Govt. Girls Model Primary School 731/GB-II Camp at Gurdasa (Combined) (P),30.60734,72.68083,Combined,Punjab,1,1,416,288
144,Girls Elementary School. 731/GB (Combined) (P).,30.60734,72.68086,Combined,Punjab,2,1,827,587
143,Boys Primary School. 731/GB. (Combined)  (P).,30.60821,72.68011,Combined,Punjab,2,2,876,634
190,Girls primary School. Mouza Bub. (Combined) (P),30.61463,72.45747,Combined,Punjab,1,1,574,390
165,Boys Elementary School. 734/GB. (Combined) (P),30.62032,72.58501,Combined,Punjab,2,1,753,454
140,Girls High School 737/GB (P) (Male) (P).,30.62057,72.68632,Male,Punjab,3,0,1416,0
141,Girls High School 737/GB (Female) (P),30.62057,72.68635,Female,Punjab,0,2,0,1111
187,Girls Elementary School. Maju Kathia. (Combined) (P),30.62191,72.48396,Combined,Punjab,1,1,579,474
188,Giirls Elementary School.   Maju Kathia.    (Combined)(P),30.62191,72.48399,Combined,Punjab,1,1,414,227
180,Govt. High School. 746/GB. (Combined) (P),30.62497,72.46729,Combined,Punjab,2,1,737,524
181,Girls HighSchool. 746/GB. (Combined) (P),30.62497,72.46732,Combined,Punjab,1,1,551,437
194,Boys primary School. Bakhu Sanpal. (Combined) (P),30.62514,72.52008,Combined,Punjab,1,1,257,171
146,Boys Primary School. 738/GB. (West) (Combined) (P),30.62815,72.64857,Combined,Punjab,1,1,594,404
145,Girls Elementary School. 738/GB. (West) (Combined) (P),30.62964,72.64999,Combined,Punjab,2,1,752,586
134,Girls High School. 735/GB. (Male) (P).,30.629749110378732,72.60207595941952,Male,Punjab,3,0,1198,0
135,Girls High School. 735/GB. (Female) (P).,30.629749110378732,72.6021059594195,Female,Punjab,0,2,0,935
189,Boys primary School. Mouza Rajab Kathia. (Combined) (P),30.62996,72.55705,Combined,Punjab,1,1,323,201
166,Boys High School. 742/GB. (Combined) (P),30.63051,72.55834,Combined,Punjab,2,2,948,678
92,Girls Elementary School. 715/GB. (Combined) (P).,30.63061,72.55894,Combined,Punjab,2,1,750,522
139,Boys High School. 736/GB. (Combined) (P),30.63061,72.55897,Combined,Punjab,1,1,624,502
170,Boys Elementary School. 716/GB. (Male) (P).,30.63061,72.559,Male,Punjab,3,0,1233,0
171,Girls Elementary School. 716/GB. (Female) (P).,30.63061,72.55903,Female,Punjab,0,2,0,903
172,Boys Elemantary School. 717/GB. (Male) (P).,30.63061,72.55906,Male,Punjab,4,0,1481,0
173,Girls primary School. 717/GB. (Female) (P).,30.63061,72.55909,Female,Punjab,0,3,0,1193
174,Higher Secondary School. 718/GB. (Combined) (P),30.63061,72.55912,Combined,Punjab,2,2,856,635
175,Higher Secondary School. 718/GB. (Combined) (P),30.63061,72.55915,Combined,Punjab,1,1,284,265
176,Girls Elementary School. 718/GB. (Combined) (P),30.63061,72.55918,Combined,Punjab,2,1,770,593
186,Basic Health Unit. Mouza Kot-Pathana. (Combined) (P),30.63168,72.53007,Combined,Punjab,1,1,695,399
185,Govt. Model Elementary School. Mouza Shahabal Shah.(Combined) (P),30.63357,72.54671,Combined,Punjab,1,1,507,394
147,Girls Community Model School. 738/GB. ((East) (Combined)(P),30.64037,72.67707,Combined,Punjab,2,1,677,539
192,Model Elementary School. 741/GB. (Female) (P),30.64063,72.53777,Female,Punjab,0,2,0,1047
155,Govt. Boys Primary School. Mouza Jalar Saglah Nai Abadi.(Combined) (P),30.64106,72.70592,Combined,Punjab,1,1,457,301
182,Boys primary School. Mouza Waghi. (Combined)(P),30.64132,72.47408,Combined,Punjab,1,1,306,232
191,Girls Elemantary School. 741/GB. (Male) (P).,30.6414,72.53888,Male,Punjab,4,0,1465,0
183,Girls Elemantary School. 743/GB. (Combined) (P),30.642673056402476,72.47002113375501,Combined,Punjab,1,1,560,408
136,Boys Primary School. 740/GB. (Male) (P),30.6437,72.62191,Male,Punjab,2,0,1078,0
142,Boys Primary School. 740/GB. (Female) (P),30.6437,72.62194,Female,Punjab,0,2,0,809
119,Girls High School. 739/GB. (Primary portion for Boys)(P) (Female),30.64677,72.63815,Female,Punjab,0,2,0,955
120,Girls High School. 739/GB. (P) (Female),30.64677,72.63818,Female,Punjab,0,2,0,846
121,Girls High School. 739/GB. (P) (Female),30.64677,72.63821,Female,Punjab,0,2,0,769
179,Boys Elementary School. 728/GB. (Combined) (P),30.6476,72.51237,Combined,Punjab,1,1,683,444
184,Girls Elemantary School. 744/GB. (Combined) (P),30.65173,72.46046,Combined,Punjab,2,2,957,639
154,Boys Elementary School Mouza Tara Haweli Khurd,30.653482526231215,72.72334219622546,Combined,Punjab,1,1,527,355
123,Union Council Office. Jakhar. 739/GB. (T),30.65509,72.64005,Male,Punjab,2,0,890,0
124,Union Council Office. Jakhar. 739/GB. (T),30.65509,72.64008,Female,Punjab,0,2,0,673
117,Boys High School. 739/GB. (P) (Male),30.65568,72.63914,Male,Punjab,3,0,1248,0
118,Boys High School. 739/GB. (P) (Male),30.65568,72.63917,Male,Punjab,2,0,1134,0
122,Boys High School. 739/GB. (Male) (P),30.65568,72.6392,Male,Punjab,2,0,1033,0
177,Govt. Girls High School. 722/GB. (Combined) (P),30.66215,72.50566,Combined,Punjab,1,1,517,356
178,Govt. Girls High School. 722/GB. (Combined) (P),30.66215,72.50569,Combined,Punjab,1,1,632,461
107,Govt. Girls Primary School Mouza Pipli,30.66216,72.70992,Combined,Punjab,1,1,170,141
156,Girls Elementary School- Mouza Bohat Kalia. (Combined) (P),30.66466,72.64253,Combined,Punjab,2,1,666,587
161,Girls High School. Mouza Qadar Bukhsh. (Male) (P),30.66761,72.68922,Male,Punjab,2,0,1065,0
153,Boys Elementary School. 725/GB. (Combined) (P),30.66762,72.61224,Combined,Punjab,1,1,496,378
162,Vetrnory Hospital Mouza Qadar Bukhsh. (Female) (P),30.66768,72.68745,Female,Punjab,0,2,0,897
151,Girls Elemantary School. 725/GB. (Female) (P),30.66796,72.61199,Female,Punjab,0,2,0,701
152,Girls Elemantary School. 725/GB. (Male)(P),30.66796,72.61202,Male,Punjab,2,0,1048,0
125,Boys High School. Qadar Bukhsh. (Combined) (P),30.66824,72.688,Combined,Punjab,1,1,578,495
126,Boys Elementary School. 712/GB. (Male) (P).,30.66824,72.68803,Male,Punjab,4,0,1577,0
116,Boys Primary School. Mouza Khajoora (Combined)(P),30.66963,72.64616,Combined,Punjab,1,1,414,330
