StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
171,Government Girls Primary School Chak Darzi,31.316328813135662,72.22132581090173,Combined,Punjab,1,1,627,529
170,Government Boys Middle School Jharki,31.326261977900934,72.21624493157024,Combined,Punjab,1,1,534,371
172,Government Girls Primary School Jharki,31.333918728775448,72.22177141846507,Combined,Punjab,1,1,406,273
33,Government Boys Primary School (Sairwala) Kul Kurai,31.33821,72.33681,Combined,Punjab,1,1,765,637
30,Government Girls Elementry School Sheikh Chuharh,31.35325,72.44938,Combined,Punjab,1,1,534,468
29,Government Girls Elementry School Sheikh Chuharh,31.35325,72.44941,Combined,Punjab,2,2,867,724
32,Government Boys Primary School (Shah Hussain Gharbi) Chak Sheikhena,31.35603,72.35991,Combined,Punjab,1,1,889,669
167,Government Girls Primary School Chak Jalal Din,31.35981,72.18894,Combined,Punjab,2,1,857,608
168,Government Boys Elemantry School Chak Pir Behlol,31.3615,72.18681,Male,Punjab,2,0,951,0
169,Government Boys Elemantry School Chak Pir Behlol,31.3615,72.18684,Female,Punjab,0,2,0,721
31,Government Girls Primary School Sheikh Chuharh (Madina Colony),31.37058,72.4488,Combined,Punjab,2,2,762,637
23,Government Girls High School Mukhiana,31.38654,72.46201,Combined,Punjab,2,2,838,675
24,Government Girls High School Mukhiana,31.38654,72.46204,Combined,Punjab,1,1,796,570
20,Government Boys High School Mukhiana,31.38712,72.46009,Combined,Punjab,1,1,493,357
21,Government Boys High School Mukhiana,31.38712,72.46012,Combined,Punjab,1,1,572,358
22,Government Boys High School Mukhiana,31.38712,72.46015,Combined,Punjab,1,1,617,458
174,Government Girls Primary School Hassan Khan,31.38762018191501,72.23513096805698,Combined,Punjab,2,1,741,528
175,Government Boys Middle School (Middle Portion) Hassan Khan,31.387831841334396,72.23535408405426,Combined,Punjab,2,1,793,546
152,Government Girls High School Shair Chakar,31.38993,72.20035,Combined,Punjab,2,1,893,653
173,Government Boys Middle School Hassan Khan,31.390584367952172,72.22790717915318,Combined,Punjab,2,1,701,437
153,Government Boys High School Haveli Sheikh Raju,31.39317,72.19959,Male,Punjab,2,0,945,0
154,Government Boys High School Haveli Sheikh Raju,31.39317,72.19962,Female,Punjab,0,2,0,741
6,Government Boys Middle School Bullu Shahbul,31.40046,72.37715,Combined,Punjab,2,2,887,738
14,Government Boys Middle School Bullu Shahabul,31.40046,72.37718,Combined,Punjab,1,1,522,366
11,Government Girls High School Bullo Shahbul,31.40391,72.37849,Male,Punjab,2,0,959,0
12,Government Girls High School Bullo Shahbul,31.40391,72.37852,Female,Punjab,0,2,0,780
165,Government Girls Elementary School Kabli,31.40651,72.13756,Male,Punjab,2,0,1074,0
166,Government Girls Elementary School Kabli,31.40651,72.13759,Female,Punjab,0,2,0,837
45,Government Girls Primary School Daduana,31.407723446664093,72.28441177961498,Combined,Punjab,1,1,553,412
70,Government Girls High School Chund Bharwana,31.409290576369962,72.25467216240816,Combined,Punjab,2,2,935,718
71,Government Girls High School Chund Bharwana,31.409290576369962,72.2547021624082,Combined,Punjab,1,1,303,277
68,Government Boys High School Chund Bharwana,31.4185516121369,72.26200230572074,Combined,Punjab,2,1,939,478
69,Government Boys High School Chund Bharwana,31.4185516121369,72.2620323057207,Combined,Punjab,2,1,706,679
157,Government Girls Primary School Jangal Katora,31.420285830883344,72.19158836545897,Combined,Punjab,1,1,490,332
162,Government Model Primary School Rajana Girls portion,31.422676014099196,72.14995749041535,Combined,Punjab,1,1,460,407
164,Government Model Primary School Rajana Male Portion,31.423032960664333,72.15632323577464,Combined,Punjab,1,1,560,468
72,Government Girls Primary School Budhi Thatti,31.426975860398624,72.23286384450626,Combined,Punjab,1,1,685,565
34,Government Boys High School Sultan Pur,31.42871,72.41675,Combined,Punjab,1,1,564,446
35,Government Boys High School Sultan Pur,31.42871,72.41678,Combined,Punjab,1,1,939,621
36,Government Boys High School .(Middle Portion) Sultan Pur (Permanent),31.42872,72.41666,Combined,Punjab,2,2,989,775
2,Government Boys Primary School Dhano Wala,31.43208,72.34559,Combined,Punjab,1,1,543,359
26,Government Boys High School - Satiana,31.43415,72.49133,Combined,Punjab,1,1,599,524
43,Government Boys Primary School Thatta Sundrana (Thatta Korriana),31.43538,72.27229,Combined,Punjab,1,1,581,382
44,Government Boys Primary School Thatta Sundrana (Thatta Korriana),31.43538,72.27232,Combined,Punjab,1,1,561,506
61,Government Boys High School Ali Pur,31.43538,72.27235,Male,Punjab,3,0,1728,0
25,Government Boys High School Satiana,31.43694,72.48669,Combined,Punjab,2,2,1118,781
163,Government Girls Primary School Sajhowal,31.43993,72.15601,Combined,Punjab,2,1,632,488
161,Government Boys Elementry School Sahjowal,31.439947326243928,72.1561956635784,Combined,Punjab,1,1,625,514
62,Government Girls High School Ali Pur,31.442399904560087,72.28362782176421,Female,Punjab,0,2,0,1301
1,Government Girls Primary School Bindi Baig Mahni,31.44651,72.38151,Combined,Punjab,1,1,809,499
155,Government Boys Middle School Kala Bali,31.449551069488223,72.20218999713939,Combined,Punjab,1,1,541,393
156,Government Boys Middle School Kala Bali,31.449551069488223,72.2022199971394,Combined,Punjab,1,1,551,423
15,Government Girls High School Khewa,31.45558,72.46776,Combined,Punjab,1,1,793,526
16,Government Girls High School Khewa,31.45558,72.46779,Combined,Punjab,1,1,783,655
17,Government Girls High School Khewa,31.45558,72.46782,Combined,Punjab,1,1,432,281
18,Government Boys Primary School Khewa,31.45585,72.46796,Combined,Punjab,1,1,432,258
158,Government Boys High School Kot Khan,31.457755686947554,72.15620110585914,Combined,Punjab,2,1,807,562
28,Government Boys Primary School Nikka Doultana,31.45865,72.50453,Combined,Punjab,1,1,763,652
27,Government Girls Middle School Nikka Doultana,31.45942,72.50105,Combined,Punjab,1,1,550,357
159,Government Girls Elementary School Kot Khan,31.460264965184013,72.15675346685035,Combined,Punjab,2,1,764,589
76,Government Boys Primary School Rasool Pur,31.467034345629358,72.25981842146399,Combined,Punjab,1,1,606,410
19,Allama Iqbal Feeder School- Abadi Sahmal,31.46705,72.39497,Combined,Punjab,1,1,512,374
7,Government Boys High School Khanoana,31.47231,72.49557,Combined,Punjab,1,1,611,473
8,Government Boys High School Khanoana,31.47231,72.4956,Combined,Punjab,1,1,554,387
9,Government Girls Primary School Khanoana,31.47272,72.51726,Combined,Punjab,2,2,926,784
73,Government Girls Primary School Chak Hamza Wala,31.47587278172673,72.27176172546095,Combined,Punjab,1,1,469,382
74,Government Girls Primary School Chak Hamza Wala,31.47587278172673,72.2717917254609,Combined,Punjab,2,1,825,459
75,Government Girls Primary School Chak Balouchan Wala,31.477154049689457,72.21354318853612,Combined,Punjab,1,1,684,491
80,Government Boys Primary School Haveli Dewan,31.47929455983591,72.19905573138034,Combined,Punjab,1,1,610,407
160,Government Girls Primary School Guniana,31.481134655205864,72.14344380478725,Combined,Punjab,1,1,625,464
41,Government Boys Elementry School Tahatta Jhabana,31.48309,72.30839,Combined,Punjab,2,1,711,521
40,Government Girls Community Model School- Hussain Abad Thatha Jhabana,31.48423826757144,72.30822432943197,Combined,Punjab,2,2,981,753
79,Government Boys Primary School Iqbal Nagar,31.48681383750574,72.24582940013804,Combined,Punjab,1,1,589,465
10,Government Boys High School Khorara Baqir,31.492743181859794,72.44790854421703,Combined,Punjab,2,2,1115,798
13,Government Boys Middle School (Primary Portion) Khorara Baqir,31.492807533513968,72.44791176367899,Combined,Punjab,1,1,594,440
3,Government Boys Primary School Bhochra,31.50188,72.4998,Combined,Punjab,1,1,444,283
4,Government Girls Elementary School Bhochra,31.50222,72.50034,Combined,Punjab,1,1,626,472
63,Government Girls Primary School Mongar,31.50248,72.34508,Combined,Punjab,1,1,340,282
78,Office Union Council Pabbar Wala,31.507014423487494,72.23809696587928,Combined,Punjab,2,1,907,616
77,Government Boys Elementry School Pabbar Wala,31.50843384140648,72.2406942035375,Combined,Punjab,1,1,446,323
42,Government Girls Primary School Chak Murad,31.50929867337852,72.26743917174619,Combined,Punjab,1,1,435,291
37,Government Boys Primary School Balian,31.509651188894637,72.37115664865958,Combined,Punjab,2,1,756,487
5,Government Girls Primary School Jindiana,31.51128,72.46844,Combined,Punjab,1,1,564,418
148,Government Model Primary School- Thathi Panah,31.5131,72.16931,Combined,Punjab,2,1,702,444
64,Government Boys Primary School Shair Garh,31.51431,72.35185,Combined,Punjab,1,1,568,535
59,Offie UC-37 shah jewana,31.51691,72.34108,Male,Punjab,2,0,978,0
58,Government Boys High School  Shah Jewana (Primary Portion),31.51852,72.33979,Combined,Punjab,1,1,461,446
56,Government Girls High School Shah Jewana,31.52077,72.33913,Female,Punjab,0,3,0,1514
60,Govt. Boys high School shah jewana,31.52077,72.33916,Female,Punjab,0,2,0,798
81,Government Boys Primary School Qutab Awan,31.521550787172387,72.26327583242222,Combined,Punjab,2,1,906,626
82,Government Girls Primary School Onara,31.52395774857096,72.30010191665848,Combined,Punjab,1,1,550,441
55,Government Boys High School Shah Jewana,31.52404,72.34364,Male,Punjab,3,0,1662,0
57,Government Boys High School Shah Jewana (Primary Portion),31.52404,72.34367,Combined,Punjab,1,1,512,491
135,Government Boys Middle School Kalera,31.527026365776372,72.1601492799937,Combined,Punjab,2,1,962,676
84,Government Model Primary School (Boys Campus)  Turbat Haji Shah,31.533247832264674,72.22707640658186,Combined,Punjab,1,1,696,465
85,Government Model Primary School (Girls Campus)  Turbat Haji Shah,31.533247832264674,72.2271064065819,Combined,Punjab,1,1,524,291
67,Government Girls Primary School Abid Sttad Kot Dharaman,31.53456,72.31213,Combined,Punjab,2,2,858,669
99,Government Model Primary School Kangra Boys Section,31.53730614386776,72.2893606614352,Combined,Punjab,2,1,806,621
136,Government Model Primary School Sabbar,31.54359672405498,72.16526667083039,Combined,Punjab,1,1,444,319
83,Government Boys Primary School Bair Wali,31.544680412284787,72.2726503494199,Combined,Punjab,2,1,801,589
39,Basic Health Unit Panjgarain,31.54735,72.38387,Combined,Punjab,1,1,619,431
141,Government Model Primary School Bhamb,31.552438117610944,72.2323090521755,Combined,Punjab,2,2,1082,794
137,Government Boys Primary School Laghari,31.555209187276922,72.1561563512433,Combined,Punjab,1,1,677,525
86,Government Boys Primary School Sharih,31.555874173807908,72.25271040760924,Combined,Punjab,2,2,1167,820
46,Government Model Primary School (Boys Campus) Dosera,31.55795,72.35323,Combined,Punjab,2,2,957,790
47,Government Model Primary School (Girls Campus) Dosera,31.55795,72.35326,Combined,Punjab,1,1,575,520
38,Government Boys Primary School Punjgarain,31.55967,72.38673,Combined,Punjab,1,1,700,551
65,Government Boys Elementry School Wadan,31.560790030869452,72.33069497501876,Combined,Punjab,1,1,516,416
66,Government Boys Elementry School Wadan,31.560790030869452,72.3307249750188,Combined,Punjab,2,1,793,666
93,Government Boys Higher Secondary School Mandi Shah Jewana,31.560794778136568,72.28757511485854,Combined,Punjab,1,1,642,527
94,Government Girls community Model School Mahar Wali,31.5621501521622,72.28845296505816,Combined,Punjab,2,1,623,476
95,Government Girls community Model School Mahar Wali,31.5621501521622,72.2884829650582,Combined,Punjab,1,1,535,391
91,Government Girls High School Mandi Shah Jewana,31.564777330435245,72.29124387994942,Female,Punjab,0,2,0,847
92,Government Girls High School Mandi Shah Jewana,31.564777330435245,72.2912738799494,Male,Punjab,2,0,985,0
140,Government Boys Primary School Douka Balouchan,31.56780623973717,72.17253189812794,Combined,Punjab,2,2,999,616
88,Government Girls Elemantry School Nawan Thatha,31.568711325405474,72.29051719599586,Combined,Punjab,1,1,512,434
89,Government Boys Elemantry School Kot Ahmad Yar,31.568922497273842,72.29109696560369,Combined,Punjab,1,1,586,479
90,Government Boys Elemantry School Kot Ahmad Yar,31.568922497273842,72.2911269656037,Combined,Punjab,1,1,469,335
48,Government Boys Elementry School Ratta Matta (Primary Part),31.57023,72.40858,Male,Punjab,2,0,1295,0
49,Government Boys Elementry School Ratta Matta (Middle Part),31.57023,72.40861,Female,Punjab,0,2,0,930
97,Government Girls Primary School Ghazi Abad,31.570688573487015,72.29445891758915,Combined,Punjab,2,1,817,674
98,Government Girls Primary School Ghazi Abad,31.570688573487015,72.2944889175891,Combined,Punjab,1,1,541,459
96,Government Boys Primary School Ramana,31.570753772718582,72.30923202493321,Combined,Punjab,2,1,887,674
143,Government Boys Primary School Jamal Wala,31.5712,72.21621,Female,Punjab,0,2,0,705
53,Government Boys Elementry School Ratta Matta,31.57913,72.42971,Combined,Punjab,1,1,608,497
149,Government Boys Primary School Qadir Pur Bakhsha Kacha,31.581705946966494,72.16979517799416,Combined,Punjab,2,2,879,645
51,Government Boys Primary School Ratta Kalan,31.584,72.43078,Combined,Punjab,2,1,842,565
52,Government Girls High School Ratta Kalan,31.584,72.43081,Combined,Punjab,2,1,910,631
