StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
169,Government Boys Primary School Chak No. 506/JB (Permanent),31.21815,72.33963,Combined,Punjab,1,1,709,553
170,Government Girls Primary School Chak No. 506/JB (Permanent),31.21894,72.33784,Combined,Punjab,2,2,935,789
168,Government Model Primary School Chak No. 457/JB (Abadi Tahli Wali) (Permanent),31.22501,72.39076,Female,Punjab,0,2,0,885
31,Government Girls Primary School Shadbad Colony   (Permanent),31.2276495129847,72.33247614857127,Combined,Punjab,1,1,565,483
35,Govt. Girls Primary School Kothian Wala (Permanent),31.227907614932086,72.36879322261292,Female,Punjab,0,3,0,1197
154,Government Boys High School Chak No. 446/JB,31.22803,72.48336,Male,Punjab,2,0,993,0
171,Government Boys High School Chak No. 446/JB,31.22803,72.48339,Female,Punjab,0,2,0,764
33,Government Girls Elementary School Sarwer Colony   (Permanent),31.22964,72.32471,Combined,Punjab,2,2,965,720
167,Government Girls Primary School Chak No. 457/JB (Abadi Dogran Wali) (Permanent),31.23200468077393,72.40400303830666,Male,Punjab,2,0,973,0
32,Government Boys Primary School Basti Lal- Sarwar Colny- Chak Ghumnana   (Permanent),31.23223,72.33013,Combined,Punjab,2,2,883,756
7,Government Boys Primary School Maghiana Chak Noon (Permanent),31.23284,72.28355,Combined,Punjab,2,2,813,690
34,Govt.  Primary School Lohleyan  Wala (Permanent),31.23318,72.36249,Male,Punjab,2,0,1477,0
165,Government Boys High School Chak No. 455/JB (High Portion) (Permanent),31.23528991196628,72.41787628431703,Male,Punjab,3,0,1241,0
166,Government Boys High School Chak No. 455/JB (Middle Portion) (Permanent),31.23546,72.41772,Female,Punjab,0,2,0,1082
156,Government Boys Primary School Chak No. 447/JB,31.23616,72.50842,Combined,Punjab,1,1,567,379
9,Government Girls Community Model School Nawaz Abad (Permanent),31.2393,72.29739,Combined,Punjab,2,2,698,532
8,Government Boys Primary School Nawaz Abad (Permanent),31.239993144121094,72.29742705822527,Combined,Punjab,2,2,939,686
6,Government Boys Primary School Kalu Wala Sial (Permanent),31.24113,72.35943,Combined,Punjab,1,1,458,390
37,Government Girls Primary School Al-Noor Colony Gojra Road Jhang (Permanent),31.24501,72.38947,Female,Punjab,0,2,0,1064
36,Government Boys Primary School Al-Noor Colony Gojra Road Jhang (Permanent),31.245575154189115,72.38969845451349,Male,Punjab,2,0,1288,0
29,Government Girls Community Model School Abbas Pura (Permanent),31.246081591715857,72.32000712436924,Male,Punjab,2,0,834,0
30,Government Girls Community Model School Abbas Pura (Permanent),31.246081591715857,72.3200371243692,Female,Punjab,0,2,0,723
11,Government Girls Elementary School- Hasnana (Primary Portion) Mouza Hasnana(Permanent),31.24926,72.29471,Female,Punjab,0,3,0,1527
158,Government Boys Primary School Chak No. 449/JB,31.249479603692595,72.58415430431143,Combined,Punjab,2,1,1071,764
13,Government Girls Elementary School (Middle Portion) Hasnana (Permanent),31.24953,72.29502,Combined,Punjab,1,1,507,417
10,Government Boys Primary School Beli Wala Mouza Hasnana (Permanent),31.24985,72.296,Male,Punjab,2,0,878,0
155,Government Boys Primary School Chak No. 452/JB,31.250720560603128,72.4754679157868,Combined,Punjab,2,2,964,806
157,Government Boys Primary School Chak No. 448/JB,31.252848197815226,72.53128656674768,Combined,Punjab,2,1,939,580
153,Government Boys Middle School Chak No. 451/JB,31.25321,72.49585,Combined,Punjab,1,1,608,437
38,Government Girls Primary School Baig Colony (Permanent),31.25420161079103,72.36667960733156,Combined,Punjab,1,1,832,674
12,Government Girls Elementary School- Muslim Nagar (Permanent),31.25705,72.30975,Male,Punjab,2,0,1018,0
17,Government Boys Elementary School Chak No. 268/JB (Permanent),31.262684453615158,72.39402860426864,Male,Punjab,2,0,957,0
18,Government Boys Elementary School Chak No. 268/JB (Permanent),31.262684453615158,72.3940586042686,Female,Punjab,0,2,0,879
164,Government Boys Primary School Chak No. 454/JB (Permanent),31.262774857870895,72.44749914127908,Combined,Punjab,1,1,651,606
159,Government Boys Primary School Chak No. 450/JB,31.262909559196896,72.5484795638626,Combined,Punjab,2,1,969,690
16,Government Girls Elementary School Chak No. 268/JB (Permanent),31.263180948296224,72.39711489047524,Combined,Punjab,1,1,623,496
46,Government English Medium Boys Primary School Chak Kacha (Permanent),31.263450311288157,72.27053602173225,Combined,Punjab,2,1,967,626
4,Government Girls High School Mai Heer (Permanent),31.27281834830683,72.33415495657741,Male,Punjab,2,0,1110,0
5,Government Girls High School Mai Heer (Permanent),31.27281834830683,72.3341849565774,Female,Punjab,0,2,0,940
27,Government Girls High School Kot Sai Singh  (Permanent),31.2739,72.3498,Combined,Punjab,1,1,707,727
28,Government Girls High School Kot Sai Singh  (Permanent),31.2739,72.34983,Combined,Punjab,1,1,976,665
2,Government Boys Primary School Heer Camp (Permanent),31.27504,72.3343,Combined,Punjab,2,2,785,622
3,Government Boys Primary School Heer Camp (Permanent),31.27504,72.33433,Combined,Punjab,1,1,521,409
1,Complex Football Ground Mai Heer (Permanent),31.275571847674996,72.33242548934028,Combined,Punjab,2,2,921,805
142,Government Girls Middle School 176/JB,31.27575,72.62896,Combined,Punjab,2,2,969,731
143,Government Boys Primary School Chak No. 177/JB,31.27653,72.61543,Combined,Punjab,1,1,704,630
25,Government Girls Primary School- Basti Ghausia- Chak Naulan- Jhang.,31.277554497899004,72.35627131981494,Combined,Punjab,1,1,487,366
26,Government Boys Primary School- Kot Sai Singh.,31.27811129769661,72.35202300807563,Combined,Punjab,2,2,859,772
19,Government Boys Elementary School (Middle Portion) Chak No. 269/JB (Permanent),31.28074,72.40186,Combined,Punjab,1,1,524,443
20,Government Boys Elementary School (Middle Portion) Chak No. 269/JB (Permanent),31.28074,72.40189,Combined,Punjab,1,1,592,482
23,Government Boys High School Kot Sai Singh   (Permanent),31.282417751606047,72.36644878908723,Combined,Punjab,1,1,821,544
24,Government Boys High School Kot Sai Singh   (Permanent),31.282417751606047,72.3664787890872,Combined,Punjab,1,1,740,587
162,Government Girls Primary School Chak No. 216/JB,31.2829,72.49929,Combined,Punjab,2,2,946,819
160,Government Boys High School Chak No. 219/JB,31.28762,72.44157,Female,Punjab,0,2,0,964
163,Government Boys High School Chak No. 219/JB,31.28762,72.4416,Male,Punjab,3,0,1240,0
45,Government Girls Community model school pump zulfiqar (Permanent),31.28953,72.29194,Combined,Punjab,1,1,612,477
148,Government Girls Primary School Chak No. 213/JB,31.28993,72.55471,Combined,Punjab,2,2,910,713
14,Government Boys Primary School Chah Mehr. Jan Muhammad Wala Dera Haji Waryam Wala   (Permanent),31.29109047997236,72.27550576079166,Combined,Punjab,1,1,650,559
161,Government Boys Primary School Chak No. 216/JB,31.2915,72.49566,Combined,Punjab,1,1,594,498
22,Government Girls Primary School Chak No. 270/JB (Permanent),31.292202559351704,72.38927788991423,Combined,Punjab,1,1,529,448
15,Government Girls Primary School Chah Jan Muhammad Wala   (Permanent),31.29253814406198,72.27642938003505,Combined,Punjab,1,1,829,722
152,Government Girls Primary School Chak No. 214/JB (Abadi Gujjar),31.293320117478043,72.53982661470506,Combined,Punjab,1,1,602,507
21,Government Boys Primary School Chak No. 270/JB (Permanent),31.29371,72.39436,Combined,Punjab,1,1,498,419
53,Government Girls High School Chak No. 267/JB,31.29435,72.41318,Combined,Punjab,2,2,793,566
52,Government Boys Primary School Chak No. 267/JB (Male),31.296164533561882,72.41463926253516,Combined,Punjab,1,1,498,433
60,Government Boys Primary School Chak No. 266/JB Abadi Ameeray Wali,31.30017,72.43969,Combined,Punjab,1,1,505,388
61,Government Girls Primary School Chak No. 266/JB (Sharqi),31.30136,72.43806,Combined,Punjab,1,1,530,386
147,Government Girls Elemantry School Chak No. 256/JB,31.30192,72.60654,Combined,Punjab,1,1,589,517
149,Government Boys High School Chak No. 214/JB,31.30217,72.56224,Combined,Punjab,1,1,387,306
150,Government Boys High School Chak No. 214/JB,31.30217,72.56227,Combined,Punjab,1,1,698,578
151,Government Boys High School Chak No. 214/JB,31.30217,72.5623,Combined,Punjab,1,1,695,479
47,Government Boys Elementary School Jalal Abad  (Permanent),31.303228923452757,72.34265083935283,Combined,Punjab,2,1,818,638
51,Health Centere Chak No. 220/JB,31.303729063149976,72.45943894042462,Combined,Punjab,1,1,403,283
82,Government Boys Primary School Basti Mallah (Permanent),31.304598156149883,72.27729178254853,Combined,Punjab,1,1,365,302
50,Government Girls Elementry School Chak No. 220/JB,31.30548,72.45914,Combined,Punjab,1,1,767,647
48,Government boys Primary School Chak No. 215/JB,31.30715,72.49592,Combined,Punjab,1,1,661,466
49,Government Girls Primary School Chak No. 215/JB,31.30715,72.49595,Combined,Punjab,1,1,621,472
108,Government Girls Primary School Chak No. 182/JB (Gadi),31.30825,72.54733,Combined,Punjab,1,1,520,426
130,Government Boys Primary School Chak No. 183/JB,31.31068,72.53722,Combined,Punjab,1,1,683,594
146,Government Boys Primary School Chak No. 256/JB,31.31138,72.60475,Combined,Punjab,1,1,666,628
40,Government Girls Primary School Basti Ghogay Wali   (Permanent),31.31346,72.33018,Female,Punjab,0,2,0,813
44,Government Girls Primary School Basti Ghogay Wali   (Permanent),31.313465109091315,72.33020821502039,Female,Punjab,0,2,0,624
81,Government Boys Primary School Jindran (Permanent),31.313726647153082,72.29466118277253,Combined,Punjab,1,1,575,423
43,Government Boys Primary School Basti Ghogay Wali   (Permanent),31.31445,72.33059,Male,Punjab,2,0,804,0
39,Government Boys Primary School Basti Ghogay Wali   (Permanent),31.31448594570666,72.33054140975236,Male,Punjab,2,0,1067,0
133,Government Boys High School Chak No. 169/JB Garwah,31.31589,72.62491,Male,Punjab,2,0,993,0
107,Government Girls Primary School Chak No. 181/JB (Gharbi),31.31767,72.57623,Combined,Punjab,1,1,533,406
145,Government Boys High School Chak No. 254/JB,31.318558927386295,72.6352856016733,Combined,Punjab,1,1,524,352
144,Government Girls Primary School Chak No. 254/JB,31.318664091080166,72.63403702427205,Combined,Punjab,1,1,805,588
58,Government Girls Elementry School Chak No. 265/JB,31.32005,72.42945,Combined,Punjab,1,1,643,573
59,Government Girls Elementry School Chak No. 265/JB,31.32005,72.42948,Combined,Punjab,1,1,729,609
41,Government Model Primary School Syedan Wali (Permanent),31.323358488087095,72.3455285333795,Male,Punjab,1,0,807,0
42,Government Model Primary School Syedan Wali (Permanent),31.323358488087095,72.3455585333795,Female,Punjab,0,1,0,670
125,Government Girls Community School Chak No. 174/JB,31.324754245264273,72.48875139304658,Combined,Punjab,1,1,642,516
80,Government Girls Primary School Patoana (Permanent),31.32547,72.29379,Female,Punjab,0,2,0,874
68,Government Boys Primary School Abdul Aziz,31.32559,72.36929,Combined,Punjab,2,2,899,644
69,Government Boys Primary School Abdul Aziz,31.32559,72.36932,Combined,Punjab,2,2,980,658
79,Government Boys Elementary School Patoana (Permanent),31.32578,72.29146,Male,Punjab,2,0,1117,0
126,Government Boys High School Chak No. 175/JB,31.32636,72.50953,Combined,Punjab,1,1,696,592
127,Government Boys High School Chak No. 175/JB,31.32636,72.50956,Combined,Punjab,1,1,690,535
128,Government Boys High School Chak No. 175/JB,31.32636,72.50959,Combined,Punjab,1,1,569,506
129,Government Boys Primary School Chak No. 175/JB,31.32832,72.50842,Combined,Punjab,1,1,284,260
106,Government Girls Primary School Chak No. 181/JB (Sharqi),31.32948,72.60451,Combined,Punjab,1,1,691,592
55,Government Girls High School Chak No. 262/JB bhojoana,31.332,72.46722,Combined,Punjab,2,2,992,829
105,Government Boys Primary School Chak No. 180/JB,31.3323,72.57805,Combined,Punjab,1,1,518,407
132,Government Girls Primary School Chak No. 169/JB (Garwah),31.33544,72.55547,Female,Punjab,0,2,0,759
57,Government Girls Primary School Chak No. 264/JB (Mahniwala),31.335871066922262,72.42646167017917,Combined,Punjab,1,1,647,488
56,Government Boys High School Chak No. 263/JB,31.33797,72.44547,Combined,Punjab,2,1,854,745
121,Government Boys Primary School Chak No. 255/JB,31.33879,72.62134,Combined,Punjab,2,1,909,690
134,Government Girls Community School Chak No. 179/JB,31.33904,72.57186,Combined,Punjab,1,1,431,370
118,Government Boys Primary School Chak No. 253/JB,31.33971,72.6557,Combined,Punjab,1,1,582,450
119,Government Girls Primary School Chak No. 253/JB,31.339784079257633,72.65265397719448,Combined,Punjab,1,1,527,440
76,Government Girls High School Habib,31.340602596688967,72.29891575760125,Combined,Punjab,1,1,417,294
77,Government Girls High School Habib,31.340602596688967,72.2989457576012,Combined,Punjab,1,1,745,607
124,Government Boys Primary School Chak No. 172/JB,31.34399,72.51437,Combined,Punjab,1,1,718,569
131,Government Boys High School Chak No. 169/JB Aura,31.35155,72.56473,Combined,Punjab,1,1,795,589
123,Government Boys Primary School Chak No. 171/JB,31.35162,72.54079,Combined,Punjab,2,1,830,577
54,Government boys middle School Chak No. 262/JB kot bharwana,31.35217,72.4709,Combined,Punjab,2,2,888,623
141,Government Girls Primary School Chak No. 173/JB,31.35363,72.49895,Combined,Punjab,1,1,599,550
122,Government Girls Primary School Chak No. 171/JB (Mangani),31.35461,72.54302,Combined,Punjab,1,1,490,397
78,Government Girls Primary School Awan Wala,31.35689515314997,72.31149525165503,Combined,Punjab,1,1,788,670
