StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
20,Government Model Primary School Basti Wali Muhammad Jhanddir (Permanent),30.61353,71.72782,Combined,Punjab,1,1,286,189
19,Government Boys Primary School Sidhana (Permanent),30.62876,71.72823,Combined,Punjab,1,1,287,204
42,Government Girls Primary School- Zafarullah Abad (Permanent),30.6315,71.69772,Combined,Punjab,1,1,447,320
14,Government Girls High School Samandooana (Permanent),30.63291,71.74466,Combined,Punjab,2,1,894,593
12,Government Boys High School Samandooana (Permanent),30.63292,71.74613,Combined,Punjab,1,1,557,465
13,Government Boys High School Samandooana (Permanent),30.63292,71.74616,Combined,Punjab,1,1,470,440
15,Government Boys Elementry School Zafar Abad (Permanent),30.63414,71.69418,Combined,Punjab,2,1,813,603
18,Government Girls Primary School Chak No. 4/4-L (Permanent),30.6423,71.68168,Combined,Punjab,1,1,659,489
26,Government Boys Elementry School Essa Wala (Sharqi No. 2) (Permanent),30.64371,71.66065,Combined,Punjab,1,1,706,500
1,Government Boys Primary School Basti Chadhar (Permanent),30.647,71.78453,Combined,Punjab,1,1,556,482
11,Government Boys Primary School Faqir Sial (Permanent),30.64942,71.8042,Combined,Punjab,2,2,849,745
3,Government Boys Primary School Chak Naurang Shah (Male)(Permanent),30.65261,71.72752,Male,Punjab,2,0,741,0
41,Government Girls Elementary School Hoot Sial (Permanent),30.66176,71.77913,Combined,Punjab,1,1,632,468
10,Government Girls Primary School Charyari (Permanent),30.66247516382827,71.77889370635681,Combined,Punjab,1,1,380,241
40,Government Primary School-  Mian Wala(Female) (Permanent),30.66412,71.66049,Female,Punjab,0,2,0,715
50,Government Girls Primary School Koshak Baloch (Female)(Permanent),30.66508,71.73486,Female,Punjab,0,2,0,848
17,Government Boys Primary School Chak No. 3/4-L (Permanent),30.66671,71.69289,Combined,Punjab,1,1,359,265
49,Government Model Primary School- Mujahid Abad (Male)(Permanent),30.66675,71.74435,Male,Punjab,2,0,1186,0
2,Government Boys Model Primary School Namdar Sial (Permanent),30.66987,71.77128,Combined,Punjab,2,2,840,656
16,Government Boys Primary School Chak No. 2/4-L (Permanent),30.67636,71.70132,Combined,Punjab,1,1,623,426
25,Government Boys Primary School Yasmeen (Permanent),30.67714,71.66986,Combined,Punjab,1,1,524,342
57,Government Girls Primary School Gulberg(Male) (Permanent),30.67937,71.7773,Male,Punjab,2,0,1193,0
58,Government Model Primary School Saeed Abad No.2 (Female) (Permanent),30.68071,71.76834,Female,Punjab,0,2,0,835
4,Government Girls Primary School Chak Naurang Shah (Female)(Permanent),30.68123,71.75613,Female,Punjab,0,1,0,578
48,Government Girls Primary School Town Committee Ahmed Pur Sial(Female) (Permanent),30.68184,71.7618,Female,Punjab,0,2,0,880
54,Government Girls Primary School- Mumtaz Colony-  Ahmed Pur Sial (Female)(Permanent),30.68266,71.77374,Female,Punjab,0,4,0,1289
8,Government Girls Model Primary School (Boys Portion) Chak No. 10/3-L (Permanent),30.68281,71.73094,Combined,Punjab,2,2,790,652
47,Government Boys Primary School Jinnah Town Ahmed Pur Sial (Male) (Permanent),30.6837,71.75398,Male,Punjab,2,0,1041,0
46,Government Girls Primary School Jinnah Town Ahmed Pur Sial (Female) (Permanent),30.68468,71.75466,Female,Punjab,0,3,0,1128
52,Government Girls Higher Secondry School Ahmed Pur Sial (Female) Middle Portion(Permanent),30.68572,71.76518,Female,Punjab,0,4,0,1506
56,Government Girls Higher Secondary School Ahmed Pur Sial Secondary Portion (Female) (Permanent),30.68572,71.76521,Female,Punjab,0,3,0,1050
51,Government High School (old Building) Ahmed Pur Sial (Male) (Permanent),30.68623,71.76525,Male,Punjab,4,0,1651,0
53,Government Boys High School (Bulding Near Hall) Ahmed Pur Sial Sharqi (Male) (Permanent),30.68623,71.76528,Male,Punjab,4,0,1444,0
55,Government Boys High School Ahmed Pur Sial (Male) (Permanent),30.68623,71.76531,Male,Punjab,3,0,1224,0
24,Government Boys Primary School Chak No. 1/4-R (Permanent),30.68749,71.68504,Combined,Punjab,2,1,784,590
45,Government Boys Primary School- Ahmed Pur Sial Gharbi(Male) (Permanent),30.68815,71.76215,Male,Punjab,3,0,1370,0
37,Government Elementry School (Middle Portion) Chaman Abbas (Permanent),30.6882,71.79654,Combined,Punjab,2,2,1004,760
38,Government Elementry School (Middle Portion) Chaman Abbas (Permanent),30.68825,71.79658,Combined,Punjab,1,1,540,365
9,Government Boys Primary School Chak No. 1/4-L (Chah Akbari Wala) (Permanent),30.69188,71.71799,Combined,Punjab,1,1,730,558
39,Government Boys Primary School-  Sheikh Talib (Male)(Permanent),30.69617,71.66154,Male,Punjab,2,0,910,0
36,Government Girls Community Model School Ranjeet Kot  (Permanent),30.69772,71.78297,Combined,Punjab,2,1,713,538
35,Government Boys Primary School Ranjeet Kot  (Permanent),30.69772,71.784,Combined,Punjab,2,1,855,576
23,Rest House Bangla Yasmeen (Permanent),30.71539,71.70295,Combined,Punjab,2,1,809,619
21,Government Girls Elementry School Essa Wala Shumali (Permanent),30.71583,71.70128,Combined,Punjab,2,1,977,731
22,Government Boys High School Essa Wala (Permanent),30.71629,71.70134,Combined,Punjab,2,1,877,708
6,Government Girls Primary School Chak No. 7/3-L (Female)(Permanent),30.71826,71.76283,Female,Punjab,0,2,0,910
5,Government Boys Primary School Chak No. 7/3-L (Male)(Permanent),30.71844,71.75096,Male,Punjab,2,0,1277,0
107,Government Model Boys Primary School Dhara Qanbar Shah(Permanent),30.724305043512782,71.81825041726178,Combined,Punjab,2,2,1268,971
7,Government Boys Primary School Chak No. 9/3-L (Permanent),30.73536,71.72832,Combined,Punjab,2,1,749,418
86,Government Boys High School (Middle Portion) Pir Abdul Rehman (Male) (Permanent),30.742422872499635,71.80991979207666,Male,Punjab,3,0,1630,0
87,Government Boys High School (Middle Portion) Pir Abdul Rehman (Male) (Permanent),30.742422872499635,71.8099497920767,Female,Punjab,0,3,0,1295
44,Government Girls Primary School Mian Hassa (Permanent),30.74561,71.70123,Combined,Punjab,1,1,638,450
32,Government Primary School Nechan Thal (Permanent),30.74584,71.69318,Combined,Punjab,1,1,705,471
30,Government Girls Primary School Nusrat Abad Kalachi (Permanent),30.74751,71.76424,Combined,Punjab,1,1,380,289
88,Government Girls High School Pir Abdul Rehman Shumali(Permanent) Middle Portion,30.74786,71.81337,Male,Punjab,3,0,1686,0
89,Government Girls High School Pir Abdul Rehman Shumali(Permanent) High Portion,30.74786,71.8134,Female,Punjab,0,3,0,1304
34,Government Boys Elementry School Chak No. 5/3-R (Permanent),30.7484,71.72399,Combined,Punjab,2,2,850,636
84,Rural Health Dispensary near Eid Gaha Pir Abdul Rehman,30.74891,71.81059,Male,Punjab,4,0,1898,0
85,Government Boys Primary School Chak Haideri Basti Afghan (Female) (Permanent),30.75304,71.79731,Female,Punjab,0,4,0,1469
29,Government Boys Primary School Mulazim Wala (Permanent),30.7561,71.75453,Combined,Punjab,1,1,583,407
43,Government Girls Primary School 6/3-L (Permanent),30.75937,71.76411,Combined,Punjab,1,1,318,260
105,Government Girls Community Model School Basti Kasooana (Female) (Permanent),30.77063,71.81442,Female,Punjab,0,2,0,984
104,Goernment Boys Primary School Kasooana (Male),30.77082,71.81352,Male,Punjab,2,0,1192,0
28,Government Boys Primary School Chak No. 5/3L (Female)(Permanent),30.77514,71.77183,Female,Punjab,0,2,0,739
