StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
15,GOVT. E/S  MACHHRALA (COMBINED),31.35973,73.79485,Combined,Punjab,2,2,728,627
168,GOVT. GIRLS P/S BAKHTAWAR KOT (COMBINED),31.35973,73.79488,Combined,Punjab,2,1,630,546
171,OFFICE BHU BUDDAH PINDH (COMBINED),31.35973,73.79491,Combined,Punjab,2,2,826,718
70,GOVT. GIRLS P/S MUSTAFA ABAD  (COMBINED),31.35973,73.79494,Combined,Punjab,2,1,822,627
75,GOVT. GIRLS E/S CHAK NO.577/GB DOCTOR WALA  (COMBINED),31.35973,73.79497,Combined,Punjab,2,1,710,464
86,GOVT. BOYS P/S DAFAR KHOKHRAAN  (COMBINED),31.35973,73.795,Combined,Punjab,1,1,323,216
82,GOVT. BOYS P/S TAKHTOO WALA (COMBINED),31.4401,73.84811,Combined,Punjab,1,1,437,369
83,GOVT. BOYS P/S AZEEM WALA (COMBINED),31.44234,73.87703,Combined,Punjab,1,1,294,195
59,GOVT. BOYS E/S CHAK NO. 19/GB (MALE),31.44387,73.51772,Male,Punjab,3,0,1180,0
60,GOVT. BOYS E/S CHAK NO. 19/GB (FEMALE),31.44387,73.51775,Female,Punjab,0,2,0,833
61,GOVT. BOYS P/S CHAK NO. 20/GB (COMBINED),31.45464,73.53786,Combined,Punjab,2,2,877,645
173,GOVT. BOYS P/S NONARI (COMBINED),31.45506,73.83537,Combined,Punjab,2,2,652,584
36,GOVT. BOYS E/S CHAK NO. 369/GB RAISAN WALA (MALE),31.45585,73.57893,Male,Punjab,2,0,1090,0
37,GOVT. BOYS E/S CHAK NO. 369/GB RAISAN WALA (FEMALE),31.45585,73.57896,Female,Punjab,0,2,0,900
174,GOVT. GIRLS P/S KANDAR KOT (COMBINED),31.45708,73.83553,Combined,Punjab,2,1,565,447
13,GOVT. BOYS P/S SANGIAN WALA (COMBINED),31.45711,73.74826,Combined,Punjab,1,1,468,309
53,GOVT. BOYS P/S CHAK NO. 18/GB (MALE),31.46294,73.49899,Male,Punjab,3,0,1228,0
54,GOVT. BOYS P/S CHAK NO. 18/GB (FEMALE),31.46294,73.49902,Female,Punjab,0,2,0,978
4,GOVT. GIRLS H/S CHAK NO. 371/GB MARTON PUR (COMBINED),31.46438,73.60226,Combined,Punjab,2,2,796,689
5,GOVT. GIRLS H/S CHAK NO. 371/GB MARTON PUR (COMBINED),31.46438,73.60229,Combined,Punjab,2,2,847,699
172,GOVT. P/S JAHANGAR HAKUM WALA (COMBINED),31.46662,73.80479,Combined,Punjab,1,1,330,278
47,GOVT. GIRLS P/S CHAK NO. 11/GB (COMBINED),31.47035,73.5388,Combined,Punjab,2,1,751,514
80,GOVT. BOYS P/S JAISAL (COMBINED),31.47451,73.88734,Combined,Punjab,1,1,406,309
84,GOVT. BOYS M/S FATEH DARYA (COMBINED),31.47472,73.88696,Combined,Punjab,2,2,952,657
14,GOVT. P/S CHAK NO. 589/GB ADAM PURA (COMBINED),31.47528,73.75972,Combined,Punjab,2,1,592,487
51,GOVT. BOYS H/S CHAK NO. 17/GB KARYAL (MALE),31.47589,73.48606,Male,Punjab,4,0,1406,0
52,GOVT. BOYS H/S CHAK NO. 17/GB KARYAL (FEMALE),31.47589,73.48609,Female,Punjab,0,3,0,1167
81,GOVT. BOYS M/S HARYA   (COMBINED),31.47769,73.93402,Combined,Punjab,1,1,429,322
85,GOVT. BOYS P/S MUNDI (COMBINED),31.47769,73.93405,Combined,Punjab,2,2,766,553
28,GOVT. P/S CHAK NO.4 BHAGWAN PURA (COMBINED),31.47859,73.59381,Combined,Punjab,2,1,580,480
73,GOVT. BOYS P/S TASH PUR  (COMBINED),31.48019,73.80312,Combined,Punjab,2,1,544,391
49,GOVT. BOYS E/S CHAK NO. 12/GB GARMOOLA (MALE),31.48024,73.51099,Male,Punjab,2,0,1125,0
50,GOVT. BOYS E/S CHAK NO. 12/GB GARMOOLA (FEMALE),31.48024,73.51102,Female,Punjab,0,2,0,844
1,GOVT. GIRLS P/S CHAK NO. 371/GB YOUNGSAN ABAD (COMBINED),31.48092,73.6178,Combined,Punjab,2,2,707,647
46,GOVT. GIRLS P/S CHAK NO. 10/GB NOSHAIRA (COMBINED),31.48119,73.54877,Combined,Punjab,2,1,705,535
7,GOVT. GIRLS P/S CHAK NO. 370/GB SARDAR WALA (COMBINED),31.48231,73.59473,Combined,Punjab,1,1,403,302
45,GOVT. BOYS P/S CHAK NO. 10/GB NOSHAIRA (COMBINED),31.48252,73.55316,Combined,Punjab,1,1,652,557
6,GOVT. BOYS P/S CHAK NO. 370/GB SAHIB WALA (COMBINED),31.483,73.59746,Combined,Punjab,2,1,842,654
2,GOVT. BOYS P/S CHAK NO. 371/GB YOUNGSAN ABAD (MALE),31.48372,73.62376,Male,Punjab,2,0,1242,0
3,GOVT. BOYS P/S CHAK NO. 371/GB YOUNGSAN ABAD (FEMALE),31.48372,73.62379,Female,Punjab,0,2,0,1106
57,GOVT. GIRLS E/S CHAK NO. 15/GB SAMSHA (COMBINED),31.48761,73.49984,Combined,Punjab,2,1,651,455
44,GOVT. GIRLS P/S CHAK NO. 9/GB JABBAR (COMBINED),31.49264,73.55766,Combined,Punjab,2,2,887,710
58,GOVT. BOYS P/S CHAK NO. 16/GB BADO MATTA (COMBINED),31.49652,73.47451,Combined,Punjab,2,2,881,637
170,GOVT. GIRLS P/S WALGAN SATTAR (COMBINED),31.49663,73.82091,Combined,Punjab,1,1,493,426
29,GOVT. H/S CHAK WATTOWAN (MALE),31.50007,73.63882,Male,Punjab,3,0,1184,0
30,GOVT. H/S CHAK WATTOWAN (FEMALE),31.50007,73.63885,Female,Punjab,0,2,0,962
31,GOVT. H/S CHAK WATTOWAN (COMBINED),31.50007,73.63888,Combined,Punjab,2,2,909,827
32,GOVT. BOYS P/S CHAK NO. 5/ GB KHURD (COMBINED),31.50046,73.6029,Combined,Punjab,2,1,640,547
55,GOVT. BOYS H/S CHAK NO. 13/GB RANDAIR (MALE),31.50353,73.57468,Male,Punjab,2,0,959,0
56,GOVT. BOYS H/S CHAK NO. 13/GB RANDAIR (FEMALE),31.50353,73.57471,Female,Punjab,0,2,0,848
78,GOVT. BOYS P/S JASLANI  (MALE),31.50361,73.84581,Male,Punjab,3,0,1274,0
79,GOVT. BOYS P/S JASLANI  (FEMALE),31.50361,73.84584,Female,Punjab,0,2,0,929
42,GOVT. BOYS P/S CHAK NO.8/GB ANAND GAR (COMBINED),31.50373,73.56162,Combined,Punjab,2,1,602,456
43,GOVT. GIRLS E/S CHAK NO. 8/GB ANAND GAR (COMBINED),31.50387,73.56428,Combined,Punjab,2,1,812,620
35,GOVT. BOYS P/S CHAK NO. 5/GB KALAN (COMBINED),31.50402,73.58633,Combined,Punjab,2,1,610,458
33,GOVT. GIRLS COMMUNITY M/S CHAK NO. 5/GB KALAN (MALE),31.50538,73.58527,Male,Punjab,3,0,1289,0
34,GOVT. GIRLS COMMUNITY M/S CHAK NO. 5/GB KALAN (FEMALE),31.50538,73.5853,Female,Punjab,0,2,0,995
169,GOVT. BOYS P/S FAREED ANA (COMBINED),31.5073,73.79784,Combined,Punjab,1,1,520,472
41,GOVT. BOYS H/S CHAK NO. 7/GB SAINI BAR (COMBINED),31.51093,73.58074,Combined,Punjab,2,2,743,605
11,GOVT. GIRLS P/S CHAK NO. 572 HUSSAIN ABAD (COMBINED),31.51214,73.70404,Combined,Punjab,1,1,400,251
8,GOVT. COMMUNITY M/S DOLAT PURA (COMBINED),31.5125,73.74583,Combined,Punjab,1,1,522,348
