StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
124,124. Government Boys Primery School- Bal Sheikhupura (Male) (P)*,0.2323,0.2323,Male,Punjab,3,0,1369,0
133,133. Office Live Stock (Hospital ) Premery Centre- Jewon Pura Khurd (male),29.32687,74.02795,Male,Punjab,3,0,1274,0
134,134. Office Live Stock (Hospital ) Premery Centre- Jewon Pura Khurd (male),29.32687,74.02798,Male,Punjab,3,0,949,0
37,37. Government.Boys Primary School Nanu Dogar (P)*(Combine),31.35705,74.06272,Combined,Punjab,2,1,997,646
31,31. Government.Boys High School Faiz Pur Kalan (P)*(Combine),31.4016,74.02716,Combined,Punjab,2,2,1008,727
32,32. Government.Boys High School Faiz Pur Kalan (P)*(Combine),31.4016,74.02719,Combined,Punjab,2,2,577,383
36,36. Government.Boys Primary School Chakki Ghaira (P)*(Combine),31.41165,74.03564,Combined,Punjab,2,1,818,563
34,34. Government.Boys Primary School Noor Pur Arrian (P)*(Combine),31.42311,74.07417,Combined,Punjab,2,1,772,662
35,35. Basic Health Centre-Tinday Ladway (P)* (Combine),31.42417,74.05307,Combined,Punjab,1,1,680,465
57,57. Government Girls Community Model Middle School Fatuwala (Combine),31.43072,74.03056,Combined,Punjab,1,1,741,533
58,58. Basic Health Centre Fatuwala (P)* (Combine),31.43072,74.03059,Combined,Punjab,2,1,1021,760
56,56. Government Primary School Fatuwala (Combine),31.43087,74.03806,Combined,Punjab,2,2,1055,796
9,9. Government Primary School Thatha Laway (Combine),31.43618,74.08689,Combined,Punjab,1,1,808,575
33,33. Government Girls Primary School Ayya pur(Combine),31.43974,74.07,Combined,Punjab,1,1,742,558
25,25. Government Girls Elementary School Dhool (Combine),31.44071,74.04723,Combined,Punjab,2,1,881,654
22,22. Government.Girls High School Kot Mehmmood (P)*(Combine),31.45063,74.06133,Combined,Punjab,2,1,772,630
24,24. Government.Girls High School Kot Mehmood(Male) (P)*,31.45063,74.06136,Male,Punjab,3,0,1819,0
4,4. Government Primary School Purani Bheni (Combine),31.45287,74.11375,Combined,Punjab,2,1,532,377
5,5. Government Primary School Purani Bheni (Combine),31.45287,74.11378,Combined,Punjab,2,2,772,557
38,38. Government Girls Primary School Sikhanwala(Combine),31.45494,74.07402,Combined,Punjab,2,1,803,636
23,23. Government Primary School Kot Mehmood (Female),31.45671,74.06336,Female,Punjab,0,2,0,1397
73,73.Government.Primary School Hakeem Gharri- Sharaqpur (male),31.45758,74.09653,Male,Punjab,4,0,1693,0
74,74.Government.Primary School Hakeem Gharri- Sharaqpur (female),31.45758,74.09656,Female,Punjab,0,2,0,1384
77,77. Government.Boys Primary School Tehsil Road Sharqpur (Male) (T)**,31.4631,74.10091,Male,Punjab,4,0,1733,0
78,78. Government.Boys Primary School Tehsil Road Sharqpur (Female) (T)**,31.4631,74.10094,Female,Punjab,0,3,0,1469
68,68. Pakistan Cadet School (Regd) Chah Badry wala Sharqpur  (male),31.46403,74.10245,Male,Punjab,2,0,1165,0
