StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
146,146 Government Boys Primary school Chak No. 5 UCC*,31.52716,73.97198,Combined,Punjab,1,1,633,390
143,143. Government Boys High School chak No. 4 Rasala*,31.5443,73.96494,Combined,Punjab,1,1,595,367
144,144. Government Boys High School chak No. 4 Rasala*,31.5443,73.96497,Combined,Punjab,2,2,1035,737
145,145. Government Boys High Schooll Cahk No 4 Rasala*,31.5443,73.965,Combined,Punjab,2,1,675,519
10,10. Government Girls Elementry School- Kair Warrah*,31.54921,73.67139,Male,Punjab,3,0,1303,0
14,14. Government Boys Primary School Nonehal*,31.54921,73.67142,Combined,Punjab,1,1,457,339
13,13. Government Boys Primary School- Chuhri Dhall*,31.55506,73.6693,Combined,Punjab,1,1,469,302
7,7. Government Girls Elementary School- Kot War.,31.56082,73.69348,Combined,Punjab,2,2,951,771
6,6. Government Boys Primary school- Kot War (Mangal Singh )*,31.56093,73.69378,Combined,Punjab,2,2,1096,856
141,141. Basic Health Unit- Hoeke*,31.56229,73.95184,Combined,Punjab,1,1,314,248
19,19. Government Girls High school- Mogi Ghulam,31.56381,73.63912,Combined,Punjab,2,1,756,581
9,9. Government Girls Primary Model School -Warrah Behlolian.,31.56483,73.70517,Combined,Punjab,1,1,426,309
83,83. Government Boys Primary School Nawab Kot*,31.56697,73.84842,Combined,Punjab,2,1,688,480
8,8. Government Boys Primary School- Kairan.,31.56744,73.69875,Combined,Punjab,2,1,821,600
12,12. Government Primary School Qila Aqwaq Singh,31.57014,73.65838,Combined,Punjab,2,2,938,731
1,1. Government Girls Elementry School- Kair Warrah* (135),31.57559,73.72358,Female,Punjab,0,2,0,922
142,142. Government Girls Elementry School- Fateh Class*,31.57876,73.94084,Combined,Punjab,1,1,235,169
82,82. Government Boys High School Mehmowali.*,31.57937,73.88221,Combined,Punjab,2,1,825,609
94,94. Government Primary School No.1- Mananwala.,31.58039,73.69039,Male,Punjab,3,0,1141,0
81,81. Government Girls Elementary School- Mahmun Wali.,31.58057,73.8765,Combined,Punjab,2,1,680,494
49,49. Government Girls Primary school Chuntra Athwal,31.58154,73.79965,Combined,Punjab,2,2,603,473
50,50. Government Girls Primary school Chuntra Athwal,31.58154,73.79968,Combined,Punjab,2,1,627,493
91,91. Arfan-Ul-Quran High School ( R) Mananwala. (119),31.58167,73.68908,Male,Punjab,3,0,1168,0
137,137. Government Primary School- Anba*,31.58227,73.97096,Combined,Punjab,2,1,964,582
136,136. Government Primary School- Ranseen.,31.58236,73.95663,Combined,Punjab,1,1,359,261
96,96. Government Primary School No.2 Eid Gah Road Manawala,31.58313,73.67899,Male,Punjab,4,0,1850,0
47,47. Government Boys Primary School Ghulla Watwan*,31.58403,73.83131,Female,Punjab,0,2,0,1060
95,95. Government Girls Higher Sceondary School Manawala*,31.5852,73.68716,Female,Punjab,0,3,0,1735
97,97. Government Girls Higher Secondary School- Mananwala,31.5852,73.68719,Female,Punjab,0,3,0,1446
98,98. Town Committee office Manawala*,31.58541,73.68794,Male,Punjab,4,0,1869,0
46,46. Government Primary School- Rana Town Ferozewattan.,31.58544,73.81893,Male,Punjab,3,0,1397,0
48,48. Government Girls Primary School Ghulla Watwan*,31.58555,73.83458,Male,Punjab,3,0,1264,0
78,78. Government Primary School- Tharrian.,31.58704,73.91013,Combined,Punjab,1,1,533,349
22,22. Government Girls Elementary School- Wara Imam din Sharqi.,31.58706,73.73164,Combined,Punjab,2,2,795,528
32,32. Government Boys Primary school- Tani Chak No. 524*,31.58708,73.75195,Combined,Punjab,2,2,945,715
133,133. Government Girls Community Model School- Kalia.,31.58792,73.97107,Combined,Punjab,2,1,821,551
11,11. Government Boys Primary School Qila Shab Deve Singh*,31.5882,73.6568,Combined,Punjab,2,1,705,496
2,2. Government Boys Primary School Qila Shab Deve Singh* (136),31.5882,73.65683,Combined,Punjab,2,1,714,404
100,100 Government Boys High School-Manawala*,31.58899,73.69083,Male,Punjab,4,0,1833,0
101,101. Government Boys High School-Manawala*,31.58899,73.69086,Male,Punjab,4,0,847,0
99,99. Government Boys High School Manawala*,31.58899,73.69089,Female,Punjab,0,3,0,1504
35,35. Government Boys High School- (High Section) Ferozewattan*,31.58931,73.81669,Combined,Punjab,2,2,767,682
36,36. Government Boys High School- (Middle Section) Ferozewattan*,31.58931,73.81672,Combined,Punjab,2,2,974,834
39,39. Government Girls High School- Ferozewattan (Elementary Wing),31.59,73.81173,Combined,Punjab,2,2,801,653
40,40 Government Girls High school Ferozewattan*,31.59,73.81176,Combined,Punjab,2,2,1172,910
41,41. Government Girls High school Ferozewattan (High Portion),31.59,73.81179,Combined,Punjab,1,1,602,473
105,105. Government Vetenary Hospital- Mananwala,31.5905,73.69263,Male,Punjab,3,0,1705,0
106,106. Government Vetenary Hospital- Mananwala,31.5905,73.69266,Female,Punjab,0,3,0,1300
135,135. Government Boys Primary School Minana Thatha*,31.59128,73.93803,Combined,Punjab,2,1,757,542
45,45. Basic Health Unit- Ferozewattan*,31.59173,73.80859,Combined,Punjab,2,1,716,609
18,18. Government Primary School Mada Qadeem*,31.59267,73.63476,Combined,Punjab,2,1,931,641
134,134. Government Boys Primary School Kotli Samorran*,31.59349,73.99327,Combined,Punjab,1,1,292,183
43,43. Government Girls High School- Ferozewattan (Elementary Wing),31.59377,73.8151,Combined,Punjab,1,1,627,557
44,44. Government Girls High School- Ferozewattan (Elementary Wing),31.59377,73.81513,Combined,Punjab,2,1,668,519
25,25. Government Boys Primary School- Akbar Abad (Imran Colony) Kot Jagjeet Sing.,31.59415,73.70166,Combined,Punjab,2,1,795,566
103,103. Government Boys Primary school- Akbarabad Manawala,31.59421,73.70168,Female,Punjab,0,2,0,808
104,104. Government Girls Primary School- Kot Jagjeet Singh- Mananwala.,31.59457,73.70181,Male,Punjab,2,0,1153,0
3,3. Government Boys Primary School Khumbianwala. (146),31.59483,73.71255,Combined,Punjab,2,2,781,548
21,21. Government Girls Primary school- Khumbianwala,31.59491,73.71268,Combined,Punjab,2,2,775,560
92,92. Government Primary School- Faisal Town Manawala,31.59506,73.69218,Male,Punjab,4,0,1895,0
93,93. Government Boys Primary School- Faisal Town Manawala*,31.59506,73.69221,Female,Punjab,0,2,0,1476
38,38. Government Girls Primary School Walgan Jhanda*,31.60148,73.82926,Combined,Punjab,1,1,570,435
17,17. Government Gilrs Elementary School- Rorran Wali- (Doult Abad),31.60175,73.68639,Combined,Punjab,2,2,1165,827
51,51. Government Boys Primary School- Gurwan Wali. (149),31.60239,73.69735,Combined,Punjab,1,1,494,352
74,74. Government Girls Middle School - Nawan Kot*,31.60252,73.87344,Combined,Punjab,2,2,1075,837
37,37. Government Boys Primary School Walgan Jhanda*,31.60322,73.82588,Combined,Punjab,1,1,666,505
52,52. Government Boys High School- Nawan Kot*,31.60473,73.87154,Female,Punjab,0,3,0,1480
73,73. Government Boys High School Nawan Kot*,31.60473,73.87157,Male,Punjab,4,0,1778,0
42,42. Government Primary School- Bangla Feroze.,31.60802,73.7827,Combined,Punjab,2,1,903,711
24,24. Government Girls Primary School- Gurwan Wali,31.60909,73.6971,Combined,Punjab,2,2,770,533
140,140. Government Boys P/S- Bhoey Pur*,31.61057,73.98203,Combined,Punjab,2,1,774,553
20,20. Government Girls Elementary School- Hathiana.,31.61071,73.71326,Combined,Punjab,2,2,1071,642
132,132. Government Boys Primary School Bahoman*,31.61523,73.94509,Combined,Punjab,2,2,966,695
138,138. Government Boys High School- Malowal*,31.61926,73.97185,Combined,Punjab,1,1,693,490
27,27. Government Boys High School- Laggar*,31.61947,73.76805,Combined,Punjab,2,2,1116,732
28,28. Government Girls High School- Laggar.,31.61947,73.76808,Combined,Punjab,2,2,1136,751
29,29. Government Boys High School- Laggar*,31.61947,73.76811,Combined,Punjab,2,1,802,543
30,30. Government Boys High School- Laggar*,31.61947,73.76814,Combined,Punjab,1,1,582,441
31,31. Government Girls High School- Laggar.,31.61947,73.76817,Combined,Punjab,2,1,1120,685
86,86. Government Boys Middle School Tibi Hambo Chak NO. 578*,31.61956,73.85493,Combined,Punjab,1,1,701,478
102,102. Government Boys High School Manawala*,31.61963,73.85386,Female,Punjab,0,4,0,2023
84,84. Government Girls High School- Tibi Hambo (Primary Portion),31.61963,73.85389,Combined,Punjab,2,2,724,488
85,85. Government Girls High School- Tibi Hambo (Primary Portion),31.61963,73.85392,Combined,Punjab,1,1,487,341
80,80. Basic Health Unit- Bhikhi*,31.6205,73.90874,Combined,Punjab,2,1,988,683
79,79. Government Boys High School- ( Iqbal Block) Bhikhi*,31.62449,73.91241,Male,Punjab,2,0,1311,0
88,88. Government Primary School- Dhoop Sari- Chak No.578- Sheikhuprua,31.62546,73.84124,Combined,Punjab,1,1,366,254
75,75. Government Girls High School- Bhikhi*,31.62654,73.91435,Combined,Punjab,2,1,979,602
76,76. Government Girls Primary School- Bhikhi*,31.62654,73.91438,Male,Punjab,4,0,1515,0
77,77. Government Girls Inter College- Bhikhi (165),31.627,73.91328,Female,Punjab,0,2,0,936
15,15. Government Girls Primary School Maqboolpura (Tolanwali )*,31.62706,73.6507,Combined,Punjab,2,1,1118,870
26,26. Government Girls Primary School- Goraiwala*,31.62716,73.71724,Combined,Punjab,1,1,507,338
23,23. Government Boys Primary school- Dhawabina Wala,31.62743,73.68597,Combined,Punjab,2,1,1086,649
71,71. Government Boys Primary School- Baryaranwala*,31.63234,73.93143,Combined,Punjab,2,2,888,672
139,139. Government Boys Primary School Sirianwala*,31.63506,73.96891,Combined,Punjab,1,1,655,539
87,87. Government Girls Elementary School- Thatha Tarrarran.,31.63688,73.85044,Female,Punjab,0,2,0,996
89,89. Government Primary School- Hambo Tararran.,31.63726,73.85141,Male,Punjab,3,0,1267,0
72,72. Government Primary School- Islam pura- Bhikhi.,31.6376,73.88739,Combined,Punjab,2,1,854,584
70,70. Government Boys Primary School- Dhoke Wali*,31.64015,73.90136,Combined,Punjab,2,1,702,506
69,69. Government Girls Elementary School- Chah Chandu.,31.64151,73.92133,Combined,Punjab,1,1,772,589
33,33. Government Girls Primary School- Chak No. 525 Makki*,31.64415,73.81709,Combined,Punjab,2,1,785,541
34,34. Government Boys Middle School Kotla Punja Baig*,31.64415,73.81712,Combined,Punjab,2,2,1045,695
4,4. Government Boys Primary School- Chak No. 525 Makki* (186),31.64423,73.81381,Combined,Punjab,2,1,672,423
129,129. Government Boys Primery School chak No.539/GB Narah Chak (P)*,31.64504,73.72912,Combined,Punjab,2,2,1205,759
131,131. Government Boys Primery School Bagi Burji (T)**,31.64601,73.74858,Combined,Punjab,1,1,427,247
114,114. Government Elementary School- Makki 460,31.6496,73.79237,Combined,Punjab,1,1,802,518
115,115. Government Girls Primery School Makki 460 (P)*,31.65193,73.7993,Combined,Punjab,1,1,626,445
113,113. Basic Health Unit Makki 460 (T)**,31.65332,73.79234,Combined,Punjab,2,1,788,417
59,59. Government Girls High School- (old building) Kharianwala .*,31.65352,73.93287,Male,Punjab,3,0,1540,0
60,60. Government Girls High School- Kharianwala (old building).*,31.65352,73.9329,Female,Punjab,0,2,0,1075
53,53. Government Boys High School- (Jinnah Block) Bhikhi*,31.65359,73.93209,Female,Punjab,0,2,0,927
55,55. Government Boys High School-Kharianwala*,31.65359,73.93212,Combined,Punjab,2,2,1037,679
56,56. Government Boys High school Kharianwala (Male),31.65359,73.93215,Male,Punjab,3,0,1256,0
57,57. Government Boys High school Kharianwala (Female),31.65359,73.93218,Female,Punjab,0,2,0,850
