StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
20,20. Government Girls Primary School- Mohallah Nizam Pura- Farooqabad(Female),31.46817,74.03817,Female,Punjab,0,3,0,1453
91,91. Government Primery School- Jatri Nau- Chak No.538/RB.,31.63837,73.70987,Combined,Punjab,1,1,507,369
92,92. Government Primery School- Jatri Nau- Chak No.538/RB.,31.63837,73.7099,Combined,Punjab,1,1,681,477
87,87. Government Girls High School- Rasool Pur Jattan- Chak No.173/RB.,31.64845,73.65081,Combined,Punjab,1,1,488,379
86,86. Government Boys High School Chak No.173/RB Rasool Pur Jattan,31.64915,73.64525,Combined,Punjab,1,1,717,534
93,93. Government Elementary School- Mallianwali- Chak No.537/GB.,31.65287,73.71143,Combined,Punjab,2,1,923,714
94,94. Government Elementary School- Mallianwali- Chak No.537/GB.,31.65287,73.71146,Combined,Punjab,1,1,491,361
85,85. Government Boys Primery School Chak No.171/RB Gill Wala,31.65318,73.63071,Combined,Punjab,1,1,725,466
88,88. Government Elementary School- Chait Sing Wala- Chak no.287/RB,31.65522,73.6774,Combined,Punjab,1,1,651,438
90,90. Government Boys Primery School Chak No.171/RB Kot Hayat Khan,31.66647,73.67491,Combined,Punjab,2,2,1247,797
79,79. Government Boys High School Adil Garh Chak No.27/RB,31.66691,73.61501,Combined,Punjab,1,1,758,562
84,84. Government Primery School- Jhandian Wali Chak No.170/RB.,31.6708,73.64976,Combined,Punjab,2,2,926,614
81,81. Government Girls Primery School Garmoola Chak No.169/RB-2,31.67375,73.63786,Combined,Punjab,1,1,661,472
179,179. Government Girls High School chak No.79 RB (213),31.67597,73.55825,Combined,Punjab,2,1,664,410
157,157. Govt.Boys Middle School Chak No.79/RB*,31.67684876537526,73.55298447574154,Combined,Punjab,2,2,760,576
78,78. Government Girls Elementary School- Wayan Wali Chak No.27/RB,31.68102,73.62667,Combined,Punjab,1,1,450,348
80,80. Government Girls High School Chabba Chak No.169/RB,31.68598,73.65596,Combined,Punjab,2,1,873,662
89,89. Government Model Primery School- Phattan Wala Chak No.171/RB,31.68745,73.68825,Combined,Punjab,1,1,519,379
82,82. Government High School Karyal Bhagan Wala Chak No.19,31.69621,73.6629,Combined,Punjab,2,1,997,662
83,83. Government High School- Karyal Bhagan Wala Chak No.19,31.69621,73.66293,Combined,Punjab,2,1,759,518
75,75. Government Girls Community Model High School- Mandiala chak No.20/RB,31.69811,73.62016,Combined,Punjab,1,1,535,455
76,76. Government Girls Community Model High School- Mandiala chak No.20/RB,31.69811,73.62019,Combined,Punjab,2,1,767,538
165,165. Government.Boys Primary School- Chak No.24/RB Khurd*,31.698185597076712,73.49534981356015,Combined,Punjab,1,1,623,488
154,154. Govt.Boys High School Chak No.78 Nawan Pind*,31.6989200295897,73.57622782480709,Combined,Punjab,2,1,897,620
77,77. Government Boys Primery School Gondelanwala,31.69955,73.58375,Combined,Punjab,1,1,523,378
155,155. Govt.Girls Middle School Chak Nawan Pind*,31.700122751993515,73.57883071382227,Combined,Punjab,2,2,1170,823
