StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
201,Queen Marry College- (School Wingh)- Lahore (Male),31.56215,74.34097,Male,Punjab,2,0,1159,0
202,Queen Marry College- (School Wingh)- Lahore (Female),31.56215,74.341,Female,Punjab,0,2,0,1051
203,Queen Marry College- (School Wingh)- Lahore (Combined),31.56215,74.34103,Combined,Punjab,1,1,453,458
208,Queen Marry College- (School Wingh)- Lahore (Male),31.56215,74.34106,Male,Punjab,2,0,674,0
209,Queen Marry College- (School Wingh)- Lahore (Female),31.56215,74.34109,Female,Punjab,0,2,0,615
210,Queen Marry College- (School Wingh)- Lahore (Male),31.56215,74.34112,Male,Punjab,2,0,1106,0
211,Queen Marry College- (School Wingh)- Lahore (Female),31.56215,74.34115,Female,Punjab,0,2,0,991
212,Queen Marry College- (School Wingh)- Lahore (Male),31.56215,74.34118,Male,Punjab,2,0,1211,0
213,Queen Marry College- (School Wingh)- Lahore (Female),31.56215,74.34121,Female,Punjab,0,2,0,1059
214,Queen Marry College- Lahore (Male),31.56215,74.34124,Male,Punjab,3,0,1516,0
215,Queen Marry College- Lahore (Female),31.56215,74.34127,Female,Punjab,0,3,0,1360
216,Queen Marry College- Lahore (Male),31.56215,74.3413,Male,Punjab,3,0,1340,0
217,Queen Marry College- Lahore (Female),31.56215,74.34133,Female,Punjab,0,3,0,1115
204,Govt. Abu al Khair Girls Middle School- Garhi Shahu- Allama Iqbal Road- Lahore  (Combined),31.56346,74.34545,Combined,Punjab,2,1,804,662
205,Govt. Abu al Khair Girls Middle School- Garhi Shahu- Allama Iqbal Road- Lahore (Male),31.56346,74.34548,Male,Punjab,3,0,1311,0
206,Govt. Abu al Khair Girls Middle School- Garhi Shahu- Allama Iqbal Road- Lahore (Female),31.56346,74.34551,Female,Punjab,0,2,0,1154
17,Office of the EDO- Hall Road- Lahore   (Male),31.56554,74.31898,Male,Punjab,2,0,1004,0
18,Office of the EDO- Hall Road- Lahore    (Female),31.56554,74.31901,Female,Punjab,0,2,0,862
165,Don Basco High School- Empress Road- Lahore Permanent.(Male),31.56743,74.33546,Male,Punjab,1,0,754,0
166,Don Basco High School- Empress Road- Lahore Permanent..(Female),31.56743,74.33549,Female,Punjab,0,1,0,670
163,Govt Modern Girls High School Raheem St. No.33 Qila Gujjar Singh Lahore Permanent. ( Male),31.56764,74.33143,Male,Punjab,2,0,1063,0
164,Govt Modern Girls High School Raheem St. No.33 Qila Gujjar Singh Lahore Permanent. (Female),31.56764,74.33146,Female,Punjab,0,2,0,938
172,Govt. Dial Sing Colleges  Lahore Permanent. (Male),31.56773,74.32344,Male,Punjab,3,0,1641,0
173,Govt. Dial Sing Colleges Lahore Permanent. (Female),31.56773,74.32347,Female,Punjab,0,3,0,1345
181,Govt. Dial Singh College- Nisbat Road- Lahore Permanent. (Male),31.56773,74.3235,Male,Punjab,4,0,1735,0
182,Govt.Dial Singh College- Nisbat Road- Lahore Permanent. (Female),31.56773,74.32353,Female,Punjab,0,3,0,1358
187,Sir Syed Cambridge School Mecloroad Lahore (Male),31.56773,74.32356,Male,Punjab,3,0,1571,0
188,Sir Syed Cambridge School Mecloroad Lahore (Female),31.56773,74.32359,Female,Punjab,0,2,0,1291
19,Govt. Dial Singh college Lahore Permanent (Combined),31.56773,74.32362,Combined,Punjab,2,1,888,719
20,Govt. Dial Singh College Lahore Permanent (Male),31.56773,74.32365,Male,Punjab,4,0,1458,0
169,Agahi Education System Street No.4- Abdul Karim Road- Lahore (Male),31.56858,74.32899,Male,Punjab,3,0,1356,0
170,Agahi Education System Street No.4- Abdul Karim Road- Lahore (Female),31.56858,74.32902,Female,Punjab,0,2,0,1171
171,Farooqi Education Institute Jamia Street- Lahore Hotel- Flamming road- Lahore  (Combined),31.5694,74.32667,Combined,Punjab,2,1,744,595
161,Hazrat Ayesha Saddiqia Model Degree & Commerce College- Nicolson Road- Lahore Permanent (Male),31.57106,74.33437,Male,Punjab,3,0,1826,0
162,Hazrat Ayesha Saddiqia Model Degree & Commerce College- Nicolson Road- Lahore Permanent (Female),31.57106,74.3344,Female,Punjab,0,3,0,1498
167,Hazrat Ayesha Saddiqia Model Degree & Commerce College- Nicolson Road- Lahore..(Male),31.57106,74.33443,Male,Punjab,2,0,1331,0
168,Hazrat Ayesha Saddiqia Model Degree & Commerce College- Nicolson Road- Lahore..(Female),31.57106,74.33446,Female,Punjab,0,2,0,1164
183,City District Govt. High School  Main Bazar- Gawal Mandi- Lahore Permanent. (Male),31.5718,74.32096,Male,Punjab,3,0,1435,0
184,City District Govt. High School  Main Bazar- Gawal Mandi- Lahore Permanent.(Female),31.5718,74.32099,Female,Punjab,0,2,0,1128
185,City District Govt. High School- Main Bazar- Gawal Mandi- Lahore Permanent. (Male),31.5718,74.32102,Male,Punjab,3,0,1584,0
186,City District Govt. High School- Main Bazar- Gawal Mandi- Lahore Permanent. (Female),31.5718,74.32105,Female,Punjab,0,2,0,1344
21,Govt. Degree College For Women- Gawal Mandi Lahore  (Female),31.57206,74.32007,Female,Punjab,0,3,0,1208
179,Govt. Islamia Model Middle School  Raja Ram St. Gawalmandi Lahore Permanent. (Male),31.57252,74.32103,Male,Punjab,4,0,1946,0
180,Govt. Islamia Model Middle School  Raja Ram St. Gawalmandi Lahore Permanent. (Female),31.57252,74.32106,Female,Punjab,0,3,0,1586
191,Govt. Anjuman Islamia High School Raja Ram Street Lahore Permanent  (Combined),31.57261,74.32104,Combined,Punjab,2,1,980,779
176,Govt. Islamia College- Railway Road- Lahore Permanent. (Combined),31.57398,74.32513,Combined,Punjab,1,1,733,483
192,Govt. Islamia College- Railway Road- Lahore Permanent.  (Combined),31.57398,74.32516,Combined,Punjab,1,1,587,438
194,Govt. Islamia College- Railway Road- Lahore Permanent. (Male),31.57398,74.32519,Male,Punjab,3,0,1303,0
195,Govt. Islamia College- Railway Road- Lahore Permanent.   (Female),31.57398,74.32522,Female,Punjab,0,2,0,972
218,Govt. Kinaird Girls High School Boharwala Chowk. Empress Road- Lahore (Male),31.57463,74.3351,Male,Punjab,3,0,1610,0
219,Govt. Kinaird Girls High School Boharwala Chowk. Empress Road- Lahore (Female),31.57463,74.33513,Female,Punjab,0,3,0,1337
220,Govt. Kinaird Girls High School Boharwala Chowk. Empress Road- Lahore (Male),31.57463,74.33516,Male,Punjab,3,0,1680,0
221,Govt. Kinaird Girls High School Boharwala Chowk. Empress Road- Lahore (Female),31.57463,74.33519,Female,Punjab,0,3,0,1386
107,Govt. Islamia High School- Barone Bhatti Gate- Lahore Permanent..(Male),31.57564,74.30981,Male,Punjab,3,0,1643,0
108,Govt. Islamia High School- Barone Bhatti Gate- Lahore Permanent..(Female),31.57564,74.30984,Female,Punjab,0,2,0,1249
98,Govt. Islamia High School- Outside Bhatti Gate- Lahore Permanent..(Male),31.57564,74.30987,Male,Punjab,3,0,1563,0
99,Govt.Islamia High School- Outside Bhatti Gate- Lahore Permanent..(Female),31.57564,74.3099,Female,Punjab,0,2,0,1221
109,City District Govt. Girls High School-Lohari Gate- Near Fish Market- Lahore..(Male),31.57681,74.31178,Male,Punjab,3,0,1353,0
110,City District Govt. Girls High School- Lohari Gate- Near Fish Market- Lahore.(Male),31.57681,74.31181,Male,Punjab,1,0,743,0
111,City District Govt. Girls High School- Lohari Gate- Near Fish Market- Lahore..(Female),31.57681,74.31184,Female,Punjab,0,2,0,982
112,City District Govt. Girls High School- Lohari Gate- Near Fish Market- Lahore.(Female),31.57681,74.31187,Female,Punjab,0,1,0,580
115,City District Govt. Girls High School- Lohari Gate- Near Fish Market- Lahore..(Male),31.57681,74.3119,Male,Punjab,4,0,1914,0
116,City District Govt. Girls High School- Lohari Gate- Near Fish Market- Lahore..(Female),31.57681,74.31193,Female,Punjab,0,3,0,1471
196,Govt. College of Technology- Railway Road- Lahore Permanent.(Male),31.57684,74.33327,Male,Punjab,3,0,1489,0
197,Govt. College of Technology- Railway Road- Lahore Permanent.(Female),31.57684,74.3333,Female,Punjab,0,1,0,1049
198,Govt. College of Technology- Railway Road- Lahore Permanent.(Male),31.57684,74.33333,Male,Punjab,4,0,1796,0
199,Govt. College of Technology- Railway Road- Lahore Permanent.(Female),31.57684,74.33336,Female,Punjab,0,2,0,1365
119,Govt. Model High School Shah Allam Market Lahore  (Male),31.5775,74.31714,Male,Punjab,1,0,619,0
120,Govt. Model High School Shah Alam Market Lahore  (Female),31.5775,74.31717,Female,Punjab,0,1,0,450
133,Sir SikandarVocational School- Jora Mori Shah Alam- Lahore. (Male),31.57861,74.31611,Male,Punjab,2,0,1000,0
100,City District Govt. Junior Model Girls Middle School Near Ganda Nala- Outside Bhati Gate- Lahore. (Male),31.57902,74.30907,Male,Punjab,2,0,796,0
101,City District Govt. Junior Model Girls Middle School Near Ganda Nala- Outside Bhati Gate- Lahore. (Male),31.57902,74.3091,Male,Punjab,2,0,959,0
102,City District Govt. Junior Model Girls Middle School Near Ganda Nala- Outside Bhati Gate- Lahore. (Female),31.57902,74.30913,Female,Punjab,0,1,0,591
103,City District Govt. Junior Model Girls Middle School Near Ganda Nala- Outside Bhati Gate- Lahore.(Female),31.57902,74.30916,Female,Punjab,0,1,0,668
104,City District Govt. Junior Model Girls Middle School Near Ganda Nala- Outside Bhati Gate- Lahore. (Male),31.57902,74.30919,Male,Punjab,3,0,1331,0
106,City District Govt. Junior Model Girls Middle School Near Ganda Nala- Outside Bhati Gate- Lahore..(Female),31.57902,74.30922,Female,Punjab,0,4,0,1861
82,Suleman Public H/s- Bhati Gate- New Police Station- Lahore  (Combined),31.57902,74.30925,Combined,Punjab,2,2,960,765
