StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
199,Govt. Darul Nswan Girls High School- 65-A jail road Lahore (combined),31.54255,74.33147,Combined,Punjab,2,2,817,658
43,Adbistan Sofia Girls High School Bhawalpur Road Near Mozang Chaungi Lahore  (male),31.54995,74.31432,Male,Punjab,3,0,1437,0
44,Adbistan Sofia Girls High School Bhawalpur Road Near Mozang Chaungi Lahore  (female),31.54995,74.31435,Female,Punjab,0,3,0,1223
188,Govt Jinnah Digree college for (W) Mozang Lahore (male),31.55033,74.31788,Male,Punjab,4,0,1560,0
189,Govt Jinnah Digree college for (W) Mozang Lahore (female),31.55033,74.31791,Female,Punjab,0,3,0,1364
48,Ellite grammer school 13-A Bahawalpur road Lahore (male),31.552,74.30698,Male,Punjab,2,0,1069,0
144,Shaheen public school D-2 Block Gulshan Ravi LHR (Male),31.55357,74.28018,Male,Punjab,2,0,1392,0
143,AGS SCHOOL 23 b 1 KHAWAJA (combined),31.55357,74.28171,Male,Punjab,4,0,1016,795
33,Govt Fatima Jinnah Medical University Shahra-e-Fatima Jinnah Lahore  (male),31.55396,74.3202,Male,Punjab,4,0,1871,0
35,Govt Fatima Jinnah Medical University Shahra-e-Fatima Jinnah Lahore   (female),31.55396,74.32023,Female,Punjab,0,3,0,1498
36,Govt Fatima Jinnah Medical University Shahra-e-Fatima Jinnah Lahore (combined),31.55396,74.32026,Combined,Punjab,2,2,692,658
45,Govt Fatima Jinnah Medical University Shahra-e- Fatima Jinnah  Lahore   (male),31.55396,74.32029,Male,Punjab,3,0,1465,0
46,Govt Fatima Jinnah Medical University Shahra-e- Fatima Jinnah  Lahore  (female),31.55396,74.32032,Female,Punjab,0,3,0,1210
152,THE CITY GRAMMER SCHOOL ZUBAIR ROAD HASSAN CHOWK SHAM NAGAR (male),31.55452,74.29137,Male,Punjab,3,0,1229,0
