StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
153,Imran Education School System (Old Canadian School) Near Almeraj Masjid- T-5- Band Road- Lahore. (Male),31.55437,74.26502,Male,Punjab,2,0,927,0
154,Imran Education School System (Old Canadian School) Near Almeraj Masjid- T-5- Band Road- Lahore. (Female),31.55437,74.26505,Female,Punjab,0,2,0,1427
145,Iqra Public School- Behind Shell Pump- Main Bazar- Shibli Town- Band Road- Lahore. (Male),31.55493,74.27232,Male,Punjab,2,0,1240,0
146,Ahsan-Ul- Madarass School Shiblee Town Band Road- Lahore (Male),31.55639,74.26972,Male,Punjab,3,0,1280,0
147,Ahsan-Ul- Madarass School Shiblee Town Band Road- Lahore (Female),31.55639,74.26975,Female,Punjab,0,4,0,1755
148,Ahsan-Ul- Madarass School Shiblee Town Band Road- Lahore (Male),31.55639,74.26978,Male,Punjab,4,0,1599,0
143,Haris Public H/S St. No.05 Mehr Nazir Road- Farooq Park Shiblee Town- Lahore (Male),31.55655,74.26985,Male,Punjab,3,0,1457,0
144,Haris Public H/S St. No.05 Mehr Nazir Road- Farooq Park Shiblee Town- Lahore (Female),31.55655,74.26988,Female,Punjab,0,2,0,916
114,Office of UN No. 52 (Old UC No. 69) Karim Park- Lahore  (Female),31.55667,74.27,Female,Punjab,0,4,0,1767
11,City District Govt. Junior Model M/S Chohan Road Lahore  (Male),31.56441,74.27886,Male,Punjab,3,0,1340,0
134,Ali Barkat Social Welfare and Education Foundation for Boys  Akram Park- Lahore  (Male),31.56452,74.27781,Male,Punjab,2,0,602,0
135,Ali Barkat Social Welfare and Education Foundation for Boys  Akram Park- Lahore  (Male),31.56452,74.27784,Male,Punjab,3,0,2259,0
136,Ali Barkat Social Welfare and Education Foundation for Boys  Akram Park- Lahore  (Female),31.56452,74.27787,Female,Punjab,0,2,0,548
137,Ali Barkat Social Welfare and Education Foundation for Boys  Akram Park- Lahore  (Female),31.56452,74.2779,Female,Punjab,0,2,0,1483
138,Ali Barkat Social Welfare and Education Foundation for Boys  Akram Park- Lahore  (Male),31.56452,74.27793,Male,Punjab,2,0,987,0
