StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
34,Govt. Farooqi Islamia H/S-Ayyaz Street Baghbanpura- Lahore (),31.58327,74.37604,Combined,Punjab,2,1,816,613
35,Govt. Farooqi Islamia H/S-Ayyaz Street Baghbanpura-- Lahore (),31.58327,74.37607,Combined,Punjab,2,1,897,679
69,City District Govt Boys High School G.T. Road Baghbanpura Lahore (),31.58342,74.37941,Combined,Punjab,2,1,681,518
70,City District Govt Boys High School G.T. Road Baghbanpura Lahore (),31.58342,74.37944,Combined,Punjab,2,2,1155,852
60,Govt. Boys High School G.T Road Baghbanpura Lahore,31.58383,74.38058,Combined,Punjab,2,1,881,714
61,Govt. Boys High School G.T Road Baghbanpura Lahore () (Part-I),31.58383,74.38061,Combined,Punjab,2,1,951,690
62,Govt. Boys High School G.T Road Baghbanpura Lahore()(Part-II),31.58383,74.38064,Combined,Punjab,2,2,1151,968
63,Govt. Boys High School G.T. Road Baghbanpura Lahore () (Part-IV),31.58383,74.38067,Combined,Punjab,2,1,814,699
36,CDG Boys P/S Madhu Lal Hussain Baghbanpura Lahore (),31.58433,74.37219,Combined,Punjab,1,1,475,332
37,CDG Boys P/S Madhu Lal Hussain Baghbanpura Lahore (),31.58433,74.37222,Combined,Punjab,2,1,978,746
64,Govt. Shalimar College Baghbanpura Lahore () (Part-I),31.58814,74.3802,Combined,Punjab,2,2,965,773
65,Govt. Shalimar College Baghbanpura Lahore () (Part-I),31.58814,74.38023,Combined,Punjab,2,1,805,661
66,Govt. Shalimar College Baghbanpura Lahore ()(Part-II),31.58814,74.38026,Combined,Punjab,2,2,1207,988
67,Govt. Shalimar College Baghbanpura Lahore ()(Part-IV),31.58814,74.38029,Combined,Punjab,2,1,852,648
68,Govt. Shalimar College Baghbanpura Lahore ()(Part-V),31.58814,74.38032,Combined,Punjab,2,2,1093,836
72,Govt. Shalimar College Baghbanpura Lahore.,31.58814,74.38035,Combined,Punjab,2,1,847,632
73,Govt. Shalimar College Baghbanpura Lahore.,31.58814,74.38038,Combined,Punjab,2,2,1100,832
43,Govt.Rasheed Model Girls Primary School- Muhammad Din Colony- Lahore. (),31.58938,74.37196,Combined,Punjab,2,1,801,693
53,Al-Zafar School St. No.174 Sakhani Ghousia Street College Road Baghbanpura Lahore (),31.59086,74.37538,Combined,Punjab,2,2,1044,758
54,Al-Zafar School St. No.174 Sakhani Ghousia Street College Road Baghbanpura Lahore (),31.59086,74.37541,Combined,Punjab,1,1,758,531
1,Govt. Technical Training Institute for Women- Gujarpura- D-2 China Scheme- () (Part-I),31.59091,74.36404,Combined,Punjab,2,2,1101,769
2,Govt. Technical Training Institute for Women- Gujarpura- D-2 China Scheme- () (Part-I),31.59091,74.36407,Combined,Punjab,2,1,1006,711
3,Govt. Technical Training Institute for Women- Gujarpura- D-2 China Scheme- () (Part-I),31.59091,74.3641,Combined,Punjab,2,1,963,674
41,Govt.Zaryab Primary School- Mian Muhammad Din Colony College Road- Baghbanpura near WASA Tubwell- Lahore (),31.59111,74.37425,Combined,Punjab,1,1,547,472
42,Govt.Zaryab Primary School- Mian Muhammad Din Colony College Road- Baghbanpura near WASA Tubwell- Lahore (),31.59111,74.37428,Combined,Punjab,2,2,1111,865
77,Wapda Girls High School Sultan Mehmood Road Lahore,31.59245,74.38867,Combined,Punjab,2,1,869,761
78,Wapda Girls High School Sultan Mehmood Road Lahore,31.59245,74.3887,Combined,Punjab,2,2,1074,914
79,Wapda Girls High School Sultan Mehmood Road Lahore,31.59245,74.38873,Combined,Punjab,2,2,1084,715
80,Wapda Girls High School Sultan Mehmood Road Lahore,31.59245,74.38876,Combined,Punjab,2,2,1015,827
81,Wapda Girls High School Sultan Mehmood Road Lahore,31.59245,74.38879,Combined,Punjab,1,1,424,351
58,Thenat Hall Public School (Shadaab Public School) College Road Lahore (),31.593,74.38047,Combined,Punjab,2,2,1224,907
59,Thenat Hall Public School (Shadaab Public School) College Road Lahore.(),31.593,74.3805,Combined,Punjab,1,1,588,488
24,Al-Sayyed Public School- Haji Ghulam Muhammad Park- Sherazi Street No 189- New Bhogiwal near Bilal Hotel,31.59526,74.36983,Combined,Punjab,2,2,1750,1203
82,Govt. Girls Middle School- Khizarabad- Shalimar Town-Lahore (),31.59541,74.38648,Combined,Punjab,2,2,1175,945
83,Govt. Girls Middle School- Khizarabad- Shalimar Town-Lahore (),31.59541,74.38651,Combined,Punjab,1,1,397,337
85,Govt. Girls Middle School- Khizarabad- Shalimar Town-Lahore(),31.59541,74.38654,Female,Punjab,0,2,0,955
86,Govt. Girls Middle School- Khizarabad- Shalimar Town-Lahore(),31.59541,74.38657,Combined,Punjab,2,2,738,555
88,Govt. Girls Middle School- Khizarabad- Shalimar Town-Lahore(),31.59541,74.3866,Combined,Punjab,2,2,1053,867
76,Govt. Nawab Primary School-  Madina Colony- Baghbanpura Suk Nehar Lahore. (),31.59542,74.38302,Combined,Punjab,2,2,1144,880
55,Iqbal Ideal School College Road Baghbanpura Lahore (),31.59667,74.37717,Combined,Punjab,2,1,645,496
56,Iqbal Ideal School College Road Baghbanpura Lahore (),31.59667,74.3772,Combined,Punjab,1,1,484,409
57,Iqbal Ideal School College Road Baghbanpura Lahore (),31.59667,74.37723,Combined,Punjab,1,1,626,503
31,Allied School System- Rehman Campus- Sheller Chowk- Baghbanpura- Lahore.,31.59673,74.37724,Combined,Punjab,2,2,1171,843
100,New Lahore Public High School Lekho Dar Road Muslimabad- Lahore.,31.59682,74.39602,Combined,Punjab,2,2,929,811
101,New Lahore Public High School Lekho Dar Road Muslimabad- Lahore.,31.59682,74.39605,Combined,Punjab,2,1,730,495
12,Govt. Degree College for Girls China Scheme Lahore  (),31.59715,74.36318,Combined,Punjab,2,1,909,710
13,Govt. Degree College for Girls China Scheme Lahore  (),31.59715,74.36321,Combined,Punjab,2,1,982,700
14,Govt. Degree College for Girls China Scheme Lahore  (),31.59715,74.36324,Combined,Punjab,2,1,1095,795
15,Govt. Degree College for Girls China Scheme Lahore  (),31.59715,74.36327,Combined,Punjab,2,1,1015,755
16,Govt. Degree College for Girls China Scheme Lahore  (),31.59715,74.3633,Combined,Punjab,2,1,813,586
17,Govt. Degree College for Girls China Scheme Lahore  (),31.59715,74.36333,Combined,Punjab,2,1,906,672
18,Govt. Degree College for Girls China Scheme Lahore  (),31.59715,74.36336,Combined,Punjab,1,1,691,484
19,Govt. Degree College for Girls China Scheme Lahore  (),31.59715,74.36339,Combined,Punjab,2,1,948,690
84,Sarfraz Model School- Main Bazar Asif Colony Near Rang Wala Karkhana- Lahore()(Part-II),31.59729,74.38853,Male,Punjab,2,0,1612,0
