StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
110,St. Joseph High School Sarfraz Rafiquei Road Lahore Cantt(Combined),31.53194,74.38361,Combined,Punjab,2,1,793,589
111,St. Joseph High School Sarfraz Rafiquei Road Lahore Cantt(Combined),31.53194,74.38364,Combined,Punjab,1,1,430,389
107,St. Anthony High School- Sarfraz Rafiqi Road Lahore Cantt. (Combined),31.5325,74.38194,Combined,Punjab,2,2,1189,1158
108,St. Anthony High School- Sarfraz Rafiqi Road Lahore Cantt. (Combined),31.5325,74.38197,Combined,Punjab,1,1,713,633
109,St. Anthony High School- Sarfraz Rafiqi Road Lahore Cantt. (Combined),31.5325,74.382,Combined,Punjab,1,1,659,567
116,Beaconhouse School System Askari 10- Lahore Cantt(Combined),31.53787,74.42068,Combined,Punjab,2,2,1142,1057
113,Beaconhouse School System Askari 10- Lahore Cantt(Combined),31.538,74.42097,Combined,Punjab,2,2,840,833
114,Beaconhouse School System Askari 10- Lahore Cantt(Combined),31.538,74.421,Combined,Punjab,2,2,777,731
115,Beaconhouse School System Askari 10- Lahore Cantt(Combined),31.538,74.42103,Combined,Punjab,1,1,328,324
47,Pak Ideal High School Chungi Gujjar Pura (Male),31.54292,74.42533,Male,Punjab,3,0,1869,0
51,The Smart School Near Rangers Head Quarters- Ghazi Road- Lahore (Male),31.5448,74.40813,Male,Punjab,1,0,499,0
52,The Smart School Near Rangers Head Quarters- Ghazi Road- Lahore (Female),31.5448,74.40816,Female,Punjab,0,1,0,472
22,Al-Suffah Public School- C-Block Al Faisal Town- Lahore(Male),31.54546,74.40345,Male,Punjab,3,0,1129,0
23,Al-Suffah Public School- C-Block Al-Faisal Town- Lahore(Female),31.54546,74.40348,Female,Punjab,0,2,0,974
48,City Public High School Guldasht Town Near Police Chowki Lahore (Female),31.54567,74.42216,Female,Punjab,0,3,0,1364
49,City Grammer School Guldasht Town Near Police Chowki Lahore (Male),31.54567,74.42219,Male,Punjab,2,0,1245,0
50,City Grammer School Guldasht Town Near Police Chowki Lahore (FeMale),31.54567,74.42222,Female,Punjab,0,2,0,926
40,Bab Ul ilam School System Dogej Town (Male),31.54584,74.42184,Male,Punjab,3,0,1214,0
41,Bab Ul ilam School System Dogej Town (Female),31.54584,74.42187,Female,Punjab,0,2,0,962
21,Iqra foundation School- B Block Nala Al Faisal Town Lahore (Female),31.54628,74.40224,Female,Punjab,0,3,0,1069
