StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
147,Office of Dirctor Excise & Taxation (Female),33.58895,73.06727,Female,Punjab,0,1,0,716
148,Social Security Office Civil Line (Male),33.59178,73.0657,Male,Punjab,1,0,803,0
137,Govt.Waqar-un-Nisa College for Women- Jahangir Road- Rawalpindi (Female),33.60416,73.07577,Female,Punjab,0,1,0,764
138,Govt.Waqar-un-Nisa College for Women- Jahangir Road- Rawalpindi (Female),33.60416,73.0758,Female,Punjab,0,1,0,1732
139,Govt. Islamia Boys Higher Secondary School No.1- Murree Road (Male),33.60461,73.06583,Male,Punjab,1,0,853,0
140,Govt. Islamia Boys Higher Secondary School No.1- Murree Road (Male),33.60461,73.06586,Male,Punjab,1,0,937,0
141,Govt. Islamia Boys Higher Secondary School No.1- Murree Road (Male),33.60461,73.06589,Male,Punjab,1,0,998,0
146,Govt. Islamia High School No.4 Liaqat Road (Male),33.60688,73.0647,Male,Punjab,1,0,262,0
144,Gordan College Rawalpindi (Female)(P).,33.6081,73.06087,Female,Punjab,0,1,0,856
145,Gordan College Rawalpindi (Female)(P).,33.6081,73.0609,Female,Punjab,0,1,0,886
149,Director Education Office (EDO Edu) Opp: Shah De Tallian- Murree Road (Male),33.6093,73.06554,Male,Punjab,1,0,1032,0
151,Director Education Office (EDO Edu) Opp: Shah De Tallian- Murree Road (Male),33.6093,73.06557,Male,Punjab,1,0,962,0
152,Director Education Office (EDO Edu) Opp: Shah De Tallian- Murree Road (Male),33.6093,73.0656,Male,Punjab,2,0,870,0
153,Govt. Girls Higher Secondary School No.2 Murree Road (Female),33.61008,73.06512,Female,Punjab,0,1,0,925
154,Govt. Girls Higher Secondary School No.2 Murree Road (Female),33.61008,73.06515,Female,Punjab,0,2,0,821
150,Govt. Elpha Christian Girls High School- Gordon College Road (Female),33.61018,73.06284,Female,Punjab,0,1,0,1084
142,Govt. Boys High School- DAV College Road (Male),33.61034,73.06097,Male,Punjab,1,0,993,0
143,Govt. Boys High School- DAV College Road (Male),33.61034,73.061,Male,Punjab,1,0,930,0
155,MC Girls High School- Nia Mohallah (Male),33.61211,73.05996,Male,Punjab,1,0,1473,0
157,MC Girls High School- Nia Mohallah (Male),33.61211,73.05999,Male,Punjab,2,0,1137,0
160,MC Govt. Girls High School- Nia Mohallah (Male),33.61211,73.06002,Male,Punjab,1,0,1502,0
127,Suleman Standered School Adjacant to Christian School Liaqat Market (Male),33.61303,73.05674,Male,Punjab,1,0,1132,0
129,Suleman Standered School Adjacant to Christian School Liaqat Market (Male),33.61303,73.05677,Male,Punjab,1,0,1824,0
156,Govt. Faiz Islam Boys High Sschool No. 1- Raja Bazar (Female),33.61317,73.05801,Female,Punjab,0,1,0,1612
158,Govt. Faiz Islam Boys High Sschool No. 1- Raja Bazar (Female),33.61317,73.05804,Female,Punjab,0,1,0,685
159,Govt. Faiz Islam Boys High Sschool No. 1- Raja Bazar (Female),33.61317,73.05807,Female,Punjab,0,1,0,1214
120,Govt. Christian Boys Higher Secondary School- Liaqat Market (Female),33.61322,73.0564,Female,Punjab,0,2,0,1379
122,Govt. Christian Boys Higher Secondary School- Liaqat Market (Female),33.61322,73.05643,Female,Punjab,0,1,0,496
125,Govt. Christian Boys Higher Secondary School- Liaqat Market (Female),33.61322,73.05646,Female,Punjab,0,1,0,825
126,Govt. Christian Boys Higher Secondary School- Liaqat Market (Female),33.61322,73.05649,Female,Punjab,0,1,0,936
130,Govt. Christian Boys Higher Secondary School- Liaqat Market (Female),33.61322,73.05652,Female,Punjab,0,1,0,1705
119,MC Boys High School- Moti Bazar (Male),33.61376,73.05872,Male,Punjab,2,0,1550,0
114,Social Welfare Center- Chittian Hattina (Male),33.61455,73.06182,Male,Punjab,2,0,1334,0
118,Grammer Public School- Chittian Hattian  (Female).,33.61475,73.06138,Female,Punjab,0,2,0,2437
121,Govt. Zia-ul-Ullom Boys High School- Raja Bazar (Male),33.6152,73.0555,Male,Punjab,1,0,632,0
123,Govt. Zia-ul-Ullom Boys High School- Raja Bazar (Male),33.6152,73.05553,Male,Punjab,1,0,928,0
124,Govt. Zia-ul-Allom Boys High School- Raja Bazar (Male),33.6152,73.05556,Male,Punjab,1,0,1049,0
