StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
85,Inspire Grammer School new jail road  (Male).,31.44948,74.34989,Male,Punjab,4,0,2171,0
86,Inspire Grammer School new jail road  (Female).,31.44948,74.34992,Female,Punjab,0,4,0,1694
102,Govt. primary school 5-A-II- Township- Lahore (Combined).,31.44972,74.31861,Combined,Punjab,2,2,1049,874
93,Govt. primary school 5-A-II Township- Lahore- (Combined),31.44972,74.31864,Combined,Punjab,1,1,617,534
80,Tayyaba Foundatin High School Makhdoom Abad Chowk (Combined),31.451,74.34964,Combined,Punjab,2,1,686,533
91,New Sun Rise School Hamayoo Park Beside General Hospital Lahore (Male).,31.4526,74.35038,Male,Punjab,4,0,1922,0
92,New Sun Rise School Hamayoo Park Beside General Hospital Lahore (Female).,31.4526,74.35041,Female,Punjab,0,3,0,1543
76,Cenet Marry School Rasool Park Chungi Amar Sadhu (Male).,31.45268,74.3454,Male,Punjab,4,0,1892,0
77,Cenet Marry School Rasool Park Chungi Amar Sadhu (Female).,31.45268,74.34543,Female,Punjab,0,3,0,1519
81,Sanait Merry School For Girls Rasool Park Lahore (Male),31.45268,74.34546,Male,Punjab,4,0,1976,0
82,Sanait Merry School For Girls Rasool Park Lahore (Female).,31.45268,74.34549,Female,Punjab,0,3,0,1572
115,Faizan-e-Madina Secondary School Mast Iqbal Road Majeed Pura- Lahore (Combined).,31.45284,74.35456,Combined,Punjab,1,1,705,583
94,Divisional Public High School Township Sector A-II (Male).,31.45306,74.31556,Male,Punjab,4,0,1700,0
95,Divisional Public High School Township Sector A-II (Female).,31.45306,74.31559,Female,Punjab,0,3,0,1512
100,Govt. Girls Middle School 2-A-II-Township Permanent (Male).,31.45333,74.315,Male,Punjab,4,0,1762,0
101,Govt. Girls Middle School 2-A-II-Township Permanent (Female).,31.45333,74.31503,Female,Punjab,0,4,0,1578
98,Govt. Girls Middle School 2-A-II-Township Permanent (Male).,31.45333,74.31506,Male,Punjab,3,0,1390,0
99,Govt. Girls Middle School 2-A-II-Township Permanent (Female).,31.45333,74.31509,Female,Punjab,0,2,0,1195
96,CD Govt. Junior Model School 2-A-II-Township (Combined).,31.45333,74.31528,Combined,Punjab,1,1,518,446
97,CD Govt. Junior Model School 2-A-II-Township (Combined).,31.45333,74.31531,Combined,Punjab,2,1,693,638
83,Rise Grammer School Tariqabad (Male).,31.45367,74.3497,Male,Punjab,3,0,1199,0
84,Rise Grammer School Tariqabad (Female).,31.45367,74.34973,Female,Punjab,0,2,0,937
114,Distinction Public School mast iqbal road ghazi road Lahiore cantt (Combined).,31.45439,74.35546,Combined,Punjab,2,2,1111,947
111,Al Falah School System/Computer College Opposite General Hospital-Lahore Cantt (Combined).,31.45521,74.35267,Combined,Punjab,2,2,1239,941
112,Shakar Gunj Evergreen High  School Main Ferozpur Road opposite General Hospital-Lahore Cantt (Combined).,31.45527,74.35222,Combined,Punjab,2,1,952,744
113,Shakar Gunj Evergreen High  School Main Ferozpur Road opposite General Hospital-Lahore Cantt (Combined).,31.45527,74.35225,Combined,Punjab,2,1,737,624
116,Shakar Gunj Evergreen High  School Main Ferozpur Road opposite General Hospital-Lahore Cantt (Combined).,31.45527,74.35228,Combined,Punjab,2,2,1235,918
