StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
103,T.C.F School Bhutta Road Marryam Colony New Green Town. (Male) ()Permanent,31.42398,74.30214,Male,Punjab,4,0,1890,0
104,T.C.F School Bhutta Road Marryam Colony New Green Town (Female-)Permanent,31.42398,74.30217,Female,Punjab,0,3,0,1415
121,Govt. High School for Boys 5-D-II Green Town.(Male) ()Permanent,31.43225,74.3082,Male,Punjab,4,0,1540,0
122,Govt. High School for Boys 5-D-II Green Town (Female-)Permanent,31.43225,74.30823,Female,Punjab,0,3,0,1280
123,Govt. High School for Boys 5-D-II Green Town.(Male) ()Permanent,31.43225,74.30826,Male,Punjab,2,0,1106,0
124,Govt. High School for Boys 5-D-II Green Town (Female-)Permanent,31.43225,74.30829,Female,Punjab,0,2,0,999
125,Govt. Boys High School Block No.5 Sector D-2 Green Town.(Male) ()Permanent,31.43225,74.30832,Male,Punjab,4,0,1910,0
126,Govt. Boys High School Block No.5 Sector D-2 Green Town (Female-)Permanent,31.43225,74.30835,Female,Punjab,0,4,0,1588
127,Govt. Boys High School Block No.5 Sector D-2 Green Town. (Male) ()Permanent,31.43225,74.30838,Male,Punjab,3,0,1386,0
128,Govt. Boys High School Block No.5 Sector D-2 Green Town (Female-)Permanent,31.43225,74.30841,Female,Punjab,0,2,0,1153
105,Govt.Girls Middle  School Behari Colony Block-1 Sector D-2- Green Town.( Combined) ()Permanent,31.43275,74.30347,Combined,Punjab,2,2,1204,827
106,Govt.Girls Middle  School Behari Colony Block-1 Sector D-2- Green Town.(Combined) ()Permanent,31.43275,74.3035,Combined,Punjab,2,2,1020,942
107,Govt.Girls Middle  School Behari Colony Block-1 Sector D-2- Green Town.(Male) ()Permanent,31.43275,74.30353,Male,Punjab,4,0,1896,0
108,Govt.Girls Middle  School Behari Colony Block-1 Sector D-2- Green Town (Female-)Permanent,31.43275,74.30356,Female,Punjab,0,3,0,1392
113,Govt Girls Middle School Block 1-D-ll.(Combined),31.43275,74.30359,Combined,Punjab,2,2,989,805
109,Govt.Girls High School Itwar Bazar Block No.3 Sector D-2 Green Town (Combined) Permanent,31.43337,74.30862,Combined,Punjab,2,2,1067,918
110,Govt.Girls High School Itwar Bazar Block No.3 Sector D-2 Green Town.(Combined) ()Permanent,31.43337,74.30865,Combined,Punjab,2,2,1105,1054
60,City District Govt. Boys High School  Block No.4 Sector D-II Green Town. Combined),31.43504,74.31183,Combined,Punjab,2,2,984,803
61,City District Govt. Boys High School  Block No.4 Sector D-II Green Town .(Male),31.43504,74.31186,Male,Punjab,4,0,1665,0
62,City District Govt. Boys High School  Block No.4 Sector D-II Green Town  (Female),31.43504,74.31189,Female,Punjab,0,3,0,1481
63,City District Govt. Boys High School  Block No.4 Sector D-II Green Town .(Combined),31.43504,74.31192,Combined,Punjab,2,2,1107,918
118,GPO Pakistan Post Office- Block No.03- Sector D-II- Town Ship- Lahore.(Male),31.43515,74.30724,Male,Punjab,2,0,1085,0
119,GPO Pakistan Post Office- Block No.03- Sector D-II- Town Ship- Lahore.(Female),31.43515,74.30727,Female,Punjab,0,2,0,940
120,GPO Pakistan Post Office- Block No.03- Sector D-II- Town Ship- Lahore.(Combined),31.43515,74.3073,Combined,Punjab,2,2,882,790
82,Govt Boys Secondary School 5-C-II- Muslim chowk Green Town.(Combined),31.43525,74.29379,Combined,Punjab,1,2,714,593
83,Govt. Commercial Vocational Training Institute near (Qadri Chowk) C-II Town Ship       .(Male),31.43525,74.29382,Male,Punjab,4,0,1683,0
87,Govt Boys Secondary School 5-C-ll- Muslim Chowk Green town.(Combined),31.43525,74.29385,Combined,Punjab,2,2,940,785
111,City District Govt. Girls High School Block No.2 Sector D-2  Main Bazar Green Town.(Male) () Permanent,31.43591,74.30287,Male,Punjab,2,0,1166,0
112,City District Govt. Girls High School Block No.2 Sector D-2 Main Bazar  Green Town        (Female-) Permanent,31.43591,74.3029,Female,Punjab,0,2,0,948
114,City District Govt. Girls High School Block No.2 Sector D-2  Main Bazar Green Town. (Male),31.43591,74.30293,Male,Punjab,3,0,1401,0
116,City District Govt.Girls High School Block No.2 Sector D2-  Main Bazar Green Town Lahore. (Male)  (),31.43591,74.30296,Male,Punjab,3,0,1395,0
