StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
88,Government Boys M/S Talab sarai Lahore (Permanent) (Female),31.2682,74.10157,Female,Punjab,0,2,0,1451
68,Government Boys Primary School Nehla Lahore (Permanent) (Combined),31.27002,74.18216,Combined,Punjab,2,1,932,695
90,Government Elementry School Talab Sarai- Lahore (Permanent) (Male),31.27115,74.09383,Male,Punjab,3,0,1349,0
91,Government Elementry SchoolTalab Sarai- Lahore.(Permanent) (Female),31.27115,74.09386,Female,Punjab,0,2,0,925
65,Dispensary- Kot Asad Ullah- Misaali Goun(Combined),31.28,74.05693,Combined,Punjab,1,1,681,490
76,Government Boys Primary School- Bhai Kot- Lahore. (Permanent)  (Female),31.29143,74.18885,Female,Punjab,0,2,0,950
75,Govt. Primary School Girls- Bhai Kot(Male),31.29164,74.18856,Male,Punjab,4,0,1654,0
83,Health Hospital- Manga(Combined),31.30027,74.06654,Combined,Punjab,2,1,781,607
93,Government Higher Secondary School Manga Mandi Lahore (Permanent) (Female),31.30096,74.07103,Female,Punjab,0,2,0,1176
95,Government Higher School Manga Mandi Lahore (Permanent) (Male),31.30096,74.07106,Male,Punjab,4,0,1846,0
96,Government Higher School Manga Mandi Lahore (Permanent)(Female),31.30096,74.07109,Female,Punjab,0,3,0,1362
98,Government Higher Secondary School Manga Mandi Lahore (Permanent)(Male),31.30096,74.07112,Male,Punjab,3,0,1442,0
99,Government Higher Secondary School Manga Mandi Lahore (Permanent)(Female),31.30096,74.07115,Female,Punjab,0,4,0,2066
101,Government Girls P/S Hospital Road Manga Mandi- Lahore.(Permanent) (Female),31.30237,74.06695,Female,Punjab,0,2,0,1157
78,Government  Primary School- Hospital Road Manga Mandi Lahore. (Permanent) (Male),31.30237,74.06698,Male,Punjab,3,0,1616,0
79,Government Primary School- Hospital Road Manga Mandi Lahore (Permanent) (Female),31.30237,74.06701,Female,Punjab,0,2,0,1263
