StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
27,Govt. Boys Primary School Nayke (Combined,31.033405372223704,74.42066773589605,Combined,Punjab,2,2,1066,765
23,Govt. Boys Primary School Bhuchke (Male,31.033658194215544,74.40383893103582,Male,Punjab,4,0,1331,0
24,Govt. Boys Primary School Bhuchke (Female,31.033658194215544,74.4038689310358,Female,Punjab,0,3,0,1018
159,Govt. Boys Primary School Quttba (Male,31.034730100023136,74.35754389623993,Male,Punjab,4,0,2327,0
160,Govt. Boys Primary School Quttba (Female,31.034730100023136,74.3575738962399,Female,Punjab,0,4,0,1687
157,Govt.Girls Primary School Qutba (Male,31.036952472758095,74.35670995118049,Male,Punjab,4,0,1505,0
158,Govt.Girls Primary School Qutba (Female,31.036952472758095,74.3567399511805,Female,Punjab,0,3,0,1162
155,Govt. Boys Primary School Kailon(Male,31.043246368357835,74.3760350144383,Male,Punjab,4,0,1481,0
156,Govt.Girls Primary School Kailon (Female,31.043251312403985,74.3763139967982,Female,Punjab,0,2,0,1067
32,Govt. Boys Elementary School Hari Har  (Male,31.044064300222644,74.46433476074638,Male,Punjab,4,0,1458,0
33,Govt. Boys Elementary School Hari Har  (Female,31.044064300222644,74.4643647607464,Female,Punjab,0,3,0,1153
17,Govt.Girls Primary School Shamas Pura (Combined,31.050160118757155,74.39872078163332,Combined,Punjab,1,1,434,314
26,Govt. Boys Primary School Ahmed Pur (Combined,31.052827566928382,74.44390140457992,Combined,Punjab,2,2,1020,784
153,Govt. Boys Higher Secondary School Roshan Bheela (Female,31.057742553462475,74.34502585153778,Female,Punjab,0,3,0,1197
15,Govt.Boys High Sheikammad Kohna(FEMALE,31.05985603529854,74.42526784240752,Female,Punjab,0,3,0,1152
14,Govt.Girls  Primary School Sheikammad Kohna(MALE,31.061639644091187,74.42531637245915,Male,Punjab,4,0,1519,0
13,Govt.Girls Primary School Bahadar Pura (FEMALE,31.062057529067623,74.40211883878136,Female,Punjab,0,3,0,1121
30,Govt. Boys Primary School Bahmni Wala (Male,31.062220739980415,74.4727557194272,Male,Punjab,4,0,1360,0
31,Govt. Boys Primary School Bahmni Wala (Female,31.062220739980415,74.4727857194272,Female,Punjab,0,3,0,1064
152,Govt.Girls Higher Secondary School Roshan Bheela(Male,31.0654466992085,74.35542775091778,Male,Punjab,4,0,1537,0
34,Govt.Girls Elementary School kotli Pathana(Combined,31.06797339868989,74.4441723585507,Combined,Punjab,1,1,301,197
37,Govt. Boys Elementary School Maan(Male,31.07547655569691,74.49097633187523,Male,Punjab,2,0,937,0
38,Govt. Boys Elementary School Maan(Male,31.07547655569691,74.4910063318752,Male,Punjab,2,0,776,0
39,Govt. Boys Elementary School Maan (Female,31.07547655569691,74.4910363318752,Female,Punjab,0,3,0,1355
35,Govt.Girls High School Maan(Male,31.076313634724038,74.48948061655267,Male,Punjab,2,0,1014,0
36,Govt.Girls High School Maan (Female,31.076313634724038,74.4895106165527,Female,Punjab,0,2,0,796
18,Govt.Girls Elementary School Tolu Wala (Combined,31.078774331890482,74.43412087546446,Combined,Punjab,2,2,1058,927
28,Govt. Boys Primary School Dule Wala (Male,31.082805292894445,74.45241705066051,Male,Punjab,3,0,1119,0
29,Govt. Boys Primary School Dule Wala (Female,31.082805292894445,74.4524470506605,Female,Punjab,0,2,0,906
48,Govt. Boys Primary School Lohgarh Ghugian (Combined,31.08411790205004,74.52009264121588,Combined,Punjab,2,1,631,490
49,Govt. Boys Primary School Ladheke (Combined,31.08893951633087,74.53681818435291,Combined,Punjab,1,1,328,248
16,Govt.Girls Primary School Faqir-e-Wala(Combined,31.089920941765822,74.44052376507936,Combined,Punjab,2,2,683,605
21,Govt.Girls High School Nizam Pura (Male,31.09233169521864,74.41847161808958,Male,Punjab,3,0,1478,0
22,Govt.Girls High School Nizam Pura (Female,31.09233169521864,74.4185016180896,Female,Punjab,0,3,0,1251
19,Govt. Boys Elementary School Nizam Pura (Male,31.09293624071795,74.41992074149232,Male,Punjab,2,0,985,0
20,Govt. Boys Elementary School Nizam Pura  (Female,31.09293624071795,74.4199507414923,Female,Punjab,0,2,0,764
47,Govt. Boys Primary School Rohiwal (Combined,31.09310286598781,74.52879263636792,Combined,Punjab,1,1,408,404
7,Govt.Girls Primary School Bagle Kambown(Male,31.09795470169608,74.46665969325197,Male,Punjab,3,0,1111,0
8,Govt.Girls Primary School Bagle Kambown  (Female,31.09795470169608,74.466689693252,Female,Punjab,0,2,0,872
5,Govt. Boys Primary School Bagle Kambown  (Male,31.099608172149512,74.47054481282609,Male,Punjab,4,0,1511,0
6,Govt. Boys Primary School Bagle Kambown  (Female,31.099608172149512,74.4705748128261,Female,Punjab,0,3,0,1193
143,Govt. Boys Primary School  Sahari Uttar  (Combined,31.101217207538802,74.35948065935978,Combined,Punjab,2,2,1082,845
144,Govt. Boys Primary School  Sahari Uttar  (Combined,31.101217207538802,74.3595106593598,Combined,Punjab,2,2,1489,1148
40,Govt. Boys Primary School Kesar Garh (Male,31.10377651309124,74.4824727848408,Male,Punjab,4,0,1957,0
41,Govt. Boys Primary School Kesar Garh (Female,31.10377651309124,74.4825027848408,Female,Punjab,0,4,0,1599
45,Govt. Boys Primary School Patto Khona  (Combined,31.106754354367222,74.51133845696124,Combined,Punjab,2,1,671,435
46,Govt. Boys Primary School Patto Khona  (Combined,31.106754354367222,74.5113684569612,Combined,Punjab,2,1,635,468
88,Govt. Boys Primary School Bholake (Combined,31.1152051,74.4678122,Combined,Punjab,2,2,939,627
92,Basic Health Unit  Daftuh (Female,31.1152051,74.4678422,Female,Punjab,0,2,0,822
100,Govt.Girls Elementary School Theh Wadana(Combined,31.1152051,74.4678722,Combined,Punjab,2,2,1026,788
101,Govt. Boys Elementary School Theh Wadana Ferooz Pur Road(Combined,31.1152051,74.4679022,Combined,Punjab,2,1,546,437
104,Govt. Boys High School Khara (Combined,31.1152051,74.4679322,Combined,Punjab,1,1,338,229
105,Govt. Boys Primary School TIBBA Khara (Male,31.1152051,74.4679622,Male,Punjab,4,0,1287,0
109,Govt.Girls High School Khara(Male,31.1152051,74.4679922,Male,Punjab,4,0,2552,0
110,Govt Grils High School Khara (Female,31.1152051,74.4680222,Female,Punjab,0,4,0,2097
106,Govt.Girls High School Khara (Female,31.1152051,74.4680522,Female,Punjab,0,2,0,916
107,Govt. Boys High School Khara(Male,31.1152051,74.4680822,Male,Punjab,3,0,1046,0
108,Govt. Boys High School Khara (Female,31.1152051,74.4681122,Female,Punjab,0,2,0,557
25,Govt.Girls Primary School Kotla Sheikh Natha (Combined,31.11542896,74.46767605,Combined,Punjab,2,1,726,487
50,Govt. Boys  Elementary School Rai Kalan (Male,31.1154488,74.4671408,Male,Punjab,4,0,1450,0
62,Basic Health Unit Chhatian Wala (Combined,31.1154488,74.4671708,Combined,Punjab,2,1,807,522
120,Govt.High School NO 1 Mustafabad Main Feroz Pur Road(Male,31.1154488,74.4672008,Male,Punjab,2,0,788,0
121,Govt.High School NO 1 Mustafabad Main Feroz Pur Road((Female,31.1154488,74.4672308,Female,Punjab,0,2,0,727
122,Govt.Girls Primary School NO 2 Mustafabad Mohallah Malkan Wala  NEAR CHURCH(Male,31.1154488,74.4672608,Male,Punjab,4,0,1786,0
123,Govt.Girls Primary School NO 2 Mustafabad Mohallah Malkan Wala  NEAR CHURCH(Female,31.1154488,74.4672908,Female,Punjab,0,3,0,1301
