StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
152,Govt. Boys Primary School Rajo Wal Nau,30.875317106770943,74.28939551570141,Combined,Punjab,2,1,851,533
155,Govt.Boys Primary School Jaloki,30.878822132153626,74.34428768412494,Combined,Punjab,1,1,375,252
101,Govt. Boys Praimary School Canal Colony,30.897097606204365,74.03179274457842,Female,Punjab,0,2,0,892
171,Govt.Girls Primary School Muhala Himmat Pura,30.897106339034334,74.0318181342777,Female,Punjab,0,2,0,921
100,RHC Khudian Rural Part,30.897124001143748,74.03183343831654,Male,Punjab,2,0,1206,0
102,Govt.Girls Primary School Basti Bagh Ban Pura,30.897130020623703,74.03178540413491,Male,Punjab,4,0,1648,0
103,Govt.Girls Primary School Basti Bagh Ban Pura,30.897130020623703,74.0318154041349,Female,Punjab,0,3,0,1235
94,Govt.Girls Primary School Betu,30.897136666666665,74.03181333333333,Combined,Punjab,1,1,565,457
165,Govt.Boys Primary School Himmat Pura,30.897140623565292,74.03175748009495,Male,Punjab,3,0,1172,0
166,Govt.Boys Primary School Himmat Pura,30.897140623565292,74.0317874800949,Male,Punjab,2,0,580,0
167,Govt.Boys Primary School Himmat Pura,30.897140623565292,74.031817480095,Female,Punjab,0,3,0,1387
170,Govt.Primary School Himmat Pura,30.897140623565292,74.031847480095,Male,Punjab,2,0,1108,0
135,Govt.girls High School Kacha Pacca,30.89716886105213,74.03178708352841,Male,Punjab,2,0,1535,0
136,Govt.Girls High School Kacha Pacca,30.89716886105213,74.0318170835284,Female,Punjab,0,2,0,1210
162,Govt.Boys Primary School Basti Raheem Ud Deen,30.897171576926535,74.03183873784111,Male,Punjab,1,0,495,0
163,Govt.Boys Primary School Basti Raheem Ud Din,30.897171576926535,74.0318687378411,Male,Punjab,3,0,1188,0
164,Govt.Boys Primary School Basti  Raheem Ud Deen,30.897171576926535,74.0318987378411,Female,Punjab,0,3,0,1432
168,Govt.Girls High School Khudian,30.897182626368206,74.03178054890999,Male,Punjab,3,0,1588,0
169,Govt.Girls High School Khudian,30.897182626368206,74.03181054891,Female,Punjab,0,3,0,1368
134,Govt.Boys High School Kacha Pacca,30.897182878880802,74.03177785997492,Combined,Punjab,1,1,687,501
157,Govt.Boys High School Khudian Khas,30.89719360186758,74.03180351634558,Male,Punjab,2,0,816,0
158,Govt. Boys High School Khudian,30.89719360186758,74.0318335163456,Male,Punjab,3,0,1140,0
159,Govt.Boys High School Khudian,30.89719360186758,74.0318635163456,Female,Punjab,0,4,0,1517
160,Govt.Boys High School Khudian,30.89719360186758,74.0318935163456,Combined,Punjab,1,1,484,410
161,Govt.Boys High School Khudian,30.89719360186758,74.0319235163456,Combined,Punjab,1,1,540,455
132,Govt.Girls Primary School Jodh Singh Wala,30.90825227959584,74.27848294620185,Combined,Punjab,1,1,695,452
154,Govt.Boys Primary School Sheikh Saad Kaloo,30.910744026973607,74.30030806371754,Combined,Punjab,2,1,592,459
156,Govt.Girls Primary School Atar Singh Wala,30.917289757114997,74.32032311949843,Combined,Punjab,1,1,408,242
146,Govt. Boys Primary School Nain Wal  Jagir,30.927965446489452,74.25975001721325,Combined,Punjab,2,2,586,412
151,Govt.Girls Primary School Nain Wal Jagir,30.927965446489452,74.2597800172132,Combined,Punjab,2,2,1056,685
147,Govt.Boys Primary School Khurm,30.92914071874067,74.29194249850563,Combined,Punjab,2,2,575,434
133,Govt.Boys Primary School Baqar Ke,30.936971353539864,74.3159390329344,Combined,Punjab,2,1,965,595
93,Govt.Boys Primary School Thathi Usman,30.941853341172106,74.36014690973924,Combined,Punjab,2,2,1103,677
142,Govt-Girls High School Dholan,30.943189602367077,74.28084782658621,Male,Punjab,2,0,807,0
143,Govt.Girls High School Dholan,30.943189602367077,74.2808778265862,Female,Punjab,0,2,0,662
144,Govt. Boys High School Dholan,30.94589007990262,74.27474925160044,Male,Punjab,4,0,1502,0
145,Govt. Boys High School Dholan,30.94589007990262,74.2747792516004,Female,Punjab,0,2,0,1073
148,Govt.Boys High school Dholan,30.94589007990262,74.2748092516004,Combined,Punjab,2,2,742,513
116,Govt.Boys Primary School Said Pur,30.949384534600767,74.16791316219702,Male,Punjab,3,0,1090,0
117,Govt.Boys Primary School Said Pur,30.949384534600767,74.167943162197,Male,Punjab,2,0,914,0
118,Govt.Boys Primary School Said Pur,30.949384534600767,74.167973162197,Female,Punjab,0,4,0,1511
141,Basic Health Unit Dholan,30.952047262732066,74.27890204735776,Combined,Punjab,1,1,462,450
76,Govt.Girls Primary School RatneWala,30.957563013859566,74.3989997606346,Combined,Punjab,2,1,852,545
77,Govt.Girls Primary School RatneWala,30.957563013859566,74.3990297606346,Combined,Punjab,1,1,917,648
92,Govt Girls Primary School Mamman Wala,30.96127410412245,74.37529030548924,Combined,Punjab,2,2,987,672
114,Govt. Girls Primary School Baig Pur,30.961698929311797,74.21973489789622,Combined,Punjab,2,1,888,661
111,Govt.Girls Primary School Sanda Kalan,30.96628126904923,74.23322075549066,Male,Punjab,2,0,940,0
112,Govt.Girls Primary School Sanda Kalan,30.96628126904923,74.2332507554907,Female,Punjab,0,2,0,766
113,Govt.Girls Primary School Sanda Kalan,30.96628126904923,74.2332807554907,Combined,Punjab,1,1,400,288
119,Govt.Boys Primary School Sikandar Pura,30.97262955677142,74.15692066724849,Combined,Punjab,1,1,495,374
120,Govt.Boys Primary School Sikandar Pura,30.97262955677142,74.1569506672485,Combined,Punjab,1,1,625,447
115,Govt. Primary School Rajo Wal,30.973101498339744,74.17952593857495,Combined,Punjab,2,2,1313,923
80,Govt.Boys Primary School Hardo Ban Bodla,30.97368833333333,74.416145,Combined,Punjab,1,1,467,338
107,Govt.Boys Primary School Khai Hithar,30.97523003448922,74.21412020498967,Male,Punjab,2,0,1176,0
108,Govt. Girls Primary School Khai Hithar,30.97523003448922,74.2141502049897,Female,Punjab,0,2,0,942
75,Govt. Boys Primary school Bhadian Usman Wala,30.975305000000002,74.43569333333333,Combined,Punjab,1,1,208,138
91,Govt.Girls Primary School Sohdi Wala,30.976069999999996,74.340615,Combined,Punjab,1,1,537,430
81,Govt.Girls Elementry Scool Chabbar,30.982631477229912,74.37312393834848,Male,Punjab,2,0,1068,0
82,Govt.Girls Elemenrtry School Chabbar,30.982631477229912,74.3731539383485,Female,Punjab,0,2,0,751
172,Govt Boys Elementry School Khudian,30.98509333333333,74.27436833333333,Male,Punjab,3,0,1577,0
173,Govt.Boys Elementry School Khudian,30.98509333333333,74.2743983333333,Female,Punjab,0,3,0,1233
