StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
4,Govt. Girls High School- Ratta Amral North Side (Female),33.60607,73.04662,Female,Punjab,0,2,0,999
5,Govt. Girls High School- Ratta Amral North Side (Female),33.60607,73.04665,Female,Punjab,0,2,0,961
6,Govt. Girls High School- Ratta Amral North Side (Female),33.60607,73.04668,Female,Punjab,0,2,0,1380
1,MC Girls Primary School- Ratta Amral- Said Meer Colony (Male),33.60732,73.0453,Male,Punjab,2,0,1215,0
2,MC Girls Primary School- Ratta Amral- Said Meer Colony (Male),33.60732,73.04533,Male,Punjab,2,0,1081,0
3,MC Dispensary- Ratta Amral Rawalpindi (Male),33.60803,73.04449,Male,Punjab,3,0,1636,0
12,Govt. Degree College for Women- Bhoosa Godown (Female),33.60814,73.04435,Female,Punjab,0,2,0,1218
7,Govt. Degree College (Women) Boosa Godown Rwp. (Male),33.60814,73.04438,Male,Punjab,3,0,1543,0
8,Govt. Degree College (Women) Boosa GodownRwp. (Male),33.60814,73.04441,Male,Punjab,2,0,1287,0
140,MC Dispensary- Mohanpura (Female),33.60826,73.05281,Female,Punjab,0,2,0,897
141,MC Dispensary- Mohanpura (Female),33.60826,73.05284,Female,Punjab,0,2,0,1287
136,Govt. Girls High School Mohanpura (Male),33.60831,73.05336,Male,Punjab,3,0,1461,0
138,Govt. Grils High School No. 4- Mohanpura (Male),33.60831,73.05339,Male,Punjab,2,0,1047,0
139,Govt. Grils High School No. 4- Mohanpura (Male),33.60831,73.05342,Male,Punjab,3,0,1537,0
142,Govt. Grils High School No. 4- Mohanpura (Male),33.60831,73.05345,Male,Punjab,3,0,1449,0
137,Govt. Degree College for Women- Mohanpura (Female),33.60984,73.05171,Female,Punjab,0,2,0,1272
143,Govt. Degree College for Women- Mohanpura (Female)(P).,33.60984,73.05174,Female,Punjab,0,2,0,1231
145,Govt Degree College For Women Mohan Pura (Female),33.60984,73.05177,Female,Punjab,0,2,0,1018
144,Tehsil Office Rawalpindi- Jinnah Road Near DHQ Hospital (Male),33.61143,73.05503,Male,Punjab,2,0,1161,0
146,Tehsil Office Rawalpindi- Jinnah Road Near DHQ Hospital (Male),33.61143,73.05506,Male,Punjab,2,0,1309,0
147,Tehsil Office Rawalpindi- Jinnah Road Near DHQ Hospital (Female),33.61143,73.05509,Female,Punjab,0,2,0,1217
9,Govt. Pakistan Girls High School- Bhoosa Godown- Milad Nagar (Female),33.61145,73.04247,Female,Punjab,0,2,0,1356
10,Govt. Pakistan Girls High School- Bhoosa Godown- Milad Nagar (Female),33.61175,73.04252,Female,Punjab,0,2,0,1122
11,Govt. Pakistan Girls High School- Bhoosa Godown- Milad Nagar (Male),33.61175,73.04255,Male,Punjab,3,0,1539,0
21,MC Dispensary Babu Lal Hussain Road (Male),33.61317,73.04588,Male,Punjab,2,0,1017,0
23,MC Dispensary Babu Lal Hussain Road (Male),33.61317,73.04591,Male,Punjab,1,0,702,0
152,Govt. Shimla Islamia High School Nimak Mandi (Female),33.61475,73.05471,Female,Punjab,0,1,0,617
153,Govt. Shimla Islamia High School- Namak Mandi (Male),33.61475,73.05474,Male,Punjab,2,0,860,0
13,MC Boys High Sschool Babu Lal Hussain Road (Male),33.61559,73.04625,Male,Punjab,3,0,1762,0
14,MC Girls High School- Babu Lal Hussain Road- Milad Nagar (Female),33.61559,73.04628,Female,Punjab,0,3,0,1606
15,MC Boys High Sschool Babu Lal Hussain Road (Male),33.61559,73.04631,Male,Punjab,4,0,2102,0
16,MC Girls High School Babu Lal Hussain Road (Female),33.61559,73.04634,Female,Punjab,0,3,0,1774
17,MC Boys High School Babu Lal Hussain Road (Male).,33.61559,73.04637,Male,Punjab,2,0,1268,0
18,MC Boys High School Babu Lal Hussain Road (Male).,33.61559,73.0464,Male,Punjab,2,0,1020,0
19,MC Girls High School Babu Lal Hussain Road Dhoke Ratte (Female),33.61559,73.04643,Female,Punjab,0,2,0,1074
20,MC Girls High School Babu Lal Hussain Road Dhoke Ratte (Female),33.61559,73.04646,Female,Punjab,0,2,0,1291
22,MC Girls High School Babu Lal Hussain Road Ratta (Female),33.61559,73.04649,Female,Punjab,0,2,0,993
24,Govt. Islamia High School No.3 Babu Lal Hussain Road (Male),33.61567,73.04573,Male,Punjab,3,0,1464,0
26,Got. Islamia Boys High School No.3 Babu Lal Hussain Road (Male),33.61567,73.04576,Male,Punjab,4,0,2525,0
