StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
156,Govt. Boys Primary School Mandianwala Chak No. 19 (Combined),31.00738,73.84335,Combined,Punjab,1,1,505,374
157,Govt. Girls Middle School Mandianwala Chak No. 19 (Combined),31.0077,73.84341,Combined,Punjab,1,2,356,272
158,Govt. Girls Middle School Mandianwala Chak No. 19 (Combined),31.0077,73.84344,Combined,Punjab,2,2,826,662
99,Govt. Girls Primary School Kani Verid (Combined),31.014294828927248,73.79584983753014,Combined,Punjab,2,1,623,418
142,Govt. Boys Primary School Chak No. 37 (Combined),31.01486,73.82007,Combined,Punjab,2,2,950,646
143,Govt. Girls Primary School Chak No 37 (Combined),31.01581,73.81907,Combined,Punjab,2,1,897,676
153,Govt. Boys Primary School Kot Fazal Din (Male),31.02558,73.86565,Male,Punjab,3,0,1392,0
154,Govt. Boys Primary School Kot Fazal Din (Male),31.02558,73.86568,Male,Punjab,2,0,630,0
155,Govt. Boys Primary School Kot Fazal Din (Female),31.02558,73.86571,Female,Punjab,0,2,0,618
139,Govt. Boys Primary School Pattoki Kohna (Combined),31.02624,73.8289,Combined,Punjab,1,1,180,156
102,Govt. Boys Primary School Chak No.38 (Combined),31.02628350157888,73.79441072071941,Combined,Punjab,1,1,465,323
140,Govt. Girls Elementary School Pattoki Kohna (Combined),31.02656,73.8283,Combined,Punjab,2,1,920,694
141,Govt. Girls Elementary School Pattoki Kohna (Combined),31.02667,73.82833,Combined,Punjab,2,1,805,512
144,Govt. Girls Elementary School Pattoki Kohna (Combined),31.02667,73.82836,Combined,Punjab,2,2,1341,1051
98,Govt. Boys Primary School Chah Jhoru- Kani Verid (Combined),31.033673728270763,73.77729641617692,Combined,Punjab,2,1,700,447
171,Govt. Primary School  Wan Adhan (Combined),31.03702,73.91605,Combined,Punjab,1,1,726,606
172,Govt.Primary School  Wan Adhan (Combined),31.03702,73.91608,Combined,Punjab,1,1,321,268
173,Govt Girls Elementary School Wan Adhan (Combined),31.03723,73.91579,Combined,Punjab,2,1,592,550
147,Govt. Boys Primary School Total (Combined),31.03937,73.85514,Combined,Punjab,2,1,1010,740
151,Govt. Boys Primary School Naroki Mahja (Female),31.04028,73.86472,Female,Punjab,0,2,0,586
152,Govt. Boys Primary School Naroki Mahja (Female),31.04028,73.86475,Female,Punjab,0,3,0,1270
148,Govt. Boys Primary School Naroki Mahja (Combined),31.0404,73.8645,Combined,Punjab,2,2,1039,822
149,Govt. Boys Primary School Naroki Mahja (Male),31.0404,73.86453,Male,Punjab,2,0,770,0
150,Govt. Boys Primary School Naroki Mahja (Male),31.0404,73.86456,Male,Punjab,1,0,418,0
174,Govt. Primary School  Partab Garh (Combined),31.04114,73.91064,Combined,Punjab,2,1,849,647
101,Govt. Boys Middle School Chak No.39 (Combined),31.04497103393891,73.81023650421817,Combined,Punjab,1,1,419,307
166,Govt. Girls Primary School Chak No.34 Mallanwala (Combined),31.047360290879123,73.86944426075985,Combined,Punjab,1,1,505,412
100,Govt. Girls Primary School Awan Chak No.39 (Combined),31.047408884438028,73.81295108807774,Combined,Punjab,2,2,1225,832
146,Govt. Girls High School Burj Mahalam Chak No. 35 (Combined),31.0486,73.83498,Combined,Punjab,1,1,430,347
145,Basic Health Unit Burj Mahalam Chak No.35 (Combined),31.04889,73.83718,Combined,Punjab,2,1,608,519
137,Govt. High school Burj Mahalam Chak 35 (Male),31.04972,73.83778,Male,Punjab,3,0,1877,0
138,Govt. High school Burj Mahalam Chak 35 (Female),31.04972,73.83781,Female,Punjab,0,2,0,1407
167,Govt  Primary School Chak No.34 Mallanwala (Combined),31.05035649368592,73.87126076456813,Combined,Punjab,2,2,1200,887
168,Govt  Primary School Chak No.34 Mallanwala (Combined),31.05035649368592,73.8712907645681,Combined,Punjab,1,1,318,238
2,Govt. Boys Middle School Chak No. 53 Sursingh (Combined),31.050928046825142,73.69170583597683,Combined,Punjab,2,1,940,648
164,Govt. Girls Elementary School Chak No.34 Mundayki (Combined),31.05753731164643,73.85360640005857,Combined,Punjab,1,1,479,392
165,Govt. Primary School Mundayki (Combined),31.057696104956754,73.85397416592475,Combined,Punjab,1,1,573,494
3,Govt. Primary School Chak -51 Siddo Nau  (Combined),31.0620578286661,73.6624595588798,Combined,Punjab,1,1,735,541
176,Govt. Boys Primary School- Dinpur Bonga Sardar Kahan Singh (Combined),31.06222,73.91639,Combined,Punjab,2,2,837,675
175,Govt. Boys Primary School- Dinpur Bonga Sardar Kahan Singh (Combined),31.06224,73.91643,Combined,Punjab,1,1,198,146
1,Govt. Boys Middle School Chak No. 50 Sursingh (Combined),31.06566789528438,73.68838709536652,Combined,Punjab,1,1,516,319
