StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
133,133. Govt. Boys Primary School Uttam Singh Kot Haji Jan Muhammad (Combined),30.51956,73.84444,Combined,Punjab,2,1,358,260
117,117. Govt. High School Rohella Taje Ka  (P)* (Combined),30.52571,73.9506,Combined,Punjab,2,1,684,543
125,125. Govt.Girls Primary School Hamu Noabad (P)* (Combined),30.5278,73.90347,Combined,Punjab,2,1,773,585
115,115. Govt. Boys Primary School Puran (P)* (Combined),30.5351,73.96818,Combined,Punjab,2,2,1096,782
135,135. Govt. Boys Primary School Turbat  (P)* (Combined),30.53758,73.81293,Combined,Punjab,2,1,847,634
126,126. Govt.Boys Primary School Hamu Noabad (P)* (Combined),30.53778,73.89056,Combined,Punjab,2,1,552,413
132,132. Govt. Boys Primary School Battak (P)* (Combined),30.53857,73.82675,Combined,Punjab,2,1,982,688
120,120. Govt. Girls Primary School Ahmad Yar  (P)* (Combined),30.54012,73.88464,Combined,Punjab,2,2,1292,965
130,130. Govt. Girls Elementry School Kalasan Hameed (Female),30.54557,73.85933,Female,Punjab,0,2,0,1025
129,129. Govt. Boys High School Kalasan Hameed (Male),30.54565,73.86023,Male,Punjab,4,0,1343,0
131,131. Govt. Boys Primary School Marra (P)* (Combined),30.54688,73.80139,Combined,Punjab,2,1,721,560
102,102. Govt. Girls Primary School Hafiz Lal (Chak Murad) (P)* (Combined),30.54737,73.98138,Combined,Punjab,2,1,588,348
116,116. Govt. Boys Primary School Garh Asadullah Khan (P)* (Combined),30.55031,73.93791,Combined,Punjab,2,1,707,497
136,136. Govt. Boys Primary School Koay ki Jagir  (P)* (Combined),30.55159,73.84832,Combined,Punjab,2,1,795,651
103,103. Govt. Model Primary School Lalu Gudar (P)* (Combined),30.5527,74.00494,Combined,Punjab,2,2,1032,620
127,127. Govt. Girls Middle School Maroof East Side  (P)* (Male),30.55515,73.86582,Male,Punjab,3,0,1230,0
128,128. Govt. Girls Middle School Maroof West Side  (P)* (Female),30.55515,73.86585,Female,Punjab,0,2,0,840
118,118. Govt. Boys High School Ganda Singh  (P)* (Male),30.56177,73.95292,Male,Punjab,3,0,1080,0
119,119. Govt. Girls Elementry School Ganda Singh  (P)* (Female),30.56261,73.95288,Female,Punjab,0,2,0,827
134,134. Govt. Boys Primary School Amin Kot (Basirpur) (P)* (Combined),30.56309,73.83435,Combined,Punjab,2,2,1175,850
