StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
30,30. Comred Public School Abdullah Town- Pipli pahar Road - Depalpur (Male),-61.10384,-1.661036,Male,Punjab,2,0,541,0
14,14. Ali Foundation Science School Zia-u-Din Colony Depalpur (Female),-7.478681,-0.7031361,Female,Punjab,0,2,0,482
26,26. Muhammad Ali Jinnah Public School Lalazar Colony Depalpur (Female),-7.594853,1.054681,Female,Punjab,0,2,0,514
24,24. City Modal High School Lalazar Depalpur (Male),10.78344,9.652783,Male,Punjab,2,0,547,0
123,123. Govt. Girls Elementry School- Doula Pukhta (P)* (Combined),30.1853256,72.7001806,Combined,Punjab,2,2,1045,862
124,124. Govt. Boys Primary School- Lohariwala(P)* (Combined),30.1853256,72.7002106,Combined,Punjab,2,1,483,439
125,125. Govt. Boys Primary School- Bahawaldas (P)* (Combined),30.1853256,72.7002406,Combined,Punjab,2,2,1371,1076
126,126. Govt. Girls Primary School Hakim Sudhar Key (P)* (Combined),30.1853256,72.7002706,Combined,Punjab,2,1,709,571
114,114. Govt. Boys Primary School Pholarwan Kambo (P)* (Male),30.2944459,73.0639991,Male,Punjab,4,0,1483,0
115,115. Govt. Girls Primary School Pholarwan Kambo (P)* (Female),30.2944459,73.0640291,Female,Punjab,0,3,0,1152
116,116. Govt. Girls Primary School Natho Shah (P)* (Combined),30.2944459,73.0640591,Combined,Punjab,1,1,408,289
117,117. Govt. Model Primary School Chohan Shaman (P)* (Combined),30.2944459,73.0640891,Combined,Punjab,1,1,287,226
118,118. Govt. Boys Primary School Lalu Pur  (P)* (Combined),30.2944459,73.0641191,Combined,Punjab,2,1,556,429
139,139. Govt. Boys Primary School- Birbal Ranjha(P)* (Combined),30.498986018637765,73.7073508019028,Combined,Punjab,2,1,592,380
140,140. Govt Boys Primary School Kot Zaman shah(Chak Wazeer Singh) (P)* (Combined),30.5102206,73.7229806,Combined,Punjab,2,1,708,542
138,138. Govt. Girls Primary School Mari Kamboh(T)** (Combined),30.517034627194388,73.68728861853387,Combined,Punjab,2,1,763,564
109,109. Govt. Boys Elementry School Sukh Pur (P)* (Combined),30.530818112301684,73.57450311030752,Combined,Punjab,2,2,974,646
110,110. Govt. Boys Primary School Thakar Singh Wala (P)* (Combined),30.530818112301684,73.5745331103075,Combined,Punjab,2,2,987,783
108,108. Govt. Boys Primary School Shah Nawaz Khanwala (P)* (Combined),30.54402668267147,73.5515339949056,Combined,Punjab,2,1,808,613
71,71. Govt. Girls Primary School Mohal Musa Khan (P)* (Female),30.5470394,73.4400641,Female,Punjab,0,2,0,890
113,113. Govt. Boys High School Delman Ganj (Rakh Dhular) (P)* (Combined),30.5603893350143,73.53045519979884,Combined,Punjab,2,2,1043,737
63,63. Govt. Boys Primary School Hoshnak Singh (P)* (Combined),30.5648603,73.5555097,Combined,Punjab,1,1,435,311
67,67. Govt. Boys Primary School Asad-ullah Pur(P)* (Combined),30.5648603,73.5555397,Combined,Punjab,2,2,939,573
122,122. Govt. Girls Elementry School Vendla jagir (P)* (Female),30.565383620957913,73.62256408436727,Female,Punjab,0,3,0,1162
111,111. Govt. Girls Elementry School Proban Abad (P)* (Male),30.56592253109688,73.52684135274404,Male,Punjab,3,0,1389,0
121,121. Govt. Boys Middle School Vendla jagir (P)* (Male),30.566966951518218,73.61988919573211,Male,Punjab,4,0,1510,0
131,131. Govt. Girls Elementry School- Pasail (P)* (Combined),30.572821741808173,73.6440318198215,Combined,Punjab,2,2,1178,910
112,112. Govt. Boys Primary School Proban Abad  (P)* (Female),30.57548932267928,73.5631396506806,Female,Punjab,0,2,0,1062
70,70. Govt. Boys Elementary School Mohal Musa Khan (P)* (Male),30.5780376,73.503402,Male,Punjab,3,0,970,0
66,66. Govt. Boys Elementary School Shah Yakka (P)* (Combined),30.5826737,73.5091235,Combined,Punjab,2,2,1223,933
119,119. Govt. Girls Elementry School Tula Kamboh (P)* (Male),30.58693947461813,73.60361015218783,Male,Punjab,3,0,1145,0
120,120. Govt. Girls Elementry School Tula Kamboh (P)* (Female),30.58693947461813,73.6036401521878,Female,Punjab,0,2,0,877
65,65. Govt. Boys Primary School Baghwan Pura (P)* (Combined),30.596569,73.5089027,Combined,Punjab,2,1,1036,773
106,106. Govt. Boys Primary School Bail Singh (P)* (Combined),30.59718545732955,73.60121213023993,Combined,Punjab,2,2,1340,981
62,62. Govt. Boys Primary School Odan Wali (P)* (Combined),30.609812,73.5175193,Combined,Punjab,1,1,522,386
64,64. Govt. Boys Primary School Nawan Kot (P)* (Combined),30.609812,73.5175493,Combined,Punjab,2,2,1013,729
104,104. Govt. Boys High School Amli Moti Iqbal Block (P)* (Male),30.6105154,73.5987596,Male,Punjab,4,0,1824,0
105,105. Govt. Boys High School Amli Moti Jinnah Block (P)* (Female),30.6105154,73.5987896,Female,Punjab,0,4,0,1407
107,107. Govt. Model Primary School Ghadarah (P)* (Combined),30.6105154,73.5988196,Combined,Punjab,2,1,672,582
132,132. Govt. Boys Primary School- Jasokey Dhoon (P)* (Combined),30.611888,73.7630465,Combined,Punjab,2,2,878,733
133,133. Govt. Girls Primary School- Jasokey Dhoon (P)* (Combined),30.611888,73.7630765,Combined,Punjab,2,2,937,768
134,134. Govt. Boys High School- Bhuman Shah East Side (P)* (Male),30.611888,73.7631065,Male,Punjab,4,0,1604,0
135,135. Govt. Boys High School- Bhuman Shah West Side (P)* (Female),30.611888,73.7631365,Female,Punjab,0,3,0,1125
136,136. Govt. Girls Elementry School Bhuman Shah Old Block (T)** (Male),30.611888,73.7631665,Male,Punjab,4,0,2254,0
137,137. Govt. Girls Elementry School Bhuman Shah New Block (T)** (Female),30.611888,73.7631965,Female,Punjab,0,4,0,1524
