StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
149,Govt: Boys Primary School- Kund Kanjwan   (Combined),30.141172770430234,73.36390764961283,Combined,Punjab,2,1,654,435
163,Govt:Boys Primary School- Kot  Bahawal (East)   (Combined),30.1581487648016,73.2074109879031,Combined,Punjab,2,2,836,689
164,Govt:Boys Primary School- Kot Bahawal (West)  (Combined),30.1581487648016,73.2074409879031,Combined,Punjab,2,1,691,473
120,Govt:Boys Middle School- Kot Bakhsha (West) (Combined),30.175636072699273,73.27707688842717,Combined,Punjab,1,1,361,287
151,Govt:Boys Middle School- Kot Bakhsha (West)    (Combined),30.175636072699273,73.2771068884272,Combined,Punjab,1,1,311,241
150,Govt.Boys Middle School- Kot  Bakhsha East  (Combined),30.175667589154312,73.2770212062496,Combined,Punjab,2,1,817,681
161,Govt:Girls  Middle School Hotta  (Combined),30.187285544288144,73.20220117868588,Combined,Punjab,1,1,280,210
158,Govt:Boys High School- Hotta (East)  (Male),30.189170799412096,73.20323297748644,Male,Punjab,3,0,1329,0
159,Govt:Boys High School- Hotta (East) (Female),30.189170799412096,73.2032629774864,Female,Punjab,0,2,0,983
160,Govt:Boys High School- Hotta (West) (Combined),30.189170799412096,73.2032929774864,Combined,Punjab,1,1,459,353
162,Office of the Union Council No.22.Hotta   (Combined),30.189805437702393,73.2034853617494,Combined,Punjab,1,1,471,401
152,Govt:Boys Primary School- Mari Aunmb   (Combined),30.194470838922935,73.30541518130477,Combined,Punjab,1,1,625,558
168,Govt: Boys Primary School  10/KB  (Combined),30.205873997302913,73.24266895370711,Combined,Punjab,1,1,524,417
156,Govt:Boys Primary School- Malooka Kalan    (Male),30.208080321875258,73.18288361762828,Male,Punjab,2,0,1104,0
157,Govt:Boys Primary School- Malooka Kalan    (Female),30.208080321875258,73.1829136176283,Female,Punjab,0,2,0,816
165,Govt:Boys Primary School- 8/KB (East) (Combined),30.20839359900302,73.25328175750157,Combined,Punjab,2,2,778,701
166,Govt:Boys Primary School- 8/KB (West)   (Combined),30.20839359900302,73.2533117575016,Combined,Punjab,1,1,301,239
130,Govt:Girls Primary School- Feroz Pur Chishtian   (Combined),30.21756760564284,73.3005775038605,Combined,Punjab,1,1,723,597
154,Govt: Girls High School Purana Thana  (Male),30.21779,73.19183,Male,Punjab,2,0,1234,0
155,Govt: Girls High School Purana Thana (Female),30.21779,73.19186,Female,Punjab,0,2,0,960
129,Govt:Boys High School- Feroz Pur Chishtian (Combined),30.217923302668098,73.29754607176491,Combined,Punjab,2,2,874,769
153,Govt:Boys Primary School- Purana Thana  (Combined),30.21961264877238,73.19224100591444,Combined,Punjab,1,1,594,483
142,Govt:Boys Primary School- 16/KB   (Combined),30.222247431642142,73.14161681939618,Combined,Punjab,1,1,580,424
148,Govt:Boys Primary School- 11/KB   (Combined),30.22550336169449,73.22148785664078,Combined,Punjab,2,1,856,653
167,Govt:Boys Primary School- 9/KB  (Combined),30.227137953858985,73.25134506555435,Combined,Punjab,1,1,666,639
128,Govt:Boys Primary School- Mahint Darshan  (Combined),30.23547002953427,73.28060913106623,Combined,Punjab,2,1,973,788
146,Govt:Girls Middle School- 13/KB   (Male),30.23757569234867,73.19890584666936,Male,Punjab,2,0,1052,0
147,Govt:Girls Middle School- 13/KB  (Female),30.23757569234867,73.1989358466694,Female,Punjab,0,2,0,799
118,Govt:Model Primary School- 6/KB           (Combined),30.240777317411336,73.31897658699546,Combined,Punjab,1,1,576,406
144,Govt:Girls Middle School- 14/KB  (Male),30.253458733575407,73.193787488348,Male,Punjab,2,0,1130,0
145,Govt:Girls Middle School- 14/KB    (Female),30.253458733575407,73.193817488348,Female,Punjab,0,2,0,858
175,Govt:Boys Middle School- Shahu Bloach    (Combined),30.25621570919782,73.38016670714089,Combined,Punjab,1,1,553,502
115,Govt:Girls Primary School- Salamat             (Combined),30.25673054226391,73.34112482642519,Combined,Punjab,2,1,846,659
124,Govt: Girls High School- Kalyana (East)    (Combined),30.2589861423627,73.22593712611356,Combined,Punjab,2,1,718,528
126,Govt: Girls High School- Kalyana (West)  (Combined),30.25899477281175,73.22597983173713,Combined,Punjab,2,1,945,699
143,Govt:Boys Primary School- 15/KB   (Combined),30.25964579893641,73.18563569020584,Combined,Punjab,1,1,624,453
125,Office of the Union Council No.21. Kalyana  (Combined),30.259805543703347,73.22516317673193,Combined,Punjab,1,1,535,393
119,Govt:Girls Primary School- Naib Wal     (Combined),30.260685630825336,73.32238815183439,Combined,Punjab,1,1,675,496
121,Govt:Boys High School- Kalyana (East)        (Male),30.265693889874218,73.22083553205917,Male,Punjab,3,0,1581,0
122,Govt:Boys High School- Kalyana (East)       (Female),30.265693889874218,73.2208655320592,Female,Punjab,0,2,0,1159
123,Govt:Boys High School- Kalyana (West)   (Combined),30.265693889874218,73.2208955320592,Combined,Punjab,2,1,836,686
177,Govt: Girls Middle  School- Thatha Manzoor Khan  (Combined),30.27162207440315,73.38097683993013,Combined,Punjab,1,1,490,326
127,Govt:Girls Primary School- Malyana    (Combined),30.27608,73.25574,Combined,Punjab,1,1,481,321
176,Govt Modle Primary School Lal Khan Dhudhi (Combined),30.2771435157447,73.39711210384878,Combined,Punjab,1,1,654,493
113,Govt:Boys Primary School- Jora            (Combined),30.278380208379964,73.3567324285522,Combined,Punjab,2,1,788,606
116,Govt.Boys Middle School- Amar Singh Hotta Road East         (Combined),30.283259674789647,73.30254923044929,Combined,Punjab,1,1,565,405
117,Govt.Boys Middle School- Amar Singh Sochan-Hotta Road  (West)  (Combined),30.283259674789647,73.3025792304493,Combined,Punjab,1,1,546,473
132,Govt: Boys Primary School-  Bhawan Shah    (Combined),30.284619716086958,73.21078771716192,Combined,Punjab,1,1,215,174
111,Govt:Girls Primary School-Opana  (Male),30.29242054654493,73.26726996926381,Male,Punjab,2,0,1159,0
112,Govt:Girls Primary School-Opana    (Female),30.29242054654493,73.2672999692638,Female,Punjab,0,2,0,854
114,Govt:Girls Primary School- Aalam Dhudhi    (Combined),30.297043524090224,73.39287623719923,Combined,Punjab,2,1,779,496
133,Govt:Boys Primary School- Tehi Javind Singh (Combined),30.30145096997734,73.2318157479189,Combined,Punjab,2,1,941,725
97,Govt: Boys Primary School- Malik Pur-    (Male),30.30631765924122,73.35958645788178,Male,Punjab,2,0,1238,0
98,Govt: Boys Primary School- Malik Pur-   (Female),30.30631765924122,73.3596164578818,Female,Punjab,0,2,0,986
103,Govt:Boys Primary School- 2/KB   (Combined),30.30668690260489,73.32931188001953,Combined,Punjab,2,2,910,796
102,Govt:Girls High School- Adda Kot Dewan Hotta Road   (Combined),30.309151750310413,73.34817959838497,Combined,Punjab,1,1,284,164
99,Govt:Boys Primary School- Ali Kamal ( Male),30.31161863353611,73.3739077212962,Male,Punjab,2,0,1174,0
137,Govt:Boys Primary School- 3/EB    (Male),30.312969532989,73.20353362980867,Male,Punjab,2,0,1038,0
138,Govt:Boys Primary School- 3/EB   (Female),30.312969532989,73.2035636298087,Female,Punjab,0,2,0,896
131,Govt:Boys Primary School- Singh Pura  (Combined),30.313132177632642,73.22106838708949,Combined,Punjab,1,1,369,255
101,Govt:Boys Primary School- Dhakku Chishti   (Combined),30.313785597036162,73.3433611705079,Combined,Punjab,2,2,953,758
96,Govt"DPS- Malik Pur  Hota Road-  (Combined),30.315259279994372,73.3579345870915,Combined,Punjab,1,1,669,508
108,Govt:Boys Primary School- Arifabad  (Male),30.31622571625253,73.3186266992504,Male,Punjab,2,0,1271,0
109,Govt:Boys Primary School- Arifabad  (Female),30.31622571625253,73.3186566992504,Female,Punjab,0,2,0,916
134,Govt:Boys High School- Azmat (East)      (Male),30.317805998357237,73.24292026948999,Male,Punjab,2,0,1121,0
135,Govt:Boys High School- Azmat (South)    (Female),30.317914063106734,73.24277717468506,Female,Punjab,0,2,0,813
136,Govt:Boys High School- Azmat (West)      (Combined),30.317914063106734,73.2428071746851,Combined,Punjab,1,1,234,181
107,Govt Boys Middle School Pakka Sidhar  (Combined),30.31961165404956,73.27578521770992,Combined,Punjab,1,1,656,508
104,Govt:Boys Middle School- Pacca  Sidhar     (Male),30.31961165404956,73.2758152177099,Male,Punjab,2,0,1126,0
105,Govt:Boys Middle School- Pacca  Sidhar     (Female),30.31961165404956,73.2758452177099,Female,Punjab,0,2,0,852
83,Govt:Girls Primary School- Basti Ghous Nagar (Combined),30.3200978563819,73.41482841063387,Combined,Punjab,2,1,834,621
84,Govt:Boys Primary School- Khairabad   (Combined),30.321950820380653,73.40054746192412,Combined,Punjab,1,1,532,378
100,Govt:Girls Primary School- Malik Pur  (Female),30.323548231553264,73.37437236551891,Female,Punjab,0,2,0,927
106,Govt:Girls Primary School- Pakka  Sidhar   (Combined),30.323836066850923,73.27982606898308,Combined,Punjab,1,1,711,554
