StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
42,Govt:Girls Primary School Bilara Hassan ka  (Combined),30.01779772470611,72.9557455572287,Combined,Punjab,1,1,485,389
43,Govt:Boys Primary School Bilara Dilawar  (Male),30.036353944230925,72.99894643006503,Male,Punjab,2,0,1053,0
44,Govt:Boys Primary School Bilara Dilawar  (Female),30.036353944230925,72.998976430065,Female,Punjab,0,2,0,780
45,Govt:Girls Primary School- Bilara Lakhu Ka (Bait Bhattian) (Combined),30.047277034635776,72.95519233507909,Combined,Punjab,2,1,797,678
171,Govt:Boys Primary School- Yaseen kay Dakhly Sanattay key  (Combined),30.05153295256204,73.09118029349837,Combined,Punjab,2,2,840,742
41,Govt:Boys Primary School- Hassu Hassan ka  (Combined),30.05515479708467,72.95122043467143,Combined,Punjab,2,2,771,639
93,Govt:Boys Primary School Balara Arjan Ka (Combined),30.067022879629896,72.99613448147177,Combined,Punjab,1,1,594,581
72,Govt:Boys Primary School 38/KB (Combined),30.068922766694648,72.92002134502586,Combined,Punjab,2,1,656,592
70,Govt:Boys High School- 34/KB        (Male),30.075497397666684,72.92923565107348,Male,Punjab,2,0,950,0
71,Govt:Boys High School- 34/KB (Female),30.075497397666684,72.9292656510735,Female,Punjab,0,2,0,847
54,Govt:Boys Primary School Kooria  (Combined),30.0906611474266,73.00414228600731,Combined,Punjab,2,2,868,684
38,Govt:Boys High School- Jaman Shah East  (Male),30.09302678649427,72.97895461112252,Male,Punjab,2,0,980,0
39,Govt:Boys High School- Jaman Shah East  (Female),30.09302678649427,72.9789846111225,Female,Punjab,0,2,0,809
40,Govt:Boys High School- Jaman Shah West  (Combined),30.093059694809938,72.97893028687851,Combined,Punjab,2,1,845,664
51,Basic Health Unit- Arazi Dilawar (East) (Male),30.094577675333483,72.95320078089253,Male,Punjab,2,0,1091,0
52,Basic Health Unit- Arazi Dilawar (East) (Female),30.094577675333483,72.9532307808925,Female,Punjab,0,2,0,990
53,Basic Health Unit Arazi Dilawar (West)  (Combined),30.0946070296303,72.95319277048107,Combined,Punjab,2,1,687,586
88,Govt: Girls Primary School- Shah Murad (Chotey (Combined),30.100785386880908,73.02064881874658,Combined,Punjab,1,1,478,414
91,Govt:Boys Primary School 25/KB          (Male),30.101006277378232,73.03002824086907,Male,Punjab,2,0,998,0
92,Govt:Boys Primary School 25/KB  (Female),30.101006277378232,73.0300582408691,Female,Punjab,0,1,0,697
132,Govt:Boys Primary School- Madhu Fazal Din  East (Combined),30.10189403600742,73.05210625046634,Combined,Punjab,1,1,539,311
133,Govt:Boys Primary School- Madhu Fazal Din  West (Combined),30.10190168210743,73.05214393394499,Combined,Punjab,1,1,385,263
170,Govt:Boys Primary School- Sabu key Dakhli Sanattey key   (Combined),30.103058366727463,73.09458524433823,Combined,Punjab,1,1,138,107
69,Govt:Boys Primary School 31/KB (Combined),30.106542360862345,72.94664887480586,Combined,Punjab,2,2,882,724
79,Govt:Girls Primary School- 137/EB (Combined),30.11054790844036,72.91236566821765,Combined,Punjab,1,1,648,556
163,Govt:Boys Primary School- Sohawa Mall (Male),30.113294628669898,73.1105691986827,Male,Punjab,2,0,1378,0
164,Govt: Girls Modle Primary School- Sohawa Mall  (Female),30.114088099864308,73.10719178242071,Female,Punjab,0,2,0,1141
134,Govt:Boys High School-Tibbi  Lal Baig East  (Male),30.11570012262043,73.08135351887194,Male,Punjab,3,0,1524,0
135,Govt:Boys High School-Tibbi  Lal Baig West   (Female),30.115701901616063,73.08135880616946,Female,Punjab,0,2,0,1105
89,Govt:Boys Primary School 26/KB (Combined),30.118166265881907,73.02981445353913,Combined,Punjab,2,1,837,670
169,Govt:Girls Primary School- Luqman Mehro ka   (Combined),30.11900532304623,73.128302762113,Combined,Punjab,1,1,554,438
77,Govt:Boys Primary School 135/EB           (Male),30.12061736501058,72.92376278797543,Male,Punjab,2,0,953,0
78,Govt:Boys Primary School 135/EB  (Female),30.12061736501058,72.9237927879754,Female,Punjab,0,1,0,770
75,Govt:Boys Primary School 133/EB           (Male),30.123016689042466,72.95381783252007,Male,Punjab,2,0,1101,0
76,Govt:Boys Primary School 133/EB (Female),30.123016689042466,72.9538478325201,Female,Punjab,0,2,0,883
168,Govt:Boys Primary School- Luqman Mehro ka   (Combined),30.123209028216124,73.13150394159047,Combined,Punjab,1,1,716,482
147,Govt:Boys Primary School- Kund Shams Din (Male),30.124503340895213,73.18195408780657,Male,Punjab,2,0,1174,0
148,(220)Govt:Boys Primary School- Kund Shams Din (Female),30.124503340895213,73.1819840878066,Female,Punjab,0,2,0,872
90,Govt:Boys Primary School 28/KB (Combined),30.125804047267298,73.0210133454061,Combined,Punjab,2,1,713,577
86,Govt:Boys Middle School- 29/KB     (Male),30.126633015759683,73.00268053965429,Male,Punjab,3,0,1231,0
87,Govt:Boys Middle School- 29/KB  (Female),30.126633015759683,73.0027105396543,Female,Punjab,0,2,0,1013
136,Govt:Boys Primary School- 23/KB         ( Combined),30.129247542078126,73.0659087827025,Combined,Punjab,2,2,439,422
80,Govt:Boys Primary School Islam Nagar (Combined),30.13148161167052,72.97271956918584,Combined,Punjab,2,1,682,650
73,Govt:Boys Primary School 131/EB        (Male),30.13657174039684,72.95485037587176,Male,Punjab,3,0,1085,0
74,Govt:Boys Primary School 131/EB (Female),30.13657174039684,72.9548803758718,Female,Punjab,0,2,0,978
138,Govt:Girls Primary School- 27/KB           (Male),30.138557380685416,73.0464840864796,Male,Punjab,2,0,1220,0
139,Govt:Girls Primary School- 27/KB (Female),30.138557380685416,73.0465140864796,Female,Punjab,0,2,0,944
162,Govt:Girls Primary School- Machhi Singh  (Female),30.13905195092239,73.0935520881777,Female,Punjab,0,2,0,660
83,Govt:Girls Primary School- 129/EB    (Male),30.139306313033316,72.93656487797712,Male,Punjab,2,0,891,0
84,Govt:Girls Primary School- 129/EB  (Female),30.139306313033316,72.9365948779771,Female,Punjab,0,2,0,820
160,Govt:Boys Primary School- Machhi Singh  (Combined),30.14067652237162,73.09092926379026,Combined,Punjab,2,2,1188,857
161,Govt:Boys Primary School- Machhi Singh  (Male),30.14067652237162,73.0909592637903,Male,Punjab,2,0,888,0
167,Govt:Boys Middle School- Hama Mehro Ka   (Combined),30.142539735425103,73.13409549017882,Combined,Punjab,1,1,559,477
81,Govt:Boys Higher Secondary School 127/EB  (Male),30.144573442318823,72.93091391775617,Male,Punjab,2,0,847,0
82,Govt:Boys Higher Secondary School 127/EB (Female),30.144573442318823,72.9309439177562,Female,Punjab,0,2,0,759
129,Govt:Girls Primary School- 22/KB  (Combined),30.147952064589422,73.11352307739692,Combined,Punjab,1,1,478,381
146,Govt:Boys Primary School- Joyia  (Combined),30.150425609436486,73.14865090139574,Combined,Punjab,1,1,691,530
105,Govt:Boys Primary School Saad ullah Pur (Combined),30.150935132078708,73.02575285391725,Combined,Punjab,1,1,422,408
66,Govt:Boys Middle School- 123/EB             (Male),30.152301133235877,72.98025179283542,Male,Punjab,2,0,963,0
67,Govt:Boys Middle School- 123/EB (Female),30.152301133235877,72.9802817928354,Female,Punjab,0,2,0,780
144,Govt:Boys High School- Noora Rath (Combined),30.153414578236433,73.16400740951302,Combined,Punjab,2,2,933,752
152,Govt:Boys Primary School- Saalam Rath  (Combined),30.15383957349152,73.18903459860587,Combined,Punjab,1,1,239,237
95,Govt:Girls Middle School- Chak Mehdi Khan  (Female),30.15815468832847,73.0362250876361,Female,Punjab,0,2,0,920
97,Govt:Girls Middle School- Chak Mehdi Khan  (Female),30.15815468832847,73.0362550876361,Female,Punjab,0,2,0,806
62,Govt:Boys Primary School 117/EB  (Combined),30.158257098433833,72.93316527077485,Combined,Punjab,2,2,714,636
