StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
22,Boys primary School   158/9 -L (Combined),30.420594600926457,72.89972047100565,Combined,Punjab,1,1,554,308
20,Boys primary School   155/9 -L (Combined),30.428136994240216,73.00489591470173,Combined,Punjab,2,2,951,702
21,Boys primary School   157/9  -L (Combined),30.437023251896722,72.92707209771086,Combined,Punjab,2,1,896,585
70,Girls Primary School-  177/9L(Combined),30.44770119187426,72.80650184641004,Combined,Punjab,1,1,620,500
112,Girls Middle School- 172/9-L  (Combined),30.45137746897146,72.78297653161187,Combined,Punjab,1,1,527,397
111,Boys Primary School- 172/9-L (Combined),30.451385308575038,72.78294977654383,Combined,Punjab,2,1,808,576
115,Boys Primary School- 173/9-L   (Combined),30.471065652193563,72.78938734658297,Combined,Punjab,2,1,721,557
114,Girls Primary School- 163-A/9-L (Combined),30.471098487945753,72.78944370309036,Combined,Punjab,2,1,736,571
52,Boys High School- 8/11-L    (Combined),30.4732112,72.792542,Combined,Punjab,2,1,656,591
53,Boys High School- 8/11-L I (Combined),30.4732112,72.792572,Combined,Punjab,1,1,689,534
54,Govt. Girls Higher Secondary School- 8/11-L  (Combined),30.4732112,72.792602,Combined,Punjab,2,1,739,600
55,Boys Primary School- 181/9-L    (Combined),30.4732112,72.792632,Combined,Punjab,2,2,953,792
56,Boys Middle School- 182/9-L  (Combined),30.4732112,72.792662,Combined,Punjab,1,1,590,419
91,Govt. Girls Primary School- 19/11-L  (Combined),30.4732112,72.792692,Combined,Punjab,1,1,435,320
77,Boys Primary School-  178/9-L-   (Male),30.4732112,72.792722,Male,Punjab,4,0,1646,0
78,Girls High School- 178/9-L-  (Female),30.4732112,72.792752,Female,Punjab,0,3,0,1369
95,Goct. Primary School- 175/9-L Chota(Combined),30.4732112,72.792782,Combined,Punjab,1,1,618,520
79,Govt. Primary School- 147/9L(Combined),30.4732112,72.792812,Combined,Punjab,1,1,377,274
96,Girls Primary School-  174-175/9-L (Combined),30.4732112,72.792842,Combined,Punjab,2,2,879,736
25,Girls Primary School- Ahmed Baghela (Combined),30.4732112,72.792872,Combined,Punjab,2,2,986,681
26,Boys Primary School- Tibi Qasim  (Combined),30.4732112,72.792902,Combined,Punjab,2,1,658,499
27,Boys Primary School- Bonga Bahawal(Arazi Dad Sarang (Combined),30.4732112,72.792932,Combined,Punjab,1,1,523,378
129,Girls Middle School- 38/12-L (Combined),30.4732112,72.792962,Combined,Punjab,1,1,623,500
113,Girls Middle School- 172/9-L  (Combined),30.474737033769575,72.79359150676603,Combined,Punjab,1,1,461,334
9,Boys High School   142/9 -L     (Male),30.476274854992763,72.93423174052423,Male,Punjab,3,0,1320,0
10,Boys High School   142/9 -L     (Female),30.47676819375103,72.93044035032415,Female,Punjab,0,2,0,974
108,Boys Middle School- 164-A/9-L   (Combined),30.480596944596705,72.75094677605114,Combined,Punjab,2,1,747,579
84,Boys Middle School- 12/11-L   (Male),30.4832672,72.7181558,Male,Punjab,2,0,832,0
85,Boys Middle School- 12/11-L   (Male),30.4832672,72.7181858,Male,Punjab,2,0,895,0
92,Girsl High School- 174/9-L Fogianwala   (Combined),30.4832672,72.7182158,Combined,Punjab,2,2,868,782
93,Girls High School-  174/9-L(Fogianwala   (Combined),30.4832672,72.7182458,Combined,Punjab,1,1,512,440
94,Girls High School-  174/9-L(Fogianwala   (Combined),30.4832672,72.7182758,Combined,Punjab,1,1,426,371
97,Girls Primary School-  175/9-L(East  (Combined),30.4832672,72.7183058,Combined,Punjab,1,1,574,508
98,Girls Primary School-  175/9-L(West  (Combined),30.4832672,72.7183358,Combined,Punjab,1,1,576,440
83,Girls Elementary School-  160/9-L   (Combined),30.4832672,72.7183658,Combined,Punjab,2,2,741,661
99,Boys Primary School- 162/9-LFojiyanwala (Combined),30.4832672,72.7183958,Combined,Punjab,2,1,739,541
100,Boys Primary School- 162/9-LChakki (Combined),30.4832672,72.7184258,Combined,Punjab,2,2,898,701
101,Boys High School- 163/9-L     (Combined),30.4832672,72.7184558,Combined,Punjab,1,1,450,307
102,Boys High School- 163/9-L   (Combined),30.4832672,72.7184858,Combined,Punjab,2,1,769,596
103,Boys Priamary School- 161/9-L  (Combined),30.4832672,72.7185158,Combined,Punjab,2,1,731,521
109,Boys Middle School- 164-A/9-L   (Combined),30.483321059992576,72.74777333678047,Combined,Punjab,1,1,651,474
5,Boys Mission High School 148/9 -L  (Combined),30.495644577905484,72.93528382045145,Combined,Punjab,1,1,542,466
6,Boys Mission High School 148/9 -L  (Combined),30.495661818824804,72.9353153779251,Combined,Punjab,2,2,810,629
7,Boys Midel School   150/9 -L      (Combined),30.497170355944696,72.91840986040278,Combined,Punjab,2,1,779,592
