StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
143,Govt. Girls  Primary School-71/12-L  (Combined),30.187220380181422,72.47301932133071,Combined,Punjab,2,1,734,568
139,Girls Primary School-  73/12-L    (Combined),30.200742557715504,72.42372271300593,Combined,Punjab,2,1,619,516
144,Govt Girls  Primary School-72/12-L  (Combined),30.206532768510794,72.47392953916074,Combined,Punjab,1,1,411,292
140,Govt. Girls Elementary School-  74/12-L Combined (Combined),30.21107040272427,72.4527411448018,Combined,Punjab,2,1,759,585
148,Govt High School- 69-A/12-L   (Female),30.218514506536707,72.5015595024857,Female,Punjab,0,2,0,757
149,Govt High School- 69-A/12-L   (Male),30.218514506536707,72.5015895024857,Male,Punjab,2,0,1076,0
141,Boys High School-75/12-L   (Combined),30.224273642558252,72.44379791243368,Combined,Punjab,1,1,617,470
146,Govt Girls Middle School- 69/12-L  (Male),30.22445147455172,72.49721910974414,Male,Punjab,2,0,919,0
147,Govt Girls Middle School- 69/12-L  (Female),30.22445147455172,72.4972491097441,Female,Punjab,0,2,0,718
136,Boys Primary School-  80/12-L    (Combined),30.23414747772847,72.47015660446066,Combined,Punjab,2,1,700,531
137,Boys Primary School-  80/12-L    (Combined),30.23414747772847,72.4701866044607,Combined,Punjab,1,1,336,226
133,Boys Primary School-  76/12-L  (Combined),30.237602585343794,72.40166868591838,Combined,Punjab,1,1,608,444
160,Boys Primary School-  79/12-L   (Combined),30.252368734304017,72.46604535468563,Combined,Punjab,2,1,808,603
134,Girls Middle School- 77/12-L (Combined),30.254330545922553,72.43408069736566,Combined,Punjab,1,1,416,332
135,Girls Middle School- 77/12-L (Combined),30.254330545922553,72.4341106973657,Combined,Punjab,1,1,541,432
150,Girls Middle  School- 81/12-L   (Combined),30.25659483305949,72.50039631558049,Combined,Punjab,2,1,717,593
158,Boys Primary School- 37/14-L     (Combined),30.261292430046602,72.42138317477875,Combined,Punjab,1,1,562,490
159,Boys Primary School-  78/12-L  (Combined),30.26223831217913,72.46532159136387,Combined,Punjab,1,1,595,522
132,Boys Primary School-  67/12-L  (Combined),30.269519183438153,72.5360537923223,Combined,Punjab,2,2,974,704
131,Boys High School- 66/12-L (Combined),30.270109989813953,72.5559104614865,Combined,Punjab,2,2,884,585
130,Boys High School- 66/12-L (Combined),30.27011084309832,72.5558852425282,Combined,Punjab,2,2,894,548
161,Boys High School- 82/12-L  (Combined),30.27898622386782,72.46021607546966,Combined,Punjab,2,1,858,699
156,Boys Primary School-  36/14-L  (Combined),30.279982016245217,72.40860180881211,Combined,Punjab,1,1,555,380
157,Boys Primary School-  36/14-L     (Combined),30.279982016245217,72.4086318088121,Combined,Punjab,1,1,542,386
155,Girls Primary School-  34/14-L   (Female),30.281994420731106,72.44417243947571,Female,Punjab,0,2,0,1176
152,Girls Primary School-  83/12-L    (Combined),30.282217998718874,72.50258390479662,Combined,Punjab,1,1,664,522
154,Boys Primary School-  34/14-L   (Male),30.28320047321123,72.44419303195795,Male,Punjab,3,0,1401,0
151,Girls Primary School-  33/14-L   Combined (Combined),30.289236506665418,72.47274970732967,Combined,Punjab,2,1,792,645
153,Boys Primary School-  84/12-L    (Combined),30.291839532239972,72.51330968283216,Combined,Punjab,2,1,727,610
162,Boys Middle School- 65/12-L    (Combined),30.2924945835461,72.54274036026106,Combined,Punjab,1,1,627,521
163,Boys Middle School- 65/12-L    (Combined),30.2924945835461,72.5427703602611,Combined,Punjab,1,1,407,293
50,Boys Middle School-  63-64/12-L  (Combined),30.306023750718058,72.5839550849393,Combined,Punjab,1,1,562,478
51,Boys Middle School-  63-64/12-L  (Combined),30.306023750718058,72.5839850849393,Combined,Punjab,1,1,556,473
114,Boys High School- 32/14-L (Male),30.309912887589295,72.40620165111116,Male,Punjab,2,0,1058,0
115,Boys High School- 32/14-L (Female),30.309912887589295,72.4062316511112,Female,Punjab,0,2,0,751
113,Basic Health Unit- 35/14-L  (Combined),30.311689403648806,72.41223767465992,Combined,Punjab,1,1,389,256
112,Basic Health Unit- 35/14-L  (Combined),30.31175540219002,72.41223805639916,Combined,Punjab,1,1,491,409
164,Girls Middle School- 85/12-L    (Combined),30.314167860047142,72.54651200873093,Combined,Punjab,2,1,820,682
110,Boys High School- 31/14-L (Female),30.31616079277906,72.45714889423182,Female,Punjab,0,2,0,889
111,Boys High School- 31/14-L (Male),30.31616424247844,72.45715202606291,Male,Punjab,2,0,1265,0
165,Girls Primary School-  91/12-L    (Combined),30.319198545209257,72.52063389879365,Combined,Punjab,1,1,545,439
166,Girls Primary School-  91/12-L    (Combined),30.319198545209257,72.5206638987936,Combined,Punjab,1,1,544,445
108,Girls Primary School-  30/14-L  (Combined),30.32507766519442,72.46947880399358,Combined,Punjab,1,1,545,431
109,Girls Primary School-  30/14-L    (Combined),30.32507766519442,72.4695088039936,Combined,Punjab,1,1,559,433
167,Girls High School- 92/12-L  (Combined),30.328083297527627,72.50490490040599,Combined,Punjab,1,1,584,418
168,Girls High School- 92/12-L   (Combined),30.328083297527627,72.504934900406,Combined,Punjab,1,1,414,324
107,Boys Primary School-  29/14-L    (Combined),30.332746556854858,72.488952913019,Combined,Punjab,1,1,380,321
106,Boys Primary School-  29/14-L    (Combined),30.332746556854858,72.488982913019,Combined,Punjab,1,1,540,413
145,Boys Primary School-  68/12-L    (Combined),30.333572631820164,72.61287637630737,Combined,Punjab,2,1,622,521
61,Girls Primary School- 90/12-L P-I   (Combined),30.334293683387415,72.54190798409549,Combined,Punjab,2,1,743,517
62,Girls Primary School-  90/12-L     (Combined),30.334293683387415,72.5419379840955,Combined,Punjab,2,1,777,532
