StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
2,Govt Boys High  School Sarai Sidhu,30.3076898,71.9346518,Male,Punjab,4,0,1138,0
27,Govt Boys High School  Piple Mirali,30.3076898,71.9346818,Combined,Punjab,2,2,725,527
28,Govt Boys Primary School  Kuksan Abad,30.3076898,71.9347118,Male,Punjab,3,0,973,0
29,Govt Boys Primary School  Kuksan Abad,30.3076898,71.9347418,Female,Punjab,0,2,0,680
31,Govt Girls Model Middle School Grahim Wala at Heveli Mubarak Shah (Ist Portion),30.3076898,71.9347718,Male,Punjab,3,0,1251,0
32,Govt Girls Model Middle School Grahim Wala at Heveli Mubarak Shah (2nd Portion),30.3076898,71.9348018,Female,Punjab,0,2,0,913
33,Govt Girls Primary School Saee Mirali,30.3076898,71.9348318,Combined,Punjab,2,2,695,509
5,Govt Girls Primary School Sarai Sidhu,30.3076898,71.9348618,Male,Punjab,4,0,1194,0
6,Govt Girls Primary School Sarai Sidhu,30.3076898,71.9348918,Male,Punjab,4,0,1438,0
34,Govt Boys Middle School  Bregh Sargana,30.3076898,71.9349218,Combined,Punjab,2,2,881,606
35,Govt Boys Pry School  Manzar Aabad Bagar Sargana,30.3076898,71.9349518,Combined,Punjab,2,2,717,614
36,Govt Girls Middle School  Manzar Abad,30.3076898,71.9349818,Male,Punjab,4,0,1248,0
37,Govt Girls Middle School  Manzar Abad (2nd  Portion),30.3076898,71.9350118,Female,Punjab,0,2,0,900
38,Govt Girls Primary School Qaim Sahu,30.3076898,71.9350418,Combined,Punjab,2,2,810,639
39,Govt Boys Middle School  Kot Gohar Muhammad,30.3076898,71.9350718,Male,Punjab,4,0,1518,0
40,Govt.Girls Middle School-Kot Ghoar Muhammad,30.3076898,71.9351018,Female,Punjab,0,3,0,1182
7,Govt Girls High  School Sarai Sidhu,30.3076898,71.9351318,Female,Punjab,0,3,0,1115
8,Govt Girls High  School Sarai Sidhu,30.3076898,71.9351618,Female,Punjab,0,3,0,992
44,Govt.Boys Pry School .Nand Pur (1st Portion),30.3076898,71.9351918,Male,Punjab,3,0,1107,0
45,Govt.Boys Pry School .Nand Pur (1st Portion),30.3076898,71.9352218,Combined,Punjab,2,1,610,475
46,Govt.Boys Pry.School Nand Pur (2nd Portion),30.3076898,71.9352518,Female,Punjab,0,2,0,794
47,Govt.Girls Primary School Arjani Wala.,30.3076898,71.9352818,Combined,Punjab,1,1,400,349
48,Govt.Girls Primary School Arjani Wala.,30.3076898,71.9353118,Combined,Punjab,2,1,579,489
9,Rural Health Center Sarai Sidhu,30.3076898,71.9353418,Male,Punjab,3,0,1020,0
10,Office of the Town Committee Sarai Sidhu,30.3076898,71.9353718,Female,Punjab,0,2,0,879
77,Govt.Boys High School Baqir Pur (1st Port) .,30.3076898,71.9354018,Male,Punjab,1,0,473,0
