StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
44,Govt .Girls Middle School- Chak No.19/ V (Combined),30.3077998,71.9369186,Combined,Punjab,2,2,852,715
49,Govt High  School-  11-A / 8R (Combined),30.3077998,71.9369486,Combined,Punjab,2,1,636,457
50,Govt High  School-  11-A / 8R (Combined),30.3077998,71.9369786,Combined,Punjab,2,2,700,587
51,Govt Model  Middle School-  11-B / 8R (Combined),30.3077998,71.9370086,Combined,Punjab,2,2,989,794
52,Govt .Boys Model Primary School- 8-A / 8R  (Combined),30.3077998,71.9370386,Combined,Punjab,2,1,520,385
53,Govt Model School 8-B/8-R  (Combined),30.3077998,71.9370686,Combined,Punjab,2,1,534,368
57,Govt High School 14/8-R (Combined) West,30.3077998,71.9370986,Combined,Punjab,1,1,481,388
58,Govt High School 14/8-R (Combined),30.3077998,71.9371286,Combined,Punjab,2,2,708,598
55,Govt Model Primary School-14/8-R(East) (Combined) Girls Portion,30.3077998,71.9371586,Combined,Punjab,2,2,715,506
56,Govt Model Primary School-14/8-R(East) (Combined) Boys Portion,30.3077998,71.9371886,Combined,Punjab,1,1,462,381
60,Govt Model  Middle School-13/8-R (Male) Boys Portion,30.3077998,71.9372186,Male,Punjab,3,0,1362,0
61,Govt Model  Middle School-13/8-R (Girls Portion),30.3077998,71.9372486,Female,Punjab,0,2,0,719
62,Govt Model  Middle School-13/8-R (Girls Portion) (Female),30.3077998,71.9372786,Female,Punjab,0,1,0,392
63,Govt Primary School 12/8-R (Combined),30.3077998,71.9373086,Combined,Punjab,1,1,385,314
65,Govt Elementry School- 5/9-R (Male),30.3077998,71.9373386,Male,Punjab,4,0,1604,0
66,Govt Girls  Elementry School-   5/9-R (Female),30.3077998,71.9373686,Female,Punjab,0,4,0,1420
67,Govt High School- 7/9-R (Male),30.3077998,71.9373986,Male,Punjab,3,0,1002,0
68,Govt High School-7/9-R (Male),30.3077998,71.9374286,Male,Punjab,1,0,342,0
69,Govt High School-7/9-R (Combined),30.3077998,71.9374586,Combined,Punjab,2,2,923,806
70,Govt Girls High  School-7/9-R (Female),30.3077998,71.9374886,Female,Punjab,0,3,0,1099
75,Govt .Girls Middle School 14/9-R(Middle Port) (Male),30.3077998,71.9375186,Male,Punjab,4,0,1737,0
