StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
134,Govt .Girls High School- 92/10-R,30.23635754,71.95360821,Combined,Punjab,2,2,753,555
135,Govt .Boys Pry School- 92/10-R,30.23774945,71.95840816,Male,Punjab,2,0,1063,0
136,Govt .Boys Pry School- 92/10-R,30.23774945,71.95843816,Female,Punjab,0,2,0,836
133,Govt .Girls Middle School- 93/10-R,30.2428903,71.92658368,Female,Punjab,0,3,0,991
132,Govt .Boys High School- 93/10-R,30.24414706,71.92727659,Male,Punjab,3,0,1366,0
130,Govt .Girls Model Middle School- 167/10-R,30.25086829,71.91421846,Male,Punjab,4,0,1755,0
131,Govt .Girls Pry School- 167/10-R,30.25086829,71.91424846,Female,Punjab,0,4,0,1309
106,Govt .Girls Community Model  School- 168/10-R (Part-I),30.26943,71.9025,Combined,Punjab,2,2,879,652
107,Govt .Girls Community Model  School- 168/10-R (Part-II),30.26943,71.90253,Female,Punjab,0,2,0,856
108,Govt .Girls Community Model  School- 168/10-R (Part-II),30.26943,71.90256,Male,Punjab,3,0,1136,0
153,Govt .Model Middle  School 20/ V,30.27063354,71.82618249,Combined,Punjab,2,1,647,479
87,Govt .Boys Middle School- Kamboh Nagar(IInd Port)Khanewal,30.27231,71.91105,Female,Punjab,0,2,0,729
103,Govt Elemantary School- 168/10-R,30.27556399,71.920887,Combined,Punjab,2,2,600,501
104,Govt Elemantary School- 168/10-R,30.27556399,71.920917,Male,Punjab,4,0,1592,0
105,Govt Elemantary School- 168/10-R,30.27556399,71.920947,Female,Punjab,0,4,0,1276
111,Govt .Girls Elemantary  Model School 90/10-R,30.27559241,71.95249711,Combined,Punjab,2,2,863,724
113,Govt .Girls English Medium School  90/10-R,30.27559241,71.95252711,Male,Punjab,2,0,1023,0
114,Govt .Girls Pry School 90/10-R,30.27559241,71.95255711,Female,Punjab,0,2,0,814
109,Govt .Girls High School- 168/10-R (Part-I),30.2783996,71.91798381,Combined,Punjab,2,2,856,668
110,Govt .Girls High School- 168/10-R (Part-II),30.27845244,71.9179754,Combined,Punjab,1,1,427,313
147,Govt .Boys High School- Nanik Pur (High Portion),30.27971954,71.87273616,Combined,Punjab,1,1,519,428
148,Govt .Boys High School- Nanik Pur (2nd Portion),30.27971954,71.87276616,Male,Punjab,2,0,748,0
149,Govt .Boys High School- Nanik Pur (3rd Portion),30.27971954,71.87279616,Female,Punjab,0,2,0,598
127,Govt .Girls Pry School 86-75/10-R,30.2808642,71.98076398,Female,Punjab,0,3,0,1183
126,Govt .Boys Pry School 86-75/10-R,30.28143102,71.98080052,Male,Punjab,3,0,1427,0
12,Govt. Boys Primary School Pari Wala No-1 (Basti Aziz Abad),30.2817487,71.8390006,Combined,Punjab,1,1,518,398
143,Govt. Boys Pry School Chah Balay Wala-Nanik Pur,30.28175,71.8389979,Male,Punjab,3,0,1049,0
