StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
145,Govt Boys Middle School   54 /15-L,30.21864301,72.35034927,Combined,Punjab,1,1,658,485
93,Govt Boys Primary School  52 /15-L,30.22148,72.3557239,Combined,Punjab,1,1,532,382
94,Govt boys Middle School 51 /15-L,30.22148,72.3557539,Combined,Punjab,2,1,825,575
95,Govt Girls Primary School 51 /15-L,30.22148,72.3557839,Combined,Punjab,2,1,772,589
143,Govt Boys Primary School  53 /15-L,30.22148,72.3558139,Combined,Punjab,2,1,461,329
147,Govt Boys Primary School 56/15-L  Jandiali banglow,30.22148,72.3558439,Combined,Punjab,1,1,667,475
148,Govt Boys Primary School  56 /15-L Dabannala,30.22148,72.3558739,Combined,Punjab,2,1,884,632
149,Govt Boys Primary School 57 /15-L,30.22148,72.3559039,Combined,Punjab,1,1,787,580
150,Govt Boys Primary School 57 /15-L,30.22148,72.3559339,Combined,Punjab,1,1,490,350
144,Govt Girls Primary School  53 /15-L,30.23637,72.36772,Combined,Punjab,2,1,723,471
146,Govt.Boys High School 55/15-L,30.23889639,72.36035709,Combined,Punjab,1,1,602,479
103,Govt Girls Middle School 100 /15-L Arain Wala,30.2413751,72.3271671,Combined,Punjab,2,2,892,730
104,Govt Girls Middle School 100 /15-L Arain Wala,30.2413751,72.3271971,Combined,Punjab,1,1,317,226
105,Govt Girls Primary School 100 /15-L (sabqa),30.2413751,72.3272271,Combined,Punjab,2,2,1027,797
116,Govt Boys High School 98 /15-L,30.2413751,72.3272571,Male,Punjab,4,0,1674,0
117,Govt Girls High School  98 /15-L ( ),30.2413751,72.3272871,Female,Punjab,0,3,0,1385
151,Govt Boys Primary School 58 /15-L(South Port),30.2413751,72.3273171,Combined,Punjab,1,1,431,380
152,Govt Boys Primary School 58 /15-L(South Port),30.2413751,72.3273471,Combined,Punjab,1,1,588,499
153,Govt Boys High School 59/15-L,30.2413751,72.3273771,Combined,Punjab,1,1,713,512
154,Govt Boys High School 59/15-L,30.2413751,72.3274071,Combined,Punjab,1,1,564,444
164,Govt Boys Middle School 92 /15-L,30.2413751,72.3274371,Combined,Punjab,1,1,489,317
165,Govt Boys Middle School 92 /15-L,30.2413751,72.3274671,Combined,Punjab,1,1,443,305
166,Govt:B.H.U. 92 /15-L,30.2413751,72.3274971,Combined,Punjab,2,2,898,610
167,Govt:B.H.U. 92 /15-L,30.2413751,72.3275271,Combined,Punjab,1,1,354,293
168,Govt Boys Primary School  91 /15-L,30.2413751,72.3275571,Combined,Punjab,2,2,935,736
169,Govt Boys Primary School 96 A /15-L,30.2413751,72.3275871,Combined,Punjab,1,1,243,186
91,Govt. Girls Middle School 93/15-L,30.28783,72.34058,Combined,Punjab,1,1,460,364
92,Govt. Girls Middle School 93/15-L,30.28783,72.34061,Combined,Punjab,2,1,884,638
162,Govt Boys High School 96 /15-L,30.2957096,72.3405759,Combined,Punjab,2,1,726,547
170,Govt Girls Primary School 96 A /15-L,30.2995,72.31503,Combined,Punjab,2,1,673,564
58,Govt.Boys Middle School 47/15-L Jarolya Wala.,30.3008947,72.3908602,Combined,Punjab,1,1,533,458
59,Govt.Boys Middle School 47/15-L Jarolay Wala.,30.3008947,72.3908902,Combined,Punjab,1,1,546,477
60,Govt. Girls Middle School 47/15-L Fojian Wala.,30.3008947,72.3909202,Combined,Punjab,1,1,433,310
63,Govt Boys Middle School  46 /15-L,30.3008947,72.3909502,Combined,Punjab,2,2,987,727
64,Govt Girls Middle School  46 /15-L,30.3008947,72.3909802,Combined,Punjab,2,1,655,507
65,Govt Girls  Primary School  126 /15-L  No-3 Community,30.3008947,72.3910102,Combined,Punjab,2,1,604,443
66,Govt Girls Primary School 126 /15-L(chobraywali) No4,30.3008947,72.3910402,Combined,Punjab,2,2,929,787
67,Govt Girls Primary School 126/15-L(Pull Wali),30.3008947,72.3910702,Combined,Punjab,1,1,577,495
68,Govt Boys Primary School 126/15-L(Pull Wali),30.3008947,72.3911002,Combined,Punjab,1,1,576,469
71,Govt Boys Primary School  121 /15-L,30.3008947,72.3911302,Combined,Punjab,1,1,511,440
73,Govt Boys Primary School  121 /15-L,30.3008947,72.3911602,Combined,Punjab,2,2,730,656
74,Govt Boys Middle School Chak No120 /15-L,30.3008947,72.3911902,Combined,Punjab,2,2,888,766
72,Govt Girls Primary School  120 /15-L,30.3008947,72.3912202,Combined,Punjab,1,1,696,556
75,Govt Boys High School 119 /15-L,30.3008947,72.3912502,Combined,Punjab,1,1,498,415
76,Govt Boys High School 119 /15-L,30.3008947,72.3912802,Male,Punjab,3,0,1273,0
77,Govt Girls High School  119 /15-L ( ),30.3008947,72.3913102,Female,Punjab,0,2,0,1036
78,Govt Boys High School 124 /15-L,30.3008947,72.3913402,Combined,Punjab,1,1,530,438
79,Govt Boys High School 124 /15-L,30.3008947,72.3913702,Combined,Punjab,2,2,611,517
80,Govt Boys Primary School  124 /15-L Dullwan wala,30.3008947,72.3914002,Combined,Punjab,2,2,686,607
81,Govt Boys Primary School  48 /15-L,30.3008947,72.3914302,Combined,Punjab,1,1,602,413
82,Govt girls Primary School  48 /15-L,30.3008947,72.3914602,Combined,Punjab,2,2,800,604
83,Govt Boys Primary School  49 /15-L,30.3008947,72.3914902,Combined,Punjab,1,1,602,490
84,Govt Boys Primary School  49 /15-L,30.3008947,72.3915202,Combined,Punjab,1,1,686,535
85,Govt Girls Middle School  50 /15-L,30.3008947,72.3915502,Combined,Punjab,2,1,677,540
86,Govt Girls Middle School  50 /15-L,30.3008947,72.3915802,Combined,Punjab,1,1,453,383
89,Govt Boys Primary School  94 /15-L,30.3008947,72.3916102,Combined,Punjab,1,1,441,342
90,Govt Boys Primary School  94 /15-L,30.3008947,72.3916402,Combined,Punjab,1,1,379,299
