StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
130,Govt Model Primary School  131 /10-R,29.9184,71.63277,Combined,Punjab,1,1,530,420
108,Govt Boys Primary School  Ali Sher wahin,29.9211,71.67875,Combined,Punjab,2,2,942,654
135,Govt Girls High  School  Thata Sadiq Abad   (Part-I),29.96823956,71.65800007,Male,Punjab,4,0,1620,0
136,Govt Girls High  School  Thata Sadiq Abad (Part-II),29.96823956,71.65803007,Female,Punjab,0,3,0,1382
123,Govt Boys Higher Secondry School 135 /10-R  (Middle Portion),29.9713509,71.6592433,Combined,Punjab,2,1,546,475
124,Govt Boys Higher Secondry School 135 /10-R  (High Portion),29.9713509,71.6592733,Combined,Punjab,2,1,576,505
125,Govt Boys Higher Secondry School 135 /10-R  (Higher Portion),29.9713509,71.6593033,Combined,Punjab,1,1,394,291
137,Govt Boys Middle School  Thata Sadiq Abad,29.97304837,71.6560448,Male,Punjab,4,0,1728,0
138,Govt Boys Middle School  Thata Sadiq Abad,29.97306436,71.6560508,Female,Punjab,0,3,0,1043
139,Govt Boys Middle School  Thata Sadiq Abad,29.97306436,71.6560808,Female,Punjab,0,1,0,426
152,Govt Girls Higher Secondary  School  136 /10-R,29.97369602,71.68406028,Combined,Punjab,2,2,769,718
150,Govt Boys High School 136 /10-R,29.97630901,71.67957047,Combined,Punjab,2,1,601,553
151,Govt Boys High School 136 /10-R,29.97630901,71.67960047,Combined,Punjab,2,2,860,704
121,Govt Boys Middle School  135 /10-R,29.9796954,71.6609192,Combined,Punjab,2,2,694,634
122,Govt Boys Middle School  135 /10-R,29.9796954,71.6609492,Combined,Punjab,1,1,421,340
140,Govt Girls Primary School  134 /10-R,29.9796954,71.6609792,Combined,Punjab,1,1,566,430
141,Govt Boys Middle School  133 /10-R,29.9796954,71.6610092,Combined,Punjab,2,1,668,536
142,Govt Boys Middle School  133 /10-R,29.9796954,71.6610392,Combined,Punjab,2,1,652,529
155,Govt Girls Primary School  123 /10-R,29.9939637,71.6887753,Combined,Punjab,1,1,482,381
160,Govt Boys Primary School  119 /10-R,29.996439,71.8146978,Combined,Punjab,1,1,393,389
84,Govt Boys Primary School  116 /10-R Old,29.9974857,71.8146978,Combined,Punjab,2,1,576,504
86,Govt Girls Primary School  Kot Bahara,29.9974857,71.8147278,Combined,Punjab,2,1,607,429
87,Govt Boys High School 140 /10-R,29.9974857,71.8147578,Male,Punjab,4,0,1608,0
88,Govt Boys High School 140 /10-R,29.9974857,71.8147878,Female,Punjab,0,3,0,1320
110,Govt Boys Primary School  120 /10-R,29.9974857,71.8148178,Combined,Punjab,2,1,584,475
111,Govt Girls Primary School  120 /10-R,29.9974857,71.8148478,Combined,Punjab,1,1,343,263
112,Govt Boys Middle School  121 /10-R,29.9974857,71.8148778,Male,Punjab,4,0,1815,0
113,Govt Boys Middle School  121 /10-R,29.9974857,71.8149078,Female,Punjab,0,4,0,1460
153,Govt Boys High School 123 /10-R,29.9974857,71.8149378,Male,Punjab,3,0,1115,0
154,Govt Boys High School 123 /10-R,29.9974857,71.8149678,Female,Punjab,0,2,0,817
156,Govt Girls Middle School  117 /10-R,29.9974857,71.8149978,Combined,Punjab,1,1,556,415
157,Govt Girls Middle School  117 /10-R,29.9974857,71.8150278,Combined,Punjab,2,2,745,601
158,Govt Boys Middle School  118 /10-R,29.9974857,71.8150578,Combined,Punjab,2,1,610,501
159,Govt Boys Middle School  118 /10-R,29.9974857,71.8150878,Combined,Punjab,1,1,452,368
161,Govt Boys Primary School  122 /10-R,29.9974857,71.8151178,Combined,Punjab,2,1,745,553
162,Govt Boys Higher Secondary School 138 /10-R Old,30.01215077,71.72708064,Combined,Punjab,2,2,901,794
62,Govt Boys Primary School  115 /10-R Peer Jahanian,30.01826,71.82175,Combined,Punjab,2,2,843,687
85,Govt Model Primary School  116 /10-R New,30.01888,71.7787,Combined,Punjab,1,1,439,385
44,Govt Boys Primary School  101 /10-R,30.020944,71.9506928,Combined,Punjab,2,1,549,433
116,Govt Boys Primary School  Zoor Kot,30.0231745,71.7502001,Combined,Punjab,2,2,800,603
26,Govt Boys Middle School  53 /10-R,30.0252016,71.9536566,Combined,Punjab,2,2,801,668
61,Govt Boys Primary School  115 /10-R Jahanain Shumali,30.0268,71.85367,Combined,Punjab,2,2,1016,825
18,Govt boys collage new building jahania,30.0293609,71.8058023,Combined,Punjab,1,1,478,436
16,Govt.lalamia high school jahania  (P-I),30.0305336,71.8091381,Male,Punjab,4,0,1462,0
17,Govt.lalamia high school jahania  (P-II),30.0305336,71.8091681,Female,Punjab,0,3,0,1298
55,Govt Girls Middle School  112 /10-R,30.0305336,71.8091981,Combined,Punjab,2,1,568,461
56,Govt Boys Primary School  112 /10-R,30.0305336,71.8092281,Combined,Punjab,2,2,964,827
57,Govt Boys Primary School  112 /10-R,30.0305336,71.8092581,Combined,Punjab,2,2,767,678
90,Govt Girls Primary School  114 /10-R   (P-I),30.0313265,71.7657697,Male,Punjab,4,0,1408,0
91,Govt Girls Primary School  114 /10-R (IInd  Portion),30.0313265,71.7657997,Female,Punjab,0,3,0,1264
12,Govt Girls High  School  Jahnia(Part-1),30.0330044,71.8191454,Male,Punjab,3,0,1215,0
13,Govt Girls High  School  jahania (Part-II),30.0330044,71.8191754,Female,Punjab,0,3,0,1174
59,Govt Model Middle School  109 /10-R,30.03439,71.8227,Male,Punjab,3,0,1039,0
10,Govt Primary School  Block No-4  Jahania,30.0356163,71.815439,Male,Punjab,4,0,1584,0
8,Govt Middle School No-3 Jahania,30.0368414,71.8191454,Female,Punjab,0,2,0,874
9,Govt Middle School No-3 Jahania,30.0368414,71.8191754,Female,Punjab,0,2,0,725
11,Govt Boys High School jahania,30.0368414,71.8192054,Female,Punjab,0,4,0,1462
14,Govt Girls Middle School  gharibabad-jahania,30.0368414,71.8192354,Male,Punjab,4,0,1365,0
15,Govt Girls Middle School  gharibabad-jahania,30.0368414,71.8192654,Female,Punjab,0,3,0,1124
5,Office Market Committee Jahania,30.03906942,71.81287844,Male,Punjab,4,0,1506,0
6,Govt.P/S  New Colony Jahania,30.0405522,71.8158097,Female,Punjab,0,3,0,1296
7,Govt Girls Primary School  111 /10-R,30.0405522,71.8158397,Male,Punjab,4,0,1819,0
1,Govt Girls Primary School  3-Marla Scheme School Near Madina Masjid Jahania,30.0413111,71.823593,Male,Punjab,4,0,1536,0
4,Govt Girls Primary School  3-Marla Scheme School Near Madina Masjid Jahania,30.0413111,71.823623,Female,Punjab,0,2,0,778
2,Govt Girls Primary School  3-Marla Scheme School Near Madina Masjid Jahania,30.0413111,71.823653,Male,Punjab,3,0,969,0
3,Govt Girls Primary School  3-Marla Scheme School Near Madina Masjid Jahania,30.0413111,71.823683,Female,Punjab,0,3,0,1283
50,Govt Boys Primary School  113 /10-R,30.0439046,71.805061,Combined,Punjab,2,2,822,661
47,Govt Girls Middle School  113 /10-R,30.0439046,71.805091,Male,Punjab,3,0,1049,0
48,Govt Girls Middle School  113 /10-R,30.0439046,71.805121,Male,Punjab,3,0,1053,0
49,Govt Girls Middle School  113 /10-R,30.0439046,71.805151,Female,Punjab,0,4,0,1677
89,Govt Boys Primary School  114 /10-R,30.0439046,71.805181,Combined,Punjab,2,2,914,768
117,Govt Boys Primary School  142 /10-R (P-I),30.0446225,71.7416736,Combined,Punjab,2,2,965,796
118,Govt Boys Middle School Bhirki,30.0468787,71.7550193,Combined,Punjab,2,2,925,753
119,Govt Boys Primary School  141 /10-R,30.0468787,71.7550493,Combined,Punjab,2,1,690,556
120,Govt Girls Primary School  141 /10-R,30.0468787,71.7550793,Combined,Punjab,2,2,774,647
144,Govt Girls Primary School  146 /10-R,30.0468787,71.7551093,Combined,Punjab,2,2,747,622
145,Govt Girls Primary School  146 /10-R,30.0468787,71.7551393,Combined,Punjab,1,1,416,313
147,Govt Model Primary School  Basti Aima Mouza Mian Pur,30.0468787,71.7551693,Combined,Punjab,2,2,786,662
103,Govt Boys Primary School  125 /10-R,30.0525061,71.7261028,Combined,Punjab,2,2,682,580
104,Govt Boys Primary School  126 /10-R,30.0525061,71.7261328,Combined,Punjab,2,2,901,673
