StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
109,Government Primary School Samun Rana,30.1316,71.46241,Combined,Punjab,2,2,1143,993
110,Government Boys Primary School- Samun Rana,30.1316,71.46244,Combined,Punjab,2,2,995,908
111,Government Teacher Training College- Rangeel Pur,30.15239,71.45815,Combined,Punjab,2,2,1190,1062
118,Government Elementary teachers TrainingCollege -(QAED) Rangeel Pur,30.15239,71.45818,Male,Punjab,3,0,1588,0
119,Government Elementary teachers TrainingCollege -(QAED) Rangeel Pur,30.15239,71.45821,Male,Punjab,2,0,1293,0
122,Government Elementary .Teachers .Training  College- (QAED)Rangeel Pur,30.15239,71.45824,Male,Punjab,3,0,1741,0
123,Government Elementary .Teachers .Training  College- (QAED)Rangeel Pur,30.15239,71.45827,Male,Punjab,3,0,1602,0
120,Government High School- Rangeel Pur,30.15263,71.45679,Female,Punjab,0,3,0,1387
121,Government High School- Rangeel Pur,30.15263,71.45682,Female,Punjab,0,2,0,1143
115,Government Labortary Model School Rangeel Pur,30.15271,71.45835,Male,Punjab,3,0,1328,0
116,Government Labortary Model School Rangeel Pur,30.15271,71.45838,Female,Punjab,0,2,0,1081
117,Government Labortary Model School Rangeel Pur,30.15271,71.45841,Female,Punjab,0,2,0,1066
112,Government Cotton Research Institute- Zarati Farm,30.15297,71.44476,Male,Punjab,3,0,1629,0
113,Office of the Assistant Director(AGR)- Cotton Research Institute- Zarati Farm,30.15297,71.44479,Female,Punjab,0,3,0,1360
66,Office of the District Officer for Mango Research- Zarati Farm,30.15297,71.44482,Male,Punjab,2,0,1135,0
67,Office of the District Officer for Agriculture (Extension)- Zarati Farm,30.15347,71.44331,Female,Punjab,0,2,0,971
88,Office of the Deputy  Director- Fishries Aimri Colony,30.1574,71.443,Female,Punjab,0,2,0,917
89,Office of the Deputy  Director- Fishries Aimri Colony,30.1574,71.44303,Female,Punjab,0,1,0,610
77,Engineering Block- Aimri Colony,30.1574,71.44484,Female,Punjab,0,2,0,792
86,Office of the Director (Mechanization)- Aimri Colony,30.1574,71.44487,Male,Punjab,2,0,1014,0
87,Office of the Director (Mechanization)- Aimri Colony,30.1574,71.4449,Male,Punjab,2,0,689,0
100,Government Girls Elementary School- Chah Umar Din Wala- Near Vehari Road near 17 Kassi,30.1606,71.52933,Male,Punjab,4,0,2164,0
106,Government Girls Elementary School- Chah Umar Din Wala- Near Vehari Road near 17 Kassi,30.1606,71.52936,Male,Punjab,4,0,1858,0
98,Government Girls Elementary School- Chah Umar Din Wala- Near Vehari Road near 17 Kassi,30.1606,71.52939,Male,Punjab,4,0,1994,0
79,Government Girls Primary School- Taraf Daira,30.16078,71.45853,Female,Punjab,0,3,0,1631
124,Government Girls Primary School- Jungle Jaswant garh- Pir Colony No. 2,30.16085,71.47141,Female,Punjab,0,3,0,1494
125,Government Girls Primary School- Jungle Jaswant garh- Pir Colony No. 2,30.16085,71.47144,Female,Punjab,0,3,0,1449
76,Government Girls Primary School- Basti Khar Pur,30.16186,71.45412,Male,Punjab,2,0,1048,0
78,Government Girls Primary School- Basti Khar Pur,30.16186,71.45415,Male,Punjab,4,0,2072,0
49,Government Boys High/ Elementary School- Central Jail,30.16348,71.47578,Male,Punjab,3,0,1459,0
50,Government Boys High/ Elementary School- Central Jail,30.16348,71.47581,Male,Punjab,3,0,1473,0
55,Government Boys High/ Elementary School- Central Jail,30.16348,71.47584,Male,Punjab,3,0,1564,0
101,Government Boys Primary School- Chah Jattu Wala,30.16357,71.5207,Female,Punjab,0,4,0,1749
107,Government Boys Primary School- Chah Jattu Wala,30.16357,71.52073,Female,Punjab,0,3,0,1457
18,Government MC Primary School- Kotla Muhammad Baqa- Qasim Pur Colony,30.16562,71.49192,Male,Punjab,3,0,1330,0
19,Government MC Primary School- Kotla Muhammad Baqa- Qasim Pur Colony,30.16562,71.49195,Male,Punjab,4,0,1809,0
85,Government Dispensary / City Hospital- Islam Nagar Faizabad,30.16635,71.46828,Female,Punjab,0,3,0,1481
60,Government Gulshan-e-Mukhtar Girls High School- Sultanpura (new latifabad),30.16681,71.45142,Male,Punjab,3,0,1665,0
61,Government Gulshan-e-Mukhtar Girls High School- Sultanpura (new latifabad),30.16681,71.45145,Male,Punjab,3,0,1313,0
62,Government Gulshan-e-Mukhtar Girls High School- Sultanpura (New Lateef Abad),30.16681,71.45148,Female,Punjab,0,2,0,1271
63,Government Gulshan-e-Mukhtar Girls High School- Sultanpura,30.16681,71.45151,Female,Punjab,0,2,0,1003
23,Government M.A Jinnah High School (Primary Portion)- Qasim Pur Colony Road,30.16732,71.49204,Male,Punjab,4,0,2055,0
24,Government M.A Jinnah High School (Primary Portion)- Qasim Pur Colony Road,30.16732,71.49207,Male,Punjab,3,0,1501,0
28,Government M.A Jinnah High School (Primary Portion)- Qasim Pur Colony Road,30.16732,71.4921,Male,Punjab,2,0,1015,0
70,OASIS GROUP OF SCHOOL(BOYS CAMPUS) NEAR KOUSAR OIL MILL SURAJ KUND ROAD,30.16759,71.46684,Male,Punjab,2,0,939,0
72,OASIS GROUP OF SCHOOL(BOYS CAMPUS) NEAR KOUSAR OIL MILL SURAJ KUND ROAD,30.16759,71.46687,Male,Punjab,2,0,1190,0
51,Medical Dispensary- Social Security- New Central Jail,30.16791,71.47412,Female,Punjab,0,4,0,1989
52,Medical Dispensary- Social Security- New Central Jail,30.16791,71.47415,Female,Punjab,0,4,0,2009
20,Government Girls High School- Basti Dogran- Qasimpur Road,30.16832,71.49366,Female,Punjab,0,2,0,1208
