StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
179,Government Boys High School Dandot,32.65721,72.95544,Combined,Punjab,2,2,873,834
181,Government Boys High School Dandot,32.65721,72.95547,Male,Punjab,2,0,1004,0
183,Government Boys High School Dandot,32.65721,72.9555,Combined,Punjab,2,2,910,850
182,Union Council Office Dandot,32.65731,72.95794,Female,Punjab,0,2,0,985
178,Government Girls High School Dandot,32.65741,72.95854,Combined,Punjab,2,2,667,682
180,Government Girls High School Dandot,32.65741,72.95857,Combined,Punjab,2,2,962,911
184,Government Mines Labour welfare Elementary School Pidh,32.6792,72.96956,Male,Punjab,2,0,1185,0
185,Government Mines Labour welfare Elementary School Pidh,32.6792,72.96959,Female,Punjab,0,2,0,1093
217,Government Boys High School Karooli,32.68108,72.77401,Combined,Punjab,2,2,781,774
218,Government Boys High School Karooli,32.68108,72.77404,Combined,Punjab,2,2,866,843
216,Government  Girls Primary School Malote,32.68779,72.80219,Combined,Punjab,1,1,430,392
215,Government Girls Primary School Warrala,32.69085,72.82462,Combined,Punjab,2,1,601,571
177,Government Model Primary School Nali Compus.2,32.69459,73.02692,Combined,Punjab,1,1,569,484
175,Government Girls Elementary Child Friendly School Ratucha,32.69873,72.9912,Combined,Punjab,2,2,844,838
176,Government Boys Elementary School Ratucha,32.70055,72.99292,Combined,Punjab,2,2,588,596
187,Government Girls Higher Secondary School Dalwal (Elementary Portion),32.70269,72.88861,Female,Punjab,0,4,0,1598
186,Government Boys High School Dalwal,32.70498,72.88784,Male,Punjab,4,0,1718,0
192,Government Boys High School Dalwal,32.70498,72.88787,Combined,Punjab,2,2,1090,988
193,Government Boys High School Dalwal,32.70498,72.8879,Combined,Punjab,2,2,930,874
195,Government Girls Community Model Elementary School Badshah Pur,32.71098,72.85962,Female,Punjab,0,2,0,758
194,Government Boys Primary School Badshah Pur,32.71175,72.85878,Male,Punjab,2,0,805,0
214,Government Elementary School Choi Jandran,32.71487,72.79089,Combined,Punjab,1,1,519,484
227,Government College for Women Choa Saidan Shah,32.71675,72.98607,Combined,Punjab,2,2,867,794
226,Government Boys Higher Secondary School Choa Saidan Shah,32.71729,72.98792,Combined,Punjab,1,1,418,393
189,Government Girls Elementary School Wahullah,32.71741,72.90127,Female,Punjab,0,3,0,1259
173,Government Girls Elementary School Minhala,32.71827,73.00722,Male,Punjab,2,0,1103,0
174,Government Girls Elementary School Minhala,32.71827,73.00725,Female,Punjab,0,2,0,983
172,Government Girls Elementary School Watli,32.71832,73.04801,Combined,Punjab,2,2,983,840
225,Government Girls Primary School No. 01  Choa Saidan Shah,32.71849,72.98632,Female,Punjab,0,3,0,1335
188,Government Boys Elementary School Waulah,32.71901,72.90655,Male,Punjab,3,0,1301,0
190,Government Boys Elementary School Wahullah,32.71901,72.90658,Male,Punjab,3,0,1202,0
191,Government Boys Elementary School Wahullah,32.71901,72.90661,Female,Punjab,0,2,0,1157
228,Bright Schoolar Academy Dalwal Road Choa Saidan Shah,32.71928,72.97959,Male,Punjab,2,0,1016,0
229,Bright Schoolar Academy Dalwal Road Choa Saidan Shah,32.71928,72.97962,Female,Punjab,0,2,0,1043
224,Government Elementary School Boys Choa Saidan Shah,32.72112,72.98655,Male,Punjab,3,0,1451,0
167,Government Primary School Ghairibwal Colony (Ismael Wal),32.72263,73.1377,Combined,Punjab,1,1,394,346
230,Government Girls Primary School No. 02  Choa Saidan Shah,32.72811,72.98738,Female,Punjab,0,2,0,881
231,Government Girls Primary School No. 02  Choa Saidan Shah,32.72811,72.98741,Male,Punjab,2,0,916,0
203,Government Girls Elementary School Tatral .,32.72829,72.92541,Female,Punjab,0,4,0,1573
202,Government Boys Primary School Tatral .,32.72862,72.92493,Male,Punjab,4,0,1676,0
197,Government Girls Elementary School Dalel Pur,32.72894,72.84113,Female,Punjab,0,4,0,1669
196,Government Boys High School Dalel Pur,32.73173,72.83548,Male,Punjab,4,0,1736,0
232,Government Girls High School Choa Saidan Shah,32.73225,72.98838,Combined,Punjab,2,2,1005,917
223,Holy Mission Science Higher Secondary School Chakwal Roadd Choa Saidan Shah,32.73255,72.99357,Combined,Punjab,2,2,954,806
168,Government Girls Primary School Sidhandi,32.73347,73.15864,Combined,Punjab,2,2,610,587
211,Government Boys High School Khair Pur,32.7344,72.78966,Male,Punjab,3,0,1132,0
212,Government Boys High School Khair Pur,32.7344,72.78969,Female,Punjab,0,2,0,1113
213,Government Boys High School Khair Pur,32.7344,72.78972,Combined,Punjab,2,2,856,822
206,Fauji Foundation Middle School Arrar,32.73497,72.88132,Combined,Punjab,2,2,624,652
210,Government Girls Elemantry School Maghal,32.73685,72.86309,Female,Punjab,0,4,0,1534
209,Government Boys Primary School Maghal .,32.73701,72.86398,Male,Punjab,4,0,1612,0
198,Government High School Dulmial,32.73764,72.92084,Male,Punjab,3,0,1313,0
199,Government Girls High School Dulmial,32.7388,72.92085,Female,Punjab,0,3,0,1234
201,Government Girls High School Dulmial,32.7388,72.92088,Female,Punjab,0,4,0,1515
200,Government High School Dulmial .(Primary Portion),32.73932,72.92203,Male,Punjab,4,0,1512,0
222,Government Girls Elementary School Khandoa,32.74158,72.73897,Combined,Punjab,2,2,835,871
204,Government Girls High School Dheri Syedan .,32.74609,72.89678,Combined,Punjab,2,1,602,549
