StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
63,Govt. primary School Hazoor Singh Mouza Ghurmakh Singh    (Combined)    *P,29.638953444705,73.20290120063277,Combined,Punjab,2,1,1060,641
64,Govt. primary School Labh Singh       (Combined)    *P,29.65299143572682,73.23254077538098,Combined,Punjab,2,1,841,617
138,Govt. Girls Primary School Roda Singh    (Combined)    *P,29.65740731650649,73.23927396255901,Combined,Punjab,2,1,792,552
141,Govt. Girls Primary School Roda Singh    (Combined)    *P,29.65740731650649,73.239303962559,Combined,Punjab,1,1,501,361
65,Govt. Boys Primary School Ali Muhammad Chishti (Ahata Muhammad Khan)    (Combined)    *P,29.661752663251054,73.16672787765695,Combined,Punjab,2,2,1192,683
66,Office Union Council Khattan    (Combined)    *P,29.673321626160135,73.18015628194732,Combined,Punjab,1,1,467,317
67,Office Union Council Khattan    (Combined)    *P,29.673321626160135,73.1801862819473,Combined,Punjab,2,1,755,532
68,Govt. Girls Middle School Khattan       (Combined)    *P,29.675048817335767,73.18465009720931,Combined,Punjab,2,1,748,515
69,Govt. Boys High School Khattan    (Combined)    *P,29.678082740130254,73.1794777519356,Combined,Punjab,2,1,854,577
54,Govt. Boys Primary School Qazi Wala Gurbachan Singh     (Combined)    *P,29.69776364,73.12679057,Combined,Punjab,2,2,1121,721
139,Govt Boys Primary Scool Chak Aziz Din    (Combined)    *P,29.7006742705628,73.20274938071279,Combined,Punjab,2,1,791,510
140,Govt. Primary School Hari Ram pura    (Combined)    *P,29.702533370017854,73.22451826209615,Combined,Punjab,2,2,766,520
47,Govt. Boys primary School Hakim Ameer-U-Din     (Combined)    *P,29.7034233,73.0823917,Combined,Punjab,2,1,1007,605
56,Govt. Boys High School Khetranwala          (Combined)    *P,29.70595773080669,73.16642251721562,Combined,Punjab,1,1,565,419
57,Govt. Boys High School Khetranwala          (Combined)    *P,29.70595773080669,73.1664525172156,Combined,Punjab,2,1,780,582
58,Govt. Boys Primary School Fazal Hussainwala    (Combined)    *P,29.72949513,73.1625784,Combined,Punjab,1,1,543,411
59,Govt. Boys Primary School Fazal Hussainwala    (Combined)    *P,29.72949513,73.1626084,Combined,Punjab,1,1,608,405
53,Govt. Girls Community Model School Nathoo Dhakka     (Combined)    *P,29.732961033256846,73.12233988526698,Combined,Punjab,2,1,857,591
51,Govt.Boys Middle School Nathoo Dhakka        (Combined)    *P,29.733803803424195,73.12237468792816,Combined,Punjab,1,1,615,407
55,Govt. Boys Primary School Said Sar Akkanwali    (Combined)    *P,29.74219092,73.12497644,Combined,Punjab,2,2,1198,740
52,Govt. Boys Primary School Ramzan Shah        (Combined)    *P,29.74734916326718,73.09797307766327,Combined,Punjab,2,1,729,571
45,Govt. Boys Primary School Naseera Jhodheka    (Combined)    *P,29.75087874645894,73.0705972586908,Combined,Punjab,2,1,810,435
46,Govt. Girls Primary School Naseera Jhodheka    (Combined)    *P,29.75087874645894,73.0706272586908,Combined,Punjab,1,1,669,366
60,Govt. Girls primary School Basti Mogga       (Female)    *P,29.76224933300651,73.19265614512645,Female,Punjab,0,2,0,1059
61,Govt. Boys Primary School Basti Mogga   Mauza Kamal Mohammad ( Male)    (Male)    *P,29.762321791148363,73.1860709656146,Male,Punjab,3,0,1673,0
62,Govt. Girls Primary School Sher Muhammad Khan   (Akkanwali Khurd)     (Combined)    *P,29.76431828,73.14655698,Combined,Punjab,2,1,905,619
75,Govt. Boys Primary School (Tanzeem) Jahane Wala     (Combined)    *P,29.766410463701497,73.20383761546812,Combined,Punjab,2,1,825,530
72,Govt. Primary School Sundar Wali Kaisar Singh    (Combined)    *P,29.769672938677363,73.21847819197664,Combined,Punjab,2,2,1168,737
50,Govt. Girls High School Jand Wala       (Female)    *P,29.778096581894275,73.1041516545404,Female,Punjab,0,3,0,1602
80,Govt. Primary School Boys Chak NO. 18/G      (Combined)    *P,29.78084770891719,72.9045054371667,Combined,Punjab,1,1,518,450
81,Govt. Primary School Boys Chak NO. 18/G      (Combined)    *P,29.78084770891719,72.9045354371667,Combined,Punjab,1,1,711,516
48,Govt. Boys High School Jand Wala       (Male)    *P,29.785947108708317,73.10430983751404,Male,Punjab,2,0,1010,0
49,Govt. Boys High School Jand Wala       (Male)    *P,29.785947108708317,73.104339837514,Male,Punjab,2,0,1253,0
79,Govt. Primary School Boys Chak NO. 17/G          (Combined)    *P,29.786070057229082,72.88463859203162,Combined,Punjab,2,2,1052,865
39,Govt. Girls English Medium High School Mohib Ali     (Combined)    *P,29.78751777,73.18930343,Combined,Punjab,2,2,1000,652
73,Govt. Boys Middle School Sooraj Ganj      (Male)    *P,29.78982512,73.23372892,Male,Punjab,3,0,1298,0
74,Govt. Boys Middle School Sooraj Ganj      (Female)    *P,29.78982512,73.23375892,Female,Punjab,0,2,0,938
78,Govt. High School Boys Chak NO. 23/G          (Combined)    *P,29.791622733247845,72.93883730769528,Combined,Punjab,2,2,1065,828
36,Govt. Boys High School Kat Allah Yar Chashti    (Combined)    *P,29.79610777,73.17128521,Combined,Punjab,1,1,511,311
98,Govt. Primary School Model  24/G     (Combined)    *P,29.796696996439458,72.98463032447799,Combined,Punjab,2,1,686,557
76,Rural Health Centre Farid Kot Chak NO. 23/G       (Male)    *P,29.80209597990201,72.9320765235277,Male,Punjab,2,0,1229,0
77,Rural Health Centre Farid Kot Chak NO. 23/G       (Female)    *P,29.80209597990201,72.9321065235277,Female,Punjab,0,2,0,969
97,Govt. Boys Primary School Chak No.22/G     (Combined)    *P,29.803657739347493,72.93456768379143,Combined,Punjab,1,1,308,237
13,Govt. Primary School Dholi Wala     (Combined)    *P,29.804533066154402,73.08498981910647,Combined,Punjab,1,1,604,500
14,Govt. Primary School Dholi Wala     (Combined)    *P,29.804533066154402,73.0850198191065,Combined,Punjab,1,1,576,406
85,Govt-Girls Middle School 30/G     (Combined)    *P,29.807773905821094,73.0372780336562,Combined,Punjab,2,1,710,544
86,Govt-Girls Middle School 30/G     (Combined)    *P,29.807773905821094,73.0373080336562,Combined,Punjab,1,1,727,517
99,Govt. Girls Middle School 27/G     (Combined)    *P,29.81059628363659,72.98968705598391,Combined,Punjab,1,1,592,477
37,Basic Health Center PunjKosi    (Male)    *P,29.81182655,73.16145818,Male,Punjab,3,0,1374,0
38,Basic Health Center PunjKosi    (Female)    *P,29.81182655,73.16148818,Female,Punjab,0,2,0,773
83,Govt. High School Boys 28/G (Middle Portion)    (Female)    *P,29.81423145861091,73.008684233421,Female,Punjab,0,2,0,1117
84,Govt. High School Boys 28/G(High Portion)    (Male)    *P,29.814542835097516,73.0085388242868,Male,Punjab,3,0,1370,0
87,Govt.Primary School Model 26/G    (Combined)    *P,29.81497008657823,72.9567715617877,Combined,Punjab,2,1,751,508
108,Govt. Primary School Model  Chak NO. 11/G     (Female)    *P,29.822077130375472,72.91180628762987,Female,Punjab,0,4,0,1907
109,Govt. Primary School Boys Chak NO. 11/G      (Male)    *P,29.824153780966192,72.91194799256556,Male,Punjab,2,0,1189,0
110,Govt. Primary School Boys Chak NO. 11/G      (Male)    *P,29.824153780966192,72.9119779925656,Male,Punjab,2,0,1074,0
70,Govt. Primary School Mangla Nai     (Combined)    *P,29.826190457103188,73.19591382731907,Combined,Punjab,2,1,919,645
43,Govt. Girls Primary school Najeeb Abad      (Combined)    *P,29.829712590978637,73.16951059798517,Combined,Punjab,1,1,740,445
94,Union Council Office 7/G    (Combined)    *P,29.830007360958877,72.97598183119767,Combined,Punjab,1,1,286,273
93,Govt. High School Girls 6/G     (Combined)    *P,29.83071827522994,72.98126008680373,Combined,Punjab,2,2,1031,857
40,Govt.Boys High School Nathey Wala       (Combined)    *P,29.831440029624844,73.11897858599019,Combined,Punjab,1,1,638,340
41,Govt.Boys High School Nathey Wala       (Combined)    *P,29.831440029624844,73.1190085859902,Combined,Punjab,1,1,646,395
