StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
74,Govt. Primary School Boys 210/F      (Combined)    *P,29.64694,72.75278,Combined,Punjab,2,2,1063,727
78,Govt.Girls Middle School Chak NO. 213/F (Arian Basti)       (Combined)    *P,29.65016,72.77522,Combined,Punjab,2,2,1039,832
75,Govt. High School Boys Chak NO. 95/F       (Combined)    *P,29.67267,72.76677,Combined,Punjab,1,1,618,490
76,Govt. High School Boys Chak NO. 95/F       (Combined)    *P,29.67267,72.7668,Combined,Punjab,1,1,464,418
77,Govt. High  School Girls 95/F(A)        (Combined)    *P,29.67563,72.75288,Combined,Punjab,2,2,1011,811
72,Govt.Girls Middle School 94/F      (Combined)    *P,29.68605,72.74031,Combined,Punjab,2,2,670,455
73,Govt. Girls Middle School 94/F      (Combined)    *P,29.68605,72.74034,Combined,Punjab,1,1,585,484
69,Govt. Primary School Boys 96/F       (Combined)    *P,29.69146,72.798,Combined,Punjab,2,1,735,595
71,Govt.Girls Middle School 97/F      (Combined)    *P,29.69564,72.81708,Combined,Punjab,2,2,1128,886
66,Govt. High School Boys Chak NO. 99/Fateh      (Combined)    *P,29.69957,72.84765,Combined,Punjab,2,2,1052,879
64,Govt. Elementary School Girls 98/F       (Male)    *P,29.69978,72.82662,Male,Punjab,2,0,1134,0
65,Govt. Elementary School Girls 98/F       (Female)    *P,29.69978,72.82665,Female,Punjab,0,2,0,919
87,Govt. Primary School Boys 56/F    (Combined)    *P,29.70422,72.68907,Combined,Punjab,2,1,822,646
109,Govt. Community Model School 106/F.     (Combined)    *P,29.7068,72.95938,Combined,Punjab,2,1,784,603
81,Govt. Primary School Girls Chak NO. 52/F      (Combined)    *P,29.70907,72.7557,Combined,Punjab,2,1,753,651
102,Govt. Boys Middle School 105/F      (Male)    *P,29.7099,72.94192,Male,Punjab,3,0,1311,0
103,Govt.Girls Middle school Chak NO. 105/F      (Female)    *P,29.70992,72.94175,Female,Punjab,0,2,0,1069
88,Govt. Primary School Girls 53/F      (Combined)    *P,29.71129,72.72256,Combined,Punjab,1,1,683,518
67,Govt. Community Model School Girls Chak NO. 101/Fateh        (Combined)    *P,29.71533,72.87266,Combined,Punjab,1,1,673,547
68,Govt. Community Model School Girls Chak NO. 101/Fateh        (Combined)    *P,29.71533,72.87269,Combined,Punjab,1,1,577,467
80,Govt. Boys Elementary  School 55/F       (Combined)    *P,29.72093,72.68911,Combined,Punjab,1,1,388,310
91,Govt.Boys Primary School Chak No.50/Fetha     (Combined)    *P,29.72207,72.77238,Combined,Punjab,1,1,540,395
90,Govt. High School Girls Chak NO. 51/F    (Combined)    *P,29.727,72.75491,Combined,Punjab,2,1,761,573
110,Govt. Girls Middel School Chak No.108/F         (Combined)    *P,29.72821,72.98163,Combined,Punjab,2,1,738,539
70,Govt. Boys  Middle School Chak No. 49 /Fateh.       (Combined)    *P,29.72903,72.80546,Combined,Punjab,1,1,581,500
83,Govt. Boys Primary  School 11/FW(Katrian)       (Combined)    *P,29.72987,72.66996,Combined,Punjab,2,1,937,662
105,Govt. Boys High School Chak No.103/F      (Combined)    *P,29.73196,72.9176,Combined,Punjab,1,1,515,430
98,Govt. High School Boys 43/F        (Combined)    *P,29.73214,72.86303,Combined,Punjab,1,1,660,440
99,Govt. High School Boys 43/F        (Combined)    *P,29.73214,72.86306,Combined,Punjab,1,1,587,475
104,Govt.Girls Elemantry School Chack No 102 /F           (Combined)    *P,29.73736,72.89475,Combined,Punjab,2,1,802,677
79,Govt. High School Boys 54/F       (Combined)    *P,29.73802,72.72182,Combined,Punjab,2,2,1097,855
106,Govt. Boys Middle School Chak NO. 40/F          (Combined)    *P,29.73975,72.95068,Combined,Punjab,2,2,1072,835
85,Govt. Primary School Girls 9/FW (Purani Hattian)    (Male)    *P,29.74056,72.71623,Male,Punjab,3,0,1270,0
86,Govt. Primary School Girls 9/FW (Purani Hattian)    (Female)    *P,29.74056,72.71626,Female,Punjab,0,2,0,1001
126,Govt. Boys Middle School 7/Fordwah Syedan Wala       (Combined)    *P,29.74319,72.75045,Combined,Punjab,2,2,1051,759
135,Govt. Girls Middle School 14/FW Sona Wala    (Combined)    *P,29.74475,72.6362,Combined,Punjab,2,1,878,663
92,Govt. High School Boys Chak NO. 48/F     (Combined)    *P,29.74487,72.78265,Combined,Punjab,1,1,682,530
82,Govt. Primary School Girls 9/FW Sodagar Wala       (Combined)    *P,29.74591,72.70655,Combined,Punjab,2,2,1074,772
94,Govt. Girls Middle School Chak NO. 45/F     (Combined)    *P,29.74818,72.82783,Combined,Punjab,1,1,594,426
95,Govt. Girls Middle School Chak NO. 45/F     (Combined)    *P,29.74818,72.82786,Combined,Punjab,2,1,834,622
100,Govt. Primary School Boys Chak NO. 42/F       (Male)    *P,29.74884,72.87927,Male,Punjab,3,0,1331,0
101,Govt. Girls  Middle School Chak NO. 42/F      (Female)    *P,29.75025,72.87973,Female,Punjab,0,2,0,1059
127,Govt.  Community Model School Girls Chak NO. 8/FW (Sethanwala)     (Male)    *P,29.75591,72.72479,Male,Punjab,3,0,1451,0
128,Govt.  Community Model School Girls Chak NO. 8/FW (Sethanwala)     (Female)    *P,29.75591,72.72482,Female,Punjab,0,2,0,1090
132,Govt. High School Girls Chak NO. 6/FW     (Combined)    *P,29.75833,72.78633,Combined,Punjab,2,2,1091,785
89,Govt. High School Girls 9/Fordwah Basti  Ludhiana  Tendran Wala    (Combined)    *P,29.75889,72.69772,Combined,Punjab,2,1,764,531
93,Govt. Elementary  School Girls Chak NO. 47/F (Dehi Abadi)     (Combined)    *P,29.75974,72.80681,Combined,Punjab,2,1,824,645
133,Govt. High School Boys 10/FW     (Combined)    *P,29.76067,72.65856,Combined,Punjab,2,2,1122,818
134,Govt. High School Girls 10/FW.      (Combined)    *P,29.76067,72.65859,Combined,Punjab,2,1,735,476
84,Govt. Girls Primary School 11/FW (Munshewala)    (Combined)    *P,29.76293,72.68758,Combined,Punjab,1,1,516,334
125,Govt. Girls Middle School 7/FW Rawanwala       (Combined)    *P,29.76445,72.76363,Combined,Punjab,1,1,603,395
30,Govt. Primary School Girls ChakNo.46/F.        (Female)    *P,29.76552,72.83079,Female,Punjab,0,3,0,1332
130,Govt. Middle School Girls Dera Wali Muhammad Chak No.5/FW      (Combined)    *P,29.77772,72.81357,Combined,Punjab,2,1,788,545
26,Govt. Primary School BoysChakNo.46/F.         (Male)    *P,29.77889,72.83833,Male,Punjab,3,0,1648,0
124,Govt. Boys Middle School Mubarakpur          (Combined)    *P,29.77896,72.78713,Combined,Punjab,1,1,655,420
129,Govt. Elementary  School Boys 5/FW       (Combined)    *P,29.7815,72.82267,Combined,Punjab,2,1,849,570
140,Govt. Boys E/School Mouza Azeem      (Combined)    *P,29.78249,72.63544,Combined,Punjab,2,2,979,667
141,Govt. Primary School Gadhoka Chowk Mouza Muhammad Azeem      (Male)    *P,29.78298,72.66193,Male,Punjab,2,0,1215,0
142,Govt. Primary School Gadhoka Chowk Mouza Muhammad Azeem      (Female)    *P,29.78298,72.66196,Female,Punjab,0,2,0,861
31,Govt. E/S Girls ChakNo.15/G.       ( male)    *P,29.78361,72.85806,Male,Punjab,3,0,1311,0
32,Govt. E/S Girls ChakNo.15/G.       (Female)    *P,29.78361,72.85809,Female,Punjab,0,2,0,1118
23,MC.Govt. Primary School Girls Chak.15/G Near Mosque Quba.      (Combined)    *P,29.78371,72.85777,Combined,Punjab,2,1,778,622
145,Govt. Girls Primary School Rathian      (Combined)    *P,29.78551,72.7365,Combined,Punjab,2,2,1009,654
131,Govt. Middle School Boys 6/FW Naiabadi Romiwala    (Combined)    *P,29.78574,72.79179,Combined,Punjab,2,1,826,524
1,Govt. High School No.2 Chistian      (Male)    *P,29.78608,72.83513,Male,Punjab,2,0,1100,0
2,Govt. High School No.2 Chistian      (Female)    *P,29.78608,72.83516,Female,Punjab,0,2,0,862
63,NTC Microway station- Qazi wall Road Chishtian      (Combined)    *P,29.7878,72.86459,Combined,Punjab,2,1,789,653
138,Govt. Boys Middle School Shali Gharbi    (Combined)    *P,29.78909,72.59718,Combined,Punjab,2,1,960,621
143,Govt. Primary School Girls Landa Bhader    (Combined)    *P,29.78917,72.69032,Combined,Punjab,2,1,801,596
24,Govt. Girls Elementary School Muzabaha Khana        (Combined)    *P,29.78917,72.85139,Combined,Punjab,1,1,519,404
25,Govt. Girls Elementary School Muzabaha Khana        (Combined)    *P,29.78917,72.85142,Combined,Punjab,1,1,615,512
136,Govt. Girls Middle School Shali Gharbi      (Combined)    *P,29.78985,72.59663,Combined,Punjab,1,1,670,487
137,Govt. Girls Middle School Shali Gharbi      (Combined)    *P,29.78985,72.59666,Combined,Punjab,1,1,687,438
51,Govt. Primary School Boys Chak NO. 14/G. Near Power House Wapda        (Male)    *P,29.79056,72.86305,Male,Punjab,3,0,1372,0
