StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
49,Govt. Girls Elementary School 119/6-R   (Combined)    *P,26.9111,70.02019,Combined,Punjab,2,1,766,683
156,Govt. Higher Secondary School Girls 185/7.R   (Male)    *P,29.32752,72.94017,Male,Punjab,2,0,1188,0
155,Govt. Primary School Boys 185/7.R ) (West)     (Female)    *P,29.32795,72.9377,Female,Punjab,0,2,0,956
157,Govt. High School Boys 185/7.R   (Combined)    *P,29.33135,72.95396,Combined,Punjab,2,2,1068,762
158,Govt. High School Boys 185/7.R   (Combined)    *P,29.33135,72.95399,Combined,Punjab,2,2,1062,806
149,Govt. Primary School Boys 186/7.R    (Combined)    *P,29.34746,72.99508,Combined,Punjab,2,1,845,615
162,Govt.Boys High School 170/7.R    (Combined)    *P,29.35631,72.97353,Combined,Punjab,2,1,983,687
150,Govt Girls High School 169/7.R    (Combined)    *P,29.36129,72.98722,Combined,Punjab,2,1,772,543
159,Govt. Primary School Girls 171/7.R (E)   (Combined)    *P,29.36133,72.94225,Combined,Punjab,2,1,821,568
163,Govt. Primary School Girls 177/7.R   (Combined)    *P,29.366,72.88356,Combined,Punjab,1,1,671,486
160,Govt.Girls Elementry School 172/7.R   (Combined)    *P,29.36891,72.90783,Combined,Punjab,2,1,987,656
87,Govt.Boys Middle School 192/7.R   (Combined)    *P,29.38752,73.08307,Combined,Punjab,1,1,716,460
151,Govt. Primary School Boys 168/7.R.(Blochan)    (Combined)    *P,29.39047,73.04287,Combined,Punjab,2,1,756,531
153,Govt.Girls Elementry School 166/7.R (E)   (Combined)    *P,29.39101,72.99232,Combined,Punjab,2,1,934,665
154,Govt. Girls Primary School Chak No. 167/7.R   (Combined)    *P,29.39216,73.02038,Combined,Punjab,2,1,743,518
161,Govt. Primary School Girls 173/7.R (E)   (Combined)    *P,29.39475,72.91483,Combined,Punjab,2,2,1106,842
91,Govt. Girls Model Primary School Chak No.156/HB    (Combined)    *P,29.40052,73.15739,Combined,Punjab,1,1,554,464
152,Govt. Primary School Girls 165/7.R   (Combined)    *P,29.40451,73.01064,Combined,Punjab,2,1,807,594
85,Govt. Girls Model Primary School 193/7.R (PEF)   (Combined)    *P,29.40499,73.12084,Combined,Punjab,1,1,504,347
92,Govt. Girls Primary School Chak No.163/7R   (Combined)    *P,29.40678,73.08313,Combined,Punjab,1,1,388,281
64,Govt. E/School Boys 139/6.R   (Combined)    *P,29.40961,72.97039,Combined,Punjab,2,1,904,634
61,Govt. Girls High School 132/6.R   (Combined)    *P,29.41612,72.90115,Combined,Punjab,2,2,990,735
84,Govt. High School Boys 155/3.L   (Combined)    *P,29.41746,73.1776,Combined,Punjab,1,1,673,458
67,Govt. Boys Middle School 138/6.R   (Combined)    *P,29.41852,72.97771,Combined,Punjab,1,1,598,508
62,Govt. Primary School Boys 133/6.R   (Combined)    *P,29.41862,72.93156,Combined,Punjab,2,1,933,693
75,Govt. Girls Primay school  137/6.R   (Combined)    *P,29.42352,72.9969,Combined,Punjab,2,2,1108,697
89,Govt. Primary School  161/7.R North Azafi  (Combined)    *P,29.42888,73.1296,Combined,Punjab,2,2,1059,710
63,Govt. Primary School Boys 134/6.R   (Combined)    *P,29.43296,72.9463,Combined,Punjab,2,2,1055,760
76,Govt. Middle School Girls 141/6.R   (Combined)    *P,29.43315,73.02277,Combined,Punjab,2,2,1147,804
88,Govt. Primary School Boys 157/.3.L   (Combined)    *P,29.43448,73.16672,Combined,Punjab,1,1,645,526
66,Govt.Girls Middle School 135/6.R   (Combined)    *P,29.43484,72.96474,Combined,Punjab,2,2,963,765
82,Govt. Primary School Boys 160/7.R   (Combined)    *P,29.43901,73.13737,Combined,Punjab,1,1,694,481
77,Govt. Girls High School Chak No.142/6R   (Combined)    *P,29.44087,73.05875,Combined,Punjab,2,1,884,681
55,Govt.   Primary School Nai Abadi Faqir wali   (Combined)    *P,29.44613,73.03004,Combined,Punjab,2,1,712,542
78,Govt. Boys Primary School 143/6.R   (Combined)    *P,29.44752,73.0779,Combined,Punjab,2,1,786,626
65,Govt. Primary School Boys 125/6.R   (Combined)    *P,29.44777,72.98451,Combined,Punjab,1,1,422,350
70,Govt.Girls High School 127/6.R (East)   (Combined)    *P,29.44845,72.92896,Combined,Punjab,1,1,579,447
71,Govt.Girls High School 127/6.R (East)   (Combined)    *P,29.44848,72.92852,Combined,Punjab,2,1,685,545
83,Govt. Boys Elementary School Chak No.154/3L   (Combined)    *P,29.4495,73.18853,Combined,Punjab,2,1,793,606
47,Govt. Girls Primary School Chak No.124/6R Faqirwali   (Combined)    *P,29.45039,73.01862,Combined,Punjab,2,1,886,660
69,Govt.Girls Middle School 126/6.R   (Combined)    *P,29.45108,72.96124,Combined,Punjab,2,1,954,662
