StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
133,Govt. Primary School Boys 335/HR   (Combined)    *P,29.08252,72.3205,Combined,Punjab,2,2,1548,451
24,Govt. Girls Primary School Chak No.333/HR   (Combined)    *P,29.11509,72.35977,Combined,Punjab,2,1,910,685
136,Govt.Girls Elementry School 248/HL   (Combined)    *P,29.11947,72.90208,Combined,Punjab,2,1,819,575
25,Govt. Boys Elementary School Chak No.337/HR    (Combined)    *P,29.13059,72.32021,Combined,Punjab,2,1,731,456
23,Govt. Boys High School Chak No.331/HR   (Combined)    *P,29.14906,72.36765,Combined,Punjab,2,1,981,610
26,Govt. Boys Elementary School Chak No.338/HR   (Combined)    *P,29.1683,72.35038,Combined,Punjab,2,1,786,493
141,Govt. Primary School Boys 254/HL   (Combined)    *P,29.17589,72.93649,Combined,Punjab,2,2,1352,816
10,Govt. Girls Degree College Fortabbs Inter Block    (Male)    *P,29.18424,72.86121,Male,Punjab,3,0,1263,0
11,Govt. Girls Degree College Fortabbs Inter Block    (Male)    *P,29.18424,72.86124,Male,Punjab,4,0,2137,0
12,Govt. Girls Degree College Fortabbs Degree Block    (Female)    *P,29.18424,72.86127,Female,Punjab,0,2,0,933
13,Govt. Girls Degree College Fortabbs Degree Block    (Female)    *P,29.18424,72.8613,Female,Punjab,0,4,0,1794
137,Govt. Model Primary School Girls Chak 257/HL   (Combined)    *P,29.18954,72.9911,Combined,Punjab,2,1,878,550
19,Govt. Boys Primary School Chak No.317/HR   (Combined)    *P,29.18999,72.39596,Combined,Punjab,2,2,1085,858
9,Govt. Boys Primary School Abdullah Town    (Male)    *P,29.19117,72.86202,Male,Punjab,3,0,1678,0
14,Govt. Girls Primary School Ward No.5    (Female)    *P,29.19371,72.86551,Female,Punjab,0,3,0,1329
1,Govt. Elementary School Mazhar-ul-Uloom Forabbas (Primary Portion)    (Male)    *P,29.19396,72.85712,Male,Punjab,3,0,1637,0
8,Govt. Girls Elementary School Mazhar-ul-Uloom (Middle Block)    (Female)    *P,29.19396,72.85715,Female,Punjab,0,3,0,1345
139,Govt.Basic Health Centre 289/HR   (Combined)    *P,29.19474,72.63739,Combined,Punjab,2,1,780,557
2,Govt. Girls High School Primary Section- Fortabbas   (Female)    *P,29.19564,72.85695,Female,Punjab,0,2,0,1234
3,Govt. High School Girls (High Section)- Fortabbas   (Male)    *P,29.19564,72.85698,Male,Punjab,3,0,1490,0
15,Govt. Boys Degree College South Portion    (Male)    *P,29.1969,72.86398,Male,Punjab,3,0,1264,0
16,Govt. Boys Degree College North Portion    (Female)    *P,29.1969,72.86401,Female,Punjab,0,2,0,1014
4,Govt. Boys High School Fortabbas (Primary Section    (Female)    *P,29.19831,72.86026,Female,Punjab,0,3,0,1685
5,Govt. Boys High School Fortabbas (High Section    (Male)    *P,29.19831,72.86029,Male,Punjab,4,0,1887,0
70,Govt. Primary School Boys Chak No. 265/H.R.   (Combined)    *P,29.19984,72.96423,Combined,Punjab,2,1,645,514
140,Govt. High School Boys 293/HR   (Combined)    *P,29.20269,72.63243,Combined,Punjab,1,1,705,346
69,Govt. Primary School Gilrs Chak No. 266/H.R.    (Combined)    *P,29.20362,72.95239,Combined,Punjab,2,2,1081,767
27,Govt. Boys High School Chak No.340/HR   (Combined)    *P,29.20391,72.31498,Combined,Punjab,2,2,1024,741
138,Govt.Boys Elementry School 288/HR   (Combined)    *P,29.20396,72.65553,Combined,Punjab,2,1,697,472
67,Govt. Girls Middle School Chak No. 269/H.R.   (Combined)    *P,29.20669,72.91935,Combined,Punjab,1,1,662,540
142,Govt. Primary School Girls 314/HR   (Combined)    *P,29.20751,72.45458,Combined,Punjab,2,1,774,554
43,Govt. Model Primary School Girls 310/H.R.    (Combined)    *P,29.20754,72.47713,Combined,Punjab,2,1,812,570
78,Govt.Girls Elementry School 258/HL   (Combined)    *P,29.20792,73.01653,Combined,Punjab,2,1,968,638
42,Govt. Primary School Boys Chak No. 314/H.R.   (Combined)    *P,29.20881,72.4545,Combined,Punjab,1,1,636,487
22,Govt. Boys Primary School Chak No.328/HR Sharqi   (Combined)    *P,29.20883,72.36499,Combined,Punjab,2,1,907,680
7,Govt. Girls Primary School Chak No.274/HR West   (Combined)    *P,29.20963,72.84244,Combined,Punjab,2,2,1129,1023
6,Govt. Boys Primary School Chak No.272/HR   (Combined)    *P,29.21074,72.87192,Combined,Punjab,2,2,1142,909
72,Govt. Boys Middle School Chak No. 263/H.R.   (Combined)    *P,29.21136,72.99345,Combined,Punjab,2,2,1187,783
38,Govt. Primary School Boys 315/H.R.    (Combined)    *P,29.21294,72.42709,Combined,Punjab,2,1,813,518
29,Govt. Girls Primary School Chak No.318/HR   (Combined)    *P,29.21472,72.40292,Combined,Punjab,2,1,895,607
71,Govt. Primary School Boys Chak No. 264/H.R. West   (Combined)    *P,29.21778,72.92166,Combined,Punjab,2,1,892,629
62,Govt. High School Boys Chak No. 279/H.R.   (Combined)    *P,29.22066,72.79572,Combined,Punjab,2,2,1054,787
60,Govt. Elementary School Boys Chak No. 282/H.R .  (Combined)    *P,29.22095,72.7518,Combined,Punjab,2,1,841,584
66,Govt. Primary School Boys Chak No. 271/H.R.(West)   (Combined)    *P,29.22194,72.88519,Combined,Punjab,2,1,928,647
36,Govt. Boys Primary School Chak No.324/HR   (Combined)    *P,29.22261,72.3331,Combined,Punjab,2,1,726,643
65,Govt. Model School Boys Chak No. 277/H.R.(Gharbi)    (Combined)    *P,29.22339,72.82214,Combined,Punjab,2,1,856,672
61,Office of the Union Council No.67 Chak No. 281/H.R.   (Combined)    *P,29.22343,72.7856,Combined,Punjab,1,1,659,475
20,Govt. Girls Elementary School Chak 327/H.R.   (Combined)    *P,29.22373,72.38926,Combined,Punjab,2,1,742,549
21,Govt. Girls Elementary School Chak 327/H.R.   (Combined)    *P,29.22373,72.38929,Combined,Punjab,1,1,537,370
