StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
73,Govt. Girls Primary School- Chah Sheeren Wala- BWP (Combined),29.35882,71.62692,Combined,Punjab,1,1,362,297
11,Govt. High School- Dera Izzat BWP (Middle Portion) (Male),29.36591,71.65005,Male,Punjab,3,0,1536,0
12,Govt. High School- Dera Izzat- BWP (Primary Portion) (Female),29.36591,71.65008,Female,Punjab,0,3,0,1283
14,Govt. High School- Dera Izzat- BWP (Primary Portion) (Female),29.36591,71.65011,Female,Punjab,0,3,0,1405
111,Govt. Arabic Elementary School- Islami Colony- Street No. 3/4- Bahawalpur (Elementary Section) (Female),29.36644,71.69608,Female,Punjab,0,2,0,1061
113,Govt. Arabic Elementary School- Islami Colony- Street No. 3/4- Bahawalpur (Elementary Section) (Female),29.36644,71.69611,Female,Punjab,0,3,0,1447
114,Govt. Dar-ul-Atfal Male Apna Ghar- Opposite Islami Colony- Bahawalpur (Combined),29.36832,71.69923,Combined,Punjab,2,2,828,824
116,Govt. Dar-ul-Atfal Male Apna Ghar- Opposite Islami Colony- Bahawalpur (Female),29.36832,71.69926,Female,Punjab,0,2,0,1136
118,Govt. Dar-ul-Atfal Male Apna Ghar- Opposite Islami Colony- Bahawalpur (Female),29.36832,71.69929,Female,Punjab,0,1,0,665
110,Govt. Girls High School- Islami Colony- Street No. 3/4 Bahawalpur (Male).,29.37031,71.69726,Male,Punjab,2,0,1211,0
112,Govt. Girls High School- Islami Colony- Street No. 3/4 Bahawalpur  (Male).,29.37031,71.69729,Male,Punjab,3,0,1700,0
71,Office of Agricultural Engineering- Bahawalpur- Ahmedpur East Road near Zakhira (Male),29.37236,71.64185,Male,Punjab,3,0,1150,0
74,Office of Agricultural Engineering- Bahawalpur- Ahmedpur East Road near Zakhira (Male),29.37236,71.64188,Male,Punjab,3,0,1401,0
13,Govt. Primary School- Mamoon Abad- BWP (Male),29.37246,71.64366,Male,Punjab,3,0,1676,0
72,Govt. Model Primary School- Bhatta No.4- Ahmadpur Road- Bahawalpur (Female),29.37246,71.64369,Female,Punjab,0,3,0,929
75,Govt. Model Primary School- Bhatta No.4- Bahawalpur (Female),29.37246,71.64372,Female,Punjab,0,2,0,1140
10,Govt Girls Primary School- Malook Shah BWP (Female),29.37399,71.67205,Female,Punjab,0,2,0,992
7,Govt. Elementary School- Malook Shah- BWP (Male),29.37399,71.67208,Male,Punjab,3,0,1541,0
8,Govt Girls Primary School- Malook Shah BWP (Female),29.37399,71.67211,Female,Punjab,0,3,0,1322
9,Govt. Elementary School- Malook Shah- BWP (Male),29.37399,71.67214,Male,Punjab,3,0,1313,0
115,Govt. Primary School- Basti Banga- Islami Colony- Street No. 1- Opposite NBP- Bahawalpur (Male),29.37468,71.6936,Male,Punjab,3,0,1405,0
117,Govt. Primary School- Basti Banga- Islami Colony- Street No. 1- Opposite NBP- Bahawalpur (Male),29.37468,71.69363,Male,Punjab,2,0,830,0
5,Sadiq Public School (Secondary Section) (Male),29.37946,71.65424,Male,Punjab,4,0,2802,0
6,Sadiq Public School (High Section) (Female),29.37946,71.65427,Female,Punjab,0,4,0,2344
121,Govt. Degree College for Women- Satellite Town- Bahawalpur (Male).,29.38063,71.71988,Male,Punjab,3,0,1346,0
93,Govt. Degree College for Women- Satellite Town- BWP (Male).,29.38063,71.71991,Male,Punjab,2,0,1077,0
90,Govt. Girls Elementary School- Chak No.9/BC (Female),29.38072,71.72522,Female,Punjab,0,3,0,1420
89,Govt. English Medium Boys Primary School- Chak No.9/BC (Male),29.38077,71.72521,Male,Punjab,3,0,1558,0
60,Govt. Girls Elementary School- Bhatta No.1- Ahmedpur East Road- BWP (Female).,29.381,71.65591,Female,Punjab,0,2,0,1465
62,Govt. Girls Elementary School- Bhatta No.1- Ahmedpur East Road- BWP (Female).,29.381,71.65594,Female,Punjab,0,2,0,809
64,Govt. Girls Elementary School- Bhatta No.1- Ahmedpur East Road- BWP (Female),29.381,71.65597,Female,Punjab,0,2,0,831
61,Govt. Boys Primary School- Bhatta No.1- Ahmedpur East Road- BWP (Male),29.38108,71.65573,Male,Punjab,2,0,841,0
63,Govt. Boys Primary School- Bhatta No.1- Ahmedpur East Road - BWP (Male),29.38108,71.65576,Male,Punjab,2,0,931,0
49,Office of Director Agriculture- Punjab Farm Water Management- House No. 110/A- Street No. 5- Muhammadia Colony- Bahawalpur (Male).,29.3811,71.67255,Male,Punjab,3,0,1306,0
94,Govt. Girls High School- Mohajir Colony- near Tanki wali gali No. 7- BWP (Middle Section) (Female),29.38152,71.7229,Female,Punjab,0,2,0,939
95,Govt. Girls High School- Mohajir Colony- near Tanki wali gali No. 7- BWP (Primary Section)  (Male),29.38152,71.72293,Male,Punjab,4,0,1950,0
96,Govt. Girls High School- Mohajir Colony- near Tanki wali gali No. 7- BWP (High Section) (Female),29.38152,71.72296,Female,Punjab,0,4,0,1753
87,Govt. Elementary School- Islami Madrassah- Hamatian- Mailay Wali Gali- BWP (Male).,29.38238,71.7192,Male,Punjab,4,0,2073,0
88,Govt. Elementary School- Islami Madrassah- Hamatian- Mailay Wali Gali- BWP (Female).,29.38238,71.71923,Female,Punjab,0,4,0,1913
53,Regional Office Employees- Old Age Benefits Institution- Dubai Mahal Road- New Sadiq Colony- Bahawalpur (Male).,29.38259,71.66434,Male,Punjab,3,0,1506,0
54,Regional Office Employees- Old Age Benefits Institution- Dubai Mahal Road- New Sadiq Colony- Bahawalpur (Female),29.38259,71.66437,Female,Punjab,0,2,0,1172
55,Govt. Girls Degree College- Dubai Mahal Road- BWP (Intermediate Portion) (Eastern Side)  (Male),29.38259,71.6644,Male,Punjab,2,0,863,0
56,Govt. Girls Degree College- Dubai Mahal Road- BWP  (Degree Portion) (Western Side) (Female),29.38259,71.66443,Female,Punjab,0,2,0,858
57,Govt. Girls Degree College- Dubai Mahal Road- BWP (Intermediate Portion) (Eastern Side) (Male),29.38259,71.66446,Male,Punjab,3,0,1647,0
58,Govt. Girls Degree College- Dubai Mahal Road- BWP (Degree Portion) (Western Side) (Female),29.38259,71.66449,Female,Punjab,0,3,0,1485
59,Govt. Cantonment Board Dispensary No. 1- Bhatta No.1- Ahmedpur East Road- BWP (Male),29.38283,71.65879,Male,Punjab,3,0,1778,0
15,F.G. College Opposite Muhammadia Colony- Bahawalpur (Combined),29.3831,71.6713,Combined,Punjab,2,2,1095,1028
16,F.G. College Opposite Muhammadia Colony- Bahawalpur (Combined),29.3831,71.67133,Combined,Punjab,1,1,238,231
