StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
111,Government Girls Primary School Chak No.193/Murad. A (Combined),29.45479,72.58967,Combined,Punjab,1,1,691,510
113,Government Boys Primary School Chak No.195/Murad. (Combined),29.47278,72.545,Combined,Punjab,1,1,791,501
139,Government Girls Primary School Chak No.185/Murad. (Combined),29.47319,72.67583,Combined,Punjab,1,1,490,367
108,Government Boys  Primary School Chak No.190/Murad PEF (Bara).(Combined),29.47359,72.61832,Combined,Punjab,1,1,706,537
138,Government Boys Primary School Chak No.184/Murad.(Combined),29.48545,72.70245,Combined,Punjab,1,1,730,467
140,Government Boys Primary School Chak No.188/Murad. (Combined),29.48563,72.66763,Combined,Punjab,2,2,1013,721
110,Government Girls Primary School Chak No.192/Murad. (Combined),29.48596,72.60981,Combined,Punjab,2,1,794,583
107,Government Girls Comunity Model School Chak No.189/Murad. (Combined),29.48806,72.64417,Combined,Punjab,1,1,720,583
109,Government Degree College Chhona Wala No.Chak No.191/Murad. (Combined),29.48833,72.64249,Combined,Punjab,1,1,727,503
106,Government Girls Middle School Chak No.193/Murad Naher Wala. (Combined),29.48871,72.57856,Combined,Punjab,1,1,622,452
137,Government Girls Primary School Chak No.183/Murad. (Combined),29.49119,72.71648,Combined,Punjab,2,1,819,678
142,Government Girls Elementary  School Chak No.187/Murad. (Combined),29.49956,72.68147,Combined,Punjab,1,1,700,480
141,Govt.Boys High School Chak No.186/M (Combined),29.5023,72.7042,Combined,Punjab,1,1,649,465
136,Government Girls High School Chak No.182/Murad. (Combined),29.50385,72.73717,Combined,Punjab,1,1,751,553
105,Government Girls Comunity Model School Chak No.158/Murad. (Combined),29.51111,72.56361,Combined,Punjab,2,2,878,697
112,Government Boys High School Chak No.194/Murad. (Combined),29.51111,72.56364,Combined,Punjab,2,2,1133,871
114,Government Boys Primary School Chak No.197/Murad. (Combined),29.51111,72.56367,Combined,Punjab,1,1,681,482
129,Government Boys Primary  School Chak No.160/Murad. (Male),29.51639,72.63917,Male,Punjab,3,0,1537,0
130,Government Boys Primary School Chak No.160/Murad.  (Female),29.51639,72.6392,Female,Punjab,0,2,0,1185
131,Government Girls Elementary School Chak No.161/Murad. (Combined),29.51833,72.66028,Combined,Punjab,2,2,1030,792
