StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
69,Govt- Girls Primary School- Chak No.98/DB (P)* (Combined),29.01732,71.66565,Combined,Punjab,1,1,523,425
70,Govt- Boys Primary School- Chak No.97/DB (P)* (Combined),29.01732,71.66568,Combined,Punjab,2,1,732,419
71,Govt- Girls Primary School- Chak No.99/DB- East (P)* (Combined),29.02415,71.68309,Combined,Punjab,2,1,672,481
86,Govt- Boys Primary School- Chak No.113/DB- East (Combined),29.03698,71.63839,Combined,Punjab,2,2,964,747
87,Govt- Boys Primary School- Chak No.114/DB East (Combined),29.03895,71.61723,Combined,Punjab,1,1,432,312
85,Govt. Boys School Chak No. 115-DB (West)(Combined),29.04876,71.60694,Combined,Punjab,2,1,642,525
75,Govt- Boys Primary School- Chak No.112/DB  (Combined),29.05131,71.66433,Combined,Punjab,2,1,708,547
88,Govt- Boys Middle School- Chak No.111/DB (Combined),29.05654,71.63972,Combined,Punjab,2,2,800,663
72,Govt. Girls Primary School- Chak No.104/DB(Combined),29.06361,71.69972,Combined,Punjab,2,2,804,662
82,Govt- Boys Primary School- Chak No.116/DB  (Male),29.06747,71.60995,Male,Punjab,3,0,1295,0
83,Govt- Boys Primary School- Chak No.116/DB (P)* 84 (Female),29.06747,71.60998,Female,Punjab,0,2,0,968
64,Govt- Girls Primary School- Chak No.100/DB(P)* (Combined),29.06778,71.71861,Combined,Punjab,2,1,625,533
73,Govt. Girls Elementry School- Chak No.105/DB  (Combined),29.07056,71.6875,Combined,Punjab,2,2,650,607
74,Govt. Boys Primary School- Chak No.105/DB (Combined),29.07056,71.68945,Combined,Punjab,1,1,319,259
91,Govt- Gils Elementary School- Chak No.110/DB  (Combined),29.0785,71.65413,Combined,Punjab,2,2,952,776
90,Govt- Boys Primary School Chak No.110/DB (Combined),29.07973,71.65506,Combined,Punjab,1,1,550,423
89,Govt- Boys Primary School- Chak No.110/DB Jinnah Abbadi (Combined),29.08455,71.64885,Combined,Punjab,2,2,774,618
62,Govt. Girls Community Model Primary School- Chak No. 90-DB (Female),29.08758,71.66752,Female,Punjab,0,2,0,637
60,Govt- Boys Middle School- Chak No.89/DB (P)* (Combined),29.08965,71.78038,Combined,Punjab,2,1,756,564
115,Govt. Boys Primary School- Chak No.140/DB (N)  (Male),29.08997,71.59168,Male,Punjab,3,0,1380,0
117,Govt. Boys Primary School- Chak No. 140/DB (South)  (Male),29.08997,71.59171,Male,Punjab,3,0,1171,0
116,Govt. Girls Elementary  School- 140-DB (N)(Female),29.09127,71.5914,Female,Punjab,0,2,0,1044
118,Govt. Girls Modal Primary School- Chak No. 140/DB (South) (Female),29.09127,71.59143,Female,Punjab,0,2,0,985
58,Govt- Boys Elementary School- Chak No.88/DB-  (P)* (Male),29.09272,71.71906,Male,Punjab,3,0,1550,0
78,Govt. Boys High School- Chak No.106/DB  (Male),29.09417,71.68945,Male,Punjab,3,0,1387,0
81,Govt. Girls High School- Chak No. 107-DB (Female),29.09417,71.68948,Female,Punjab,0,3,0,1131
79,Govt. Girls High School- Chak No.106/DB (Female),29.09417,71.71444,Female,Punjab,0,3,0,1167
84,Govt. Girls Elementary School- Chak No. 115-DB East(Combined),29.09454,71.61486,Combined,Punjab,2,1,629,528
107,Govt- Boys Primary School- Chak No.61/DB  (P)* (Male),29.09478,71.68883,Male,Punjab,3,0,1328,0
80,Govt. Boys Elmentary School Chak 107/DB  (Male),29.095,71.6725,Male,Punjab,3,0,1291,0
66,Govt- Girls Primary School- Chak No.101/DB  (P)* (Female),29.09528,71.73444,Female,Punjab,0,2,0,789
103,Govt- Boys Primary School- Chak No.58/DB  (Combined),29.09699,71.72944,Combined,Punjab,1,1,368,312
65,Govt- Boys Primary School- Chak No.101/DB (P)* (Male),29.09722,71.73083,Male,Punjab,2,0,1032,0
76,Govt- Boys Primary School- Chak No.103/DB-   (Male),29.10083,71.71722,Male,Punjab,2,0,1413,0
105,Govt- Girls High School- Chak No.59/DB (P)* (Female),29.10137,71.66826,Female,Punjab,0,3,0,1139
77,Govt. Girls Primary School- Chak No.103/DB (Female),29.10194,71.715,Female,Punjab,0,2,0,1184
121,Govt- Boys Primary School- Chak No.73/DB- (P)* (Combined),29.10321,71.85706,Combined,Punjab,2,1,1029,813
55,Govt- Boys High School- Chak No.72/DB (P)* (Combined),29.1049,71.84879,Combined,Punjab,2,1,798,567
102,Govt- Girls Primary School- Chak No.58/DB (North) (Combined),29.10545,71.7172,Combined,Punjab,1,1,556,485
108,Govt- Girls Primary School- Chak No.61/DB  (P)* (Female),29.10607,71.67562,Female,Punjab,0,3,0,1045
67,Govt. Special Education Center- Yazman (Combine),29.10884,71.74939,Combined,Punjab,3,2,709,543
61,Govt- Boys Primary School- Chak No.90/DB (P)* (Male),29.10941,71.74798,Male,Punjab,2,0,789,0
114,Govt. Girls Primary School- Chak No.67/DB (Combined),29.10954,71.59898,Combined,Punjab,1,1,563,441
16,Govt. Girls Elementry School- Christian Colony- Yazman (Female),29.11072,71.74983,Female,Punjab,0,2,0,1009
129,Govt- Boys High School- Kheer Sir (P)* (Combined),29.11486,72.18581,Combined,Punjab,2,1,755,448
15,Govt. Boys Primary School- Christian Colony- Yazman (Male),29.11893,71.74914,Male,Punjab,3,0,1293,0
