StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
114,Govt Boys Middle School Lalo Nich .(Combined) (P)*,29.049091635867146,70.99367624456391,Combined,Punjab,1,1,705,547
115,Govt Boys Middle School Basti Laloo Naich. (Combined)(P)*,29.049091635867146,70.9937062445639,Combined,Punjab,2,2,1011,888
103,Govt Girls Primary School Basti Abdul Ullah khoji . (Combined)(P)*,29.056795669746993,71.0000315142497,Combined,Punjab,1,1,628,479
121,Govt Boys Primary School Hasil Laar(P)*(Combined),29.072601507856266,71.00380504829857,Combined,Punjab,2,2,1057,800
105,Govt Boys Higher secondary School Channi Goth. (Combined) (P)*,29.086760674915357,71.00928218497556,Combined,Punjab,2,2,921,773
107,Govt Boys Elementary Shool Chak No. 160-NP (Old Building).(Combined) (P)*,29.088900137147313,71.03338590379086,Combined,Punjab,2,1,664,525
109,Govt Boys Primmary School Chak no 157 NP. (Combined)(P)*,29.08896768380719,71.03330989775687,Combined,Punjab,2,2,938,692
106,Govt Boys Elementary Shool Chak No. 160-NP (New Building).(Combined) (P)*,29.08896768380719,71.0333398977569,Combined,Punjab,2,2,784,627
110,Govt Boys Middle School Channi Goth. (Male)(P)*,29.09509843416331,71.01154534178788,Male,Punjab,2,0,1334,0
111,Govt Boys Middle School Channi Goth. (Female)(P)*,29.09509843416331,71.0115753417879,Female,Punjab,0,2,0,1118
113,Govt Girls Primary School Fazal Ahmad Uch Road Channi Goth. (Combined)(P)*,29.09525509721782,71.02928540704258,Combined,Punjab,2,2,1248,943
112,Govt Girls High School Channi Goth .(Combined)(P)*,29.09819910403174,71.01049208899572,Combined,Punjab,2,2,949,920
118,Office Basic Health Unit Ahmed Niach. (Combined)(P)*,29.098465702353902,70.97214391720938,Combined,Punjab,2,2,1029,770
116,Govt Girls High School Mahand Ahmedpur .(Male) (P)*,29.100271868470436,70.96720237729268,Male,Punjab,2,0,1425,0
117,Govt Girls High School Mahand Ahmedpur .(Female) (P)*,29.100271868470436,70.9672323772927,Female,Punjab,0,2,0,1109
119,Govt Boys Midddle School Ahmad Naich. (Combined)(P)*,29.10096799179833,70.97319298798428,Combined,Punjab,2,2,901,683
120,Govt Boys middle School Ahmed Naich. (Combined)(P)*,29.10103871886443,70.97320832465662,Combined,Punjab,1,1,650,455
104,Govt Boys Primary School Chak No. 147/NP. (Combined)(P)*,29.118942751209374,70.97313319072023,Combined,Punjab,2,2,819,641
