StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
83,Govt. Girls Primary School Shamasabad Bangla Talbani,28.88333,70.82361,Combined,Punjab,1,1,670,481
61,Govt. Girls Primary School Basti  Mian Khurshid Ali (Male),28.88472,70.89722,Male,Punjab,2,0,1252,0
62,Govt. Girls Primary School Basti  Mian Khurshid Ali (Female),28.88472,70.89725,Female,Punjab,0,2,0,943
82,Govt. Boys Primary School Shamasabad,28.89861,70.82916,Combined,Punjab,1,1,624,429
56,Govt. Boys Primary School Basti Arain Goth Mahi (Male),28.91049,70.88411,Male,Punjab,3,0,1572,0
59,Govt. Girls Primary School Basti  Jam Khuda Bux Laar Goth Mahi (Female),28.91257,70.88235,Female,Punjab,0,2,0,949
60,Basic Health Unit Goth Mahi Basti  Mian Karam,28.92021,70.9004,Combined,Punjab,2,1,734,623
57,Govt. Boys Primary School Farzand Ali Basti  Mian Karam (Female),28.92039,70.90348,Female,Punjab,0,2,0,1267
84,Govt. Boys Primary School Pakhiwar (Female),28.92639,70.81223,Female,Punjab,0,2,0,899
85,Govt. Boys Primary School Pakhiwar (Male),28.92639,70.81226,Male,Punjab,2,0,1350,0
74,Govt. Girls Primary School Uttera,28.93139,70.945,Combined,Punjab,2,1,920,488
97,Govt. Girls Primary School Basti Ghulam Muhammad,28.9371,70.95338,Combined,Punjab,2,1,873,599
58,Basic Health Unit Goth Mahi Basti  Mian Karam (Male),28.93767,70.9111,Male,Punjab,3,0,1242,0
53,Govt. Boys Primary School Raes Allah Ditta,28.94401,70.92379,Combined,Punjab,2,2,1203,925
48,Canal Sub-Division Office- Allah Abad,28.94845,70.87364,Combined,Punjab,1,1,807,644
73,Govt. Boys Moadib School Jumma Mohana (Female),28.94972,70.87334,Female,Punjab,0,2,0,1129
44,Govt. Boys Primary School Raes Pathan,28.95007,70.87461,Combined,Punjab,2,1,761,602
49,Govt. Girls Primary School Raes Pathan,28.95007,70.87464,Combined,Punjab,1,1,550,374
46,Govt. Boys High School Allah Abad Middle Portion,28.9515,70.8822,Combined,Punjab,1,1,703,629
72,Govt. Boys Moadib School Jumma Mohana (Male),28.95167,70.87833,Male,Punjab,3,0,1409,0
45,Govt. Boys High School Allah Abad High Portion,28.95167,70.88216,Combined,Punjab,1,1,532,495
52,Govt. Girls High School Allah Abad  (Female),28.95176,70.88118,Female,Punjab,0,2,0,1067
51,Govt. Girls High School Allah Abad  (Male),28.95177,70.88118,Male,Punjab,2,0,1238,0
47,Govt. Boys Primary School Block-1 Allah Abad,28.95235,70.87827,Combined,Punjab,1,1,718,608
96,Govt. Boys Primary School Basti Ghulam Muhammad,28.95325,70.94409,Combined,Punjab,1,1,732,594
98,Govt. Boys Elementary School wahid Bakhsh Siyal,28.95515,70.89819,Combined,Punjab,2,2,939,749
50,Govt. Girls Primary School Basti Qurban Qasaab,28.95876,70.87548,Combined,Punjab,1,1,668,500
99,Govt. Boys P/S Mehmood Nagar Mouza Wahid Bakhsh Siyal,28.96659,70.89043,Combined,Punjab,2,1,861,665
54,Govt. Boys Elementary School Muhammad Daha,28.97019,70.91172,Combined,Punjab,2,2,976,803
55,Basic Health Center Muhammad Daha,28.97053,70.9122,Combined,Punjab,2,1,824,658
95,Govt. Girls Primary School Noor Ahmad Bumbh  Mouza Murad Pur Siyal (Female),28.97857,70.949,Female,Punjab,0,2,0,809
88,Community Girls Elementary School Rindan Mauza Rindan  (Male),28.98191,70.82471,Male,Punjab,2,0,1269,0
89,Community Girls Elementary School Rindan Mauza Rindan  (Female),28.98191,70.82474,Female,Punjab,0,2,0,1038
94,Govt. Boys High School Murad Pur Siyal High Portion (Male),28.99818,70.97086,Male,Punjab,2,0,910,0
138,Govt. Boys Primary School Ahmed Yar Tanwari,28.99894,70.9234,Combined,Punjab,2,1,763,581
92,Govt. Boys Primary School Bapran (Male),28.99934,70.89108,Male,Punjab,3,0,1464,0
