StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
66,Govt.Girls Primary School Arif Baloch,-7.013678,32.81249,Combined,Punjab,2,1,939,582
71,Veterinary Hospital Hayat Laar,28.76278,70.81334,Combined,Punjab,2,1,794,606
72,Veterinary Hospital Hayat Laar,28.76278,70.81337,Combined,Punjab,1,1,670,481
73,Govt. Boys Primary School Feroza Town,28.76417,70.81056,Combined,Punjab,1,1,724,551
69,Govt Girls Primary School Bhuttoo Colony Feroza,28.7725,70.81694,Male,Punjab,3,0,1478,0
70,Govt Girls Primary School Bhuttoo Colony Feroza,28.7725,70.81697,Female,Punjab,0,2,0,1093
67,Govt. Girls Community Model School- Chak No. 123/NP,28.78472,70.78917,Combined,Punjab,1,1,543,348
77,Govt. Girls Community Model School- Chak No. 123/NP,28.78472,70.7892,Combined,Punjab,2,1,756,527
79,Govt.Boys Primary School Chak No. 122/NP,28.78778,70.78972,Combined,Punjab,1,1,728,517
109,Govt. Boys Primary School Hussain Abad Basti Shair Muhammad Mouza Ghareeb Shah,28.80167,70.72817,Combined,Punjab,2,1,1047,630
68,Govt. Girls Primary School Jam Aziz,28.81695,70.78139,Combined,Punjab,2,1,1118,732
108,Govt.Moadib Primary School Thair Fazil Muhammad,28.82026,70.74231,Combined,Punjab,2,2,1190,803
104,Govt. Girls Elementary School Kandani (Female),28.82253,70.76467,Female,Punjab,0,2,0,998
105,Govt. Girls Elementary School- Kandani (Male),28.82253,70.7647,Male,Punjab,3,0,1414,0
107,Govt. Boys High School Kandani High Portion (Female),28.82602,70.76302,Female,Punjab,0,2,0,1015
76,Govt. Boys Secondary School Basti Nazir Khan (Chak No.119/NP),28.83441,70.72115,Combined,Punjab,1,1,562,390
51,Govt. Girls Primary School Said Pur,28.83476,70.68201,Combined,Punjab,1,1,658,469
103,Govt. Boys Primary School Basti Samanay Khan,28.83559,70.73615,Combined,Punjab,2,2,874,653
89,Govt. Boys Primary School Haroon Abad,28.84389,70.86444,Combined,Punjab,1,1,593,478
106,Govt. Boys P/S Basti Sunat Abad (Male),28.84461,70.81173,Male,Punjab,3,0,1363,0
78,Govt.Girls Elementary School Chak No. 125/NP,28.84497,70.80737,Combined,Punjab,2,1,950,571
137,Govt. Boys Primary School Pirzada Basti Khokharan (P)*,28.84615,70.58879,Combined,Punjab,2,1,820,533
80,Govt. Rafique Elementary School Jageer Chhanaili,28.85194,70.85166,Combined,Punjab,2,2,890,653
82,Govt. Boys Primary School Malik Hameed Basti Jurani,28.85611,70.75806,Combined,Punjab,2,1,871,646
101,Govt. Boys High School Pacca Laaran Primary Portion (Male),28.85917,70.78167,Male,Punjab,3,0,1744,0
102,Govt. Boys High School Pacca Laaran Middle Portion (Female),28.85917,70.7817,Female,Punjab,0,2,0,1350
74,Govt. Girls Primary School Basti Araian- Rasheed Abad,28.86222,70.83194,Combined,Punjab,2,1,923,545
136,Govt. Boys Primary School Biraran (P)*,28.86353,70.60886,Combined,Punjab,2,1,877,517
98,Govt. Girls E/School Basti Lal Pacca Laaran,28.86361,70.76917,Combined,Punjab,2,1,838,602
100,Govt. Girls High School Pacca Laaran Middle Portion (Female),28.86513,70.75216,Female,Punjab,0,2,0,1239
99,Govt. Girls High School Pacca Laaran High Portion (Male),28.86513,70.75219,Male,Punjab,3,0,1578,0
91,Govt. Boys Primary School Basti Maghrani (Male),28.86834,70.75279,Male,Punjab,2,0,1230,0
92,Govt. Boys Primary School Basti Maghrani (Female),28.86834,70.75282,Female,Punjab,0,2,0,994
7,Govt. Boys Elementary School Noor Muhammad Batwani (Male),28.870321255439453,70.74094954596876,Male,Punjab,3,0,1419,0
46,Govt. Girls Model School Shehbaz Pur Gharbi,28.87597,70.62893,Combined,Punjab,2,1,1075,773
50,Govt. Boys High School Said Pur,28.8772,70.68675,Combined,Punjab,2,1,919,691
138,Govt. Boys Elementary School Qadir Pur (Male),28.87884,70.63413,Male,Punjab,3,0,1419,0
139,Govt. Boys Elementary School Qadir Pur (Female),28.87884,70.63416,Female,Punjab,0,2,0,921
86,Govt. Boys Elementary School Nalla Mosani (Male),28.887,70.76964,Male,Punjab,2,0,1263,0
87,Govt. Girls Primary School Nalla Mosani (Female),28.88712,70.7692,Female,Punjab,0,2,0,991
52,Govt. Boys High School Zafarabad (Male),28.88783,70.65331,Male,Punjab,2,0,1240,0
54,Govt. Boys High School- Zafar Abad (Male),28.88783,70.65334,Male,Punjab,3,0,1608,0
8,Govt. Boys Primary School Ashraf Shah Basti Ramzan (Female),28.88919,70.71974,Female,Punjab,0,2,0,984
90,Govt. Boys Primary School Kotla Daulat,28.89055,70.74818,Combined,Punjab,1,1,755,545
49,Govt. Girls Elementary School  Taranda Mir Khan,28.89078,70.68118,Combined,Punjab,2,1,910,727
48,Govt. Boys High School Taranda Mir Khan,28.89083,70.67962,Combined,Punjab,2,1,773,536
6,Govt. Boys Primary School Basti Qazian,28.89452,70.75202,Combined,Punjab,2,1,1058,729
140,Govt. Girls Primary School Raes Nabi Bux,28.89505,70.632,Combined,Punjab,2,1,794,544
53,Govt. Girls Community Model School Zafarabad (Female),28.89537,70.6583,Female,Punjab,0,2,0,845
55,Govt. Girls Community Model School Zafarabad (Female),28.89537,70.65833,Female,Punjab,0,3,0,1169
56,Govt. Boys Primary School Basti Malik Peer Bux Tibbi Saidan (Male),28.89537,70.65836,Male,Punjab,3,0,1344,0
57,Govt. Boys Primary School Basti Malik Peer Bux Tibbi Saidan (Female),28.89537,70.65839,Female,Punjab,0,2,0,823
47,Govt. Boys Primary School Saeedia (Kalay Di Wasti),28.89583,70.65904,Combined,Punjab,1,1,526,303
93,Govt. Girls Primary School Basti Gasoora (Male),28.90346,70.78145,Male,Punjab,3,0,1468,0
94,Govt. Girls Primary School Basti Gasoora (Female),28.90346,70.78148,Female,Punjab,0,2,0,996
75,Govt. Boys Primary School Chak No. 116/NP,28.9039,70.67664,Combined,Punjab,1,1,382,222
5,Govt. Boys Primary School Gabran,28.90495,70.70831,Combined,Punjab,2,1,801,537
14,Govt. Girls Primary School Aziz Muhammad Numberdar Mouza Chanjni (Female),28.90825,70.68295,Female,Punjab,0,2,0,941
13,Govt. Boys Primary School Pati Shair Muhammad  (Male),28.909483595436182,70.6835208938117,Male,Punjab,2,0,1231,0
84,Govt. Girls Primary School Ramzan Khan (Jong Bilawal),28.91187,70.78869,Combined,Punjab,1,1,724,532
12,Govt. Girls Primary School Malik Bakhat Ali,28.91543,70.7128,Combined,Punjab,2,1,805,475
97,Govt. Girls Primary School Basti Kotla Niazi,28.91777,70.77484,Combined,Punjab,1,1,715,548
85,Govt. Boys Primary School Jong Bilawal,28.91822,70.78912,Combined,Punjab,2,1,842,631
41,Govt. Boys Elementary School Bahar Khakhi (Primary Portion),28.92725,70.70068,Combined,Punjab,2,1,1052,704
16,Govt. Boys Primary School Sanghar,28.92761,70.60861,Combined,Punjab,2,1,913,615
38,Govt. Girls Primary School Malook Shah Basti Muhammad Ramzan Arain,28.92917,70.66972,Combined,Punjab,2,2,924,741
