StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
47,Veterinary Dispensary Islam Garh (Improvised),28.50333,70.70306,Combined,Punjab,3,1,1514,552
45,Govt. Boys  Primary School Chak No. 132/1-L (Chah Ghunian Wala),28.5036,70.70293,Combined,Punjab,2,1,1173,571
46,Govt. Boys  Primary School Chak No. 132/1-L (Chah Ghunian Wala) Improvised,28.5036,70.70296,Combined,Punjab,1,1,364,172
42,Govt. Boys Primary School Chak No. 236/1-L (P)*,28.5891,70.8477,Combined,Punjab,2,1,1051,543
44,Govt. Boys Primary School Chak No. 236/1-L (P)*,28.5891,70.84773,Combined,Punjab,2,1,690,292
41,Basic Health Unit Head Farid (P)*,28.60389,70.92138,Combined,Punjab,2,2,1170,698
43,Govt? Boys Elementary School Chak No. 225/1-L Head Farid (P)*,28.60389,70.92141,Combined,Punjab,2,2,1313,683
20,Veterinary Hospital Chak No. 229/1-L Liaquatpur,28.60686,70.79981,Combined,Punjab,3,2,1710,830
40,Govt. Boys Primary School- Chak No. 215/1-L Liaquatpur (P)*,28.6203,70.95634,Combined,Punjab,2,1,1060,526
38,Govt. Boys Primary School Chak No.201/2-R (Male),28.64124,70.90253,Male,Punjab,3,0,1355,0
39,Govt. Boys Primary School Chak No.201/2-R (Female),28.64124,70.90256,Female,Punjab,0,2,0,827
30,CHOLISTAN COMMUNITY MODEL School Chak No.166/7-R,28.65779,70.78539,Combined,Punjab,2,1,644,296
31,Govt. Boys Primary School Chak No. 162/7-R (P)*,28.67377,70.81726,Combined,Punjab,2,1,713,369
35,Govt. Boys Primary School Chak No.186/7-R (P)*,28.6764,70.8756,Combined,Punjab,2,1,940,632
32,Govt. Boys Primary School Chak No.176/7-R(IMPROVISED),28.69806,70.8825,Combined,Punjab,2,2,1242,718
36,Govt. Boys Primary School Chak No.191/7-R,28.7072,70.89542,Combined,Punjab,2,2,1236,804
37,Govt. Boys Primary School Chak No.191/7-R (P)*,28.7072,70.89545,Combined,Punjab,2,1,757,494
27,Govt. Girls Primary School Chak No.159/7-R,28.70802,70.84991,Combined,Punjab,2,1,825,449
34,Govt. Boys Elementary School Chak No.181/7-R (P)*,28.71583,70.95667,Combined,Punjab,1,1,644,439
