StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
222,Govt. High School Chotala (C) (P),32.81285,73.57315,Combined,Punjab,1,1,458,410
223,Govt. High School Chotala (M) (P),32.81285,73.57318,Male,Punjab,4,0,1392,0
224,Govt. High School Chotala (F) (P),32.81285,73.57321,Female,Punjab,0,3,0,1270
225,Govt.Girls . High. School Chotala (C) (P),32.82151,73.57894,Combined,Punjab,1,1,406,396
226,Govt.Girls . High. School Chotala (C) (P),32.82151,73.57897,Combined,Punjab,1,1,543,468
227,Govt Primary School Nawan Lok. (C) (P),32.82666,73.583,Combined,Punjab,2,2,884,724
11,Govt.Girls High School Nathwala(M) (P),32.84196,73.57804,Male,Punjab,3,0,1246,0
12,Govt. Girls High School Nathwala (F),32.84196,73.57807,Female,Punjab,0,3,0,1115
251,Govt. Girls High School Toor( F) (P),32.84547,73.58381,Female,Punjab,0,2,0,1044
250,Govt. Girls High School Toor( M) (P),32.84581286171485,73.5838995677901,Male,Punjab,2,0,1095,0
13,Govt.Boys Primary School Gurrah Jattan (C) (P),32.84629343560272,73.55898270291144,Combined,Punjab,1,1,336,329
248,Govt. Boys Elementary School Toor(C ) (P),32.84947,73.58821,Combined,Punjab,2,2,656,599
249,Govt. Boys Elementary School Toor(C ) (P),32.84947,73.58824,Combined,Punjab,1,1,399,399
15,Govt Girls Primary School Noor Pur Baghan© (P),32.857570936380284,73.57890467821868,Combined,Punjab,1,1,393,329
244,Govt. Boys High School Sanghoi (M) (P),32.8642,73.60527,Male,Punjab,3,0,1105,0
245,Govt. Boys High School Sanghoi (F) (P),32.8642,73.6053,Female,Punjab,0,2,0,988
246,Govt. Boys High School Sanghoi (M) (P),32.8642,73.60533,Male,Punjab,2,0,804,0
247,Govt. Boys High School Sanghoi (F) (P),32.8642,73.60536,Female,Punjab,0,2,0,799
242,Govt. Girls English Medium High School Sanghoi (M) (P),32.86646541206986,73.60326133736004,Male,Punjab,4,0,1522,0
243,Govt.Girls English Medium High School Sanghoi (F) (P),32.86646541206986,73.60329133736,Female,Punjab,0,3,0,1396
14,Govt.Girls Community Model Primary School Kari (C) (P),32.86757025278552,73.57393924193816,Combined,Punjab,2,1,603,571
241,Govt. Girls Primary School Gurah Saleem(C) (P),32.87358386064281,73.60734081132665,Combined,Punjab,2,1,644,596
