StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
81,Govt. Boys Primary School Chak No. 236/P (P)*,28.02720191860556,69.98943933694478,Combined,Punjab,2,1,924,601
63,Govt. Boys Elementary School Chak No. 264/P (P)*,28.055094511687507,70.00825862161443,Combined,Punjab,2,1,609,389
58,Govt. Boys Primary School Chak No. 216/P (Male),28.070099933841295,69.96111886045377,Male,Punjab,2,0,1281,0
57,Govt. Girls Primary School Chak No. 213/P Sadiq Abad  (P)*,28.07076391486141,69.97542282320849,Combined,Punjab,2,1,787,467
55,Govt. Boys Elementary School Chak No. 211/P (P)*,28.076031764598785,70.01768060896252,Combined,Punjab,2,1,788,546
67,Govt. Boys Primary School Basti Imtiaz  (Gunji) (P)*,28.08951245932517,69.93951551357387,Combined,Punjab,1,1,760,587
82,Govt. Boys Primary School Chak No. 261/P (P)*,28.08960061860451,70.16834833442817,Combined,Punjab,2,2,934,687
60,Govt. Girls Primary School Chak No.  212/P (Male),28.091766016185424,70.02283640937533,Male,Punjab,3,0,1422,0
62,Govt. Boys Primary School Chak No.  220/P (P)*,28.09267042853758,70.03711011011706,Combined,Punjab,1,1,570,487
56,Govt. Girls Elementary School Chak No. 205/P Sadiq Abad (P)*,28.093749471738,69.96478257675616,Combined,Punjab,1,1,559,472
83,Govt. Boys Primary School Chak No. 267/P,28.0941936874627,70.12903488759972,Combined,Punjab,2,2,1159,842
68,Govt. Girls Primary School Chak No. 206/P (P)*,28.103965431189263,69.93899106862892,Combined,Punjab,1,1,587,491
75,Govt. Primary School Chak No.  203/P (P)*,28.11127249008502,69.98562941156081,Combined,Punjab,2,1,631,452
86,Govt. Primary School Tillu Goth Sadiqabad (P)*,28.117625187298984,70.04693910866193,Combined,Punjab,1,1,378,290
54,Govt. Girls High School Chak No. 199/P (Female)  (P)*,28.119691264667832,70.01853433006539,Female,Punjab,0,2,0,990
53,Govt. Boys High School Chak No. 199/P Sadiq Abad (Male)  (P)*,28.121236916603028,70.01683129015953,Male,Punjab,3,0,1435,0
87,Govt. Boys Primary School Chak No. 210/P (P)*,28.12785294850653,70.0466146488156,Combined,Punjab,2,2,1012,784
74,Govt. Girls Primary School Chak No. 200/P,28.135310791691282,70.00406994534933,Combined,Punjab,2,2,948,650
88,Govt. Boys Primary School Chak No. 197/P (P)*,28.137882231489474,70.04042886176536,Combined,Punjab,2,1,873,575
85,Govt. Boys Elementary School Chak No. 208/P (P)*,28.139880992839032,70.07450176873716,Combined,Punjab,1,1,710,529
65,Union Council Office- Dhandi Sadiq Abad  (Male),28.14173635492637,69.91984304954045,Male,Punjab,2,0,1276,0
66,Union Council Office- Dhandi Sadiq Abad  (Female),28.14173635492637,69.9198730495404,Female,Punjab,0,2,0,866
49,Govt. Boys Primary School Shah Pur Sadiq Abad  (P)*,28.145588876800563,69.87574523989112,Combined,Punjab,2,1,680,410
78,Govt. Boys High School Chak No.  186/P (Male),28.15192,70.13056,Male,Punjab,3,0,1407,0
79,Govt. Boys High School Chak No.  186/P (Female),28.15192,70.13059,Female,Punjab,0,2,0,966
121,Govt. Boys Elementary School Chak No. 195/A-P (P)*,28.15342169611491,70.07136151076068,Combined,Punjab,2,2,1032,738
80,Govt. Primary School Chak No. 185/P,28.15883,70.15848,Combined,Punjab,2,2,1272,773
