StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
138,Government BOYS PRIMARY SCHOOL MUBARIK PUR (Combined),29.98698014,71.13252782,Combined,Punjab,2,1,815,735
140,Government BOYS PRIMARY SCHOOL YOUSAF PUR (Combined),29.99962941,71.18718458,Combined,Punjab,2,2,1340,1150
136,Government GIRLS COMMUNITY MODEL ANAYAT PUR (Combined),30.00181188,71.17281165,Combined,Punjab,2,2,1271,1145
137,Government BOYS PRIMARY SCHOOL JALAL ABAD  (Combined),30.00667814,71.1541403,Combined,Punjab,2,1,842,704
135,Government BOYS PRIMARY SCHOOL CHAMAN (Combined),30.00951813,71.18072213,Combined,Punjab,2,1,785,652
122,Government BOYS ELEMENTARY SCHOOLDIN PUR (Combined),30.0254425,71.17660027,Combined,Punjab,2,2,971,822
123,Govt Boys Elementry School Deen Pur (Combined),30.0254425,71.17663027,Combined,Punjab,2,1,636,548
124,Government GIRLS ELEMENTARY SCHOOL DIN PUR (Combined),30.0254425,71.17666027,Combined,Punjab,2,2,1178,998
125,Govt. Girls Elementry School Din Pur (Combined),30.02667406,71.17215937,Male,Punjab,1,0,355,276
126,Government BOYS PRIMARY SCHOOL CHAK MITHAN (Male),30.03174156,71.19181374,Male,Punjab,2,0,1028,0
127,Government BOYS PRIMARY SCHOOL CHAK MITHAN (Male),30.03174156,71.19184374,Male,Punjab,2,0,1193,0
128,Government BOYS PRIMARY SCHOOL CHAK MITHAN (Female),30.03174156,71.19187374,Female,Punjab,0,2,0,795
129,Government BOYS PRIMARY SCHOOL CHAK MITHAN (Female),30.03174156,71.19190374,Female,Punjab,0,2,0,1045
121,Government BOYS PRIMARY SCHOOL KHAWAJA FAREED COLONY (Combined),30.03558824,71.18275228,Combined,Punjab,2,1,674,527
107,Government GIRLS PRIMARY SCHOOL SHADMAN COLONY (Female),30.04002432,71.18490957,Female,Punjab,0,3,0,1289
8,Government Boys Primary School Sbzojat (Combined),30.0414744,71.09145717,Combined,Punjab,1,1,372,308
10,Government boys Primary School Pipplan wala (Combined),30.04344002,71.10949386,Combined,Punjab,2,2,1009,962
106,BOYS PRIMARY SCHOOL HASHMI WALA  (Male),30.04638191,71.19389152,Male,Punjab,3,0,1443,0
9,Government Boys Primary school Ram Kali (Combined),30.05882659,71.08728419,Combined,Punjab,2,1,720,686
130,Government BOYS PRIMARY SCHOOL BULLAY WAHIN  (Combined),30.0588787,71.189533,Combined,Punjab,2,2,1369,1119
131,Government BOYS PRIMARY SCHOOL HASHIM WALA  (Combined),30.0588787,71.189563,Combined,Punjab,2,1,675,603
116,Government GIRLS HIGH SCHOOL LUTKRAN  (Male),30.05967372,71.18886239,Male,Punjab,2,0,1220,0
117,Government GIRLS HIGH SCHOOL LUTKRAN  (Female),30.05967372,71.18889239,Female,Punjab,0,2,0,1027
82,BOYS HIGH SCHOOL BASTI MAHARAN  (Male),30.06088622,71.17657043,Male,Punjab,4,0,2191,0
83,BOYS HIGH SCHOOL BASTI MAHARAN  (Female),30.06088622,71.17660043,Female,Punjab,0,4,0,1858
118,Government GIRLS MIDDLE SCHOOL BASTI MAHARAN  (Male),30.06303993,71.1775586,Male,Punjab,3,0,1392,0
119,Government GIRLS MIDDLE SCHOOL BASTI MAHARAN  (Female),30.06303993,71.1775886,Female,Punjab,0,3,0,1227
120,Govt Boys Elementry School Dastii Wala (Combined),30.0643994,71.1829123,Combined,Punjab,2,2,997,872
108,OFFICE OF SMALL INDUSTRIES NEAR DCO CHOWK  (Male),30.06460439822852,71.2092266738544,Male,Punjab,3,0,1479,0
109,OFFICE OF SMALL INDUSTRIES NEAR DCO CHOWK  (Female),30.06460439822852,71.2092566738544,Female,Punjab,0,3,0,1281
29,POST GRADUATE COLLEGE MULTAN ROAD  (Male),30.0648931,71.186254,Male,Punjab,2,0,801,0
30,POST GRADUATE COLLEGE MULTAN ROAD  (Male),30.0648931,71.186284,Male,Punjab,2,0,999,0
31,POST GRADUATE COLLEGE MULTAN ROAD  (Female),30.0648931,71.186314,Female,Punjab,0,2,0,671
32,POST GRADUATE COLLEGE MULTAN ROAD  (Female),30.0648931,71.186344,Female,Punjab,0,2,0,891
33,GOVERNMENT BOYS PRIMARY SCHOOL QURESHI WALA  (Male),30.0648931,71.186374,Male,Punjab,2,0,666,0
34,GOVERNMENT GIRLS PRIMARY SCHOOL ROSHAN ABAD (Female),30.0648931,71.186404,Female,Punjab,0,1,0,521
37,BOYS MIDDLE SCHOOL RAWALAY WALA  (Male),30.0648931,71.186434,Male,Punjab,3,0,1121,0
38,BOYS MIDDLE SCHOOL RAWALAY WALA  (male),30.0648931,71.186464,Male,Punjab,3,0,1239,0
39,BOYS MIDDLE SCHOOL RAWALAY WALA  (Female),30.0648931,71.186494,Female,Punjab,0,2,0,898
40,BOYS MIDDLE SCHOOL RAWALAY WALA  (Female),30.0648931,71.186524,Female,Punjab,0,2,0,1057
41,FOREST OFFICE RAILWAY ROAD  (Male),30.0648931,71.186554,Male,Punjab,3,0,1223,0
45,FOREST OFFICE RAILWAY ROAD  (Male),30.0648931,71.186584,Male,Punjab,2,0,1007,0
46,FOREST OFFICE RAILWAY ROAD  (Female),30.0648931,71.186614,Female,Punjab,0,2,0,907
42,MC BOYS PRIMARY SCHOOL NO.5  (Female),30.0648931,71.186644,Female,Punjab,0,3,0,1086
43,MC BOYS PRIMARY SCHOOL NO.5  (Male),30.0648931,71.186674,Male,Punjab,3,0,1426,0
100,INCOME TAX OFFICE (Male),30.0648931,71.186704,Male,Punjab,3,0,1233,0
101,INCOME TAX OFFICE (Female),30.0648931,71.186734,Female,Punjab,0,2,0,1089
110,Government GIRLS DEGREE COLLEGE MUZAFFRGARH  (Male),30.0648931,71.186764,Male,Punjab,2,0,1038,0
111,Government GIRLS DEGREE COLLEGE MUZAFFRGARH  (Male),30.0648931,71.186794,Male,Punjab,1,0,484,0
112,Government GIRLS DEGREE COLLEGE MUZAFFRGARH  (Female),30.0648931,71.186824,Female,Punjab,0,2,0,940
113,Government GIRLS DEGREE COLLEGE MUZAFFRGARH  (Female),30.0648931,71.186854,Female,Punjab,0,1,0,454
114,MC GIRLS PRIMARY SCHOOL NO. 6  (Male),30.0648931,71.186884,Male,Punjab,3,0,1388,0
98,MC GIRLS PRIMARY SCHOOL BUKHARI WALA  (Male),30.06498346,71.19337226,Male,Punjab,2,0,1102,0
99,MC GIRLS PRIMARY SCHOOL BUKHARI WALA  (Female),30.06498346,71.19340226,Female,Punjab,0,2,0,975
91,Government BOYS HIGH SCHOOL TALKOT (Male),30.0672410055844,71.20612173595148,Male,Punjab,2,0,863,0
92,Government Boys High School Tal Kot M.Garh (Male),30.0672410055844,71.2061517359515,Male,Punjab,2,0,949,0
93,Government BOYS HIGH SCHOOL TALKOT  (Female),30.0672410055844,71.2061817359515,Female,Punjab,0,3,0,1618
104,Government GIRLS ELEMENTARY SCHOOL TALIRI  (Female),30.06820580363749,71.21144563756894,Female,Punjab,0,2,0,858
105,Government GIRLS ELEMENTARY SCHOOL TALIRI  (Female),30.06820580363749,71.2114756375689,Female,Punjab,0,2,0,621
115,MC BOYS PRIMARY SCHOOL NO.1 (MUZAFFARGARH) (Female),30.068335,71.193075,Female,Punjab,0,3,0,1239
25,Government Workers Welfare School Muzaffar Garh (Combined),30.06842065,71.15889601,Combined,Punjab,1,1,456,338
102,Government BOYS MIDDLE SCHOOL TALIRI  (Male),30.06851698,71.21053491,Male,Punjab,2,0,984,0
103,Government BOYS MIDDLE SCHOOL TALIRI  (Male),30.06851698,71.21056491,Male,Punjab,2,0,791,0
88,Government BOYS HIGH SCHOOL MUZAFFARGARH  (Male),30.068672226369987,71.19059548710436,Male,Punjab,1,0,474,0
