StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
20,Government  Boys Primary School Kotla Laal Shah(Masoo Shah)(Male),29.5105467,70.8498401,Male,Punjab,2,0,1433,0
21,Government  boys Primary School Kotla Laal Shah (Masoo Shah)(Female),29.5105467,70.8498701,Female,Punjab,0,2,0,1221
22,Government  Girls Primary School Kotla Laal Shah (Mohane wala)(Male),29.5105467,70.8499001,Male,Punjab,2,0,786,0
23,Government  Girls Primary School Kotla Laal Shah (Mohane Wala)(Female),29.5105467,70.8499301,Female,Punjab,0,2,0,661
24,Government  Boys Primary School Muslim Chejarra,29.5105467,70.8499601,Combined,Punjab,1,1,245,198
25,Government  Boys Primary School- Khar wala,29.5105467,70.8499901,Combined,Punjab,2,2,1331,1154
29,Government  Girls Primary School Bana Roya,29.5105467,70.8500201,Combined,Punjab,1,1,463,400
30,Government  Boys High School Bair Band Awal (Male),29.5105467,70.8500501,Male,Punjab,3,0,1804,0
31,Government  Boys High School Bair Band Awal (Female),29.5105467,70.8500801,Female,Punjab,0,2,0,1468
32,Government  Boys High School Bair Band Awal  (Male),29.5105467,70.8501101,Male,Punjab,2,0,1252,0
33,Union Council- Office Bair Band Awal (Female),29.5105467,70.8501401,Female,Punjab,0,2,0,967
36,Government  Boys Primary School Bair Band II (Shair Wala) (Male),29.5105467,70.8501701,Male,Punjab,2,0,1228,0
38,Government  Girls Primary School Bair Band II (Meer Wala) (Female),29.5105467,70.8502001,Female,Punjab,0,2,0,1014
122,Government  Boys Primary School Sher Sultan(Ramzan Khan),29.5105467,70.8502301,Combined,Punjab,1,1,629,490
124,Government  Boys Primary School Sher Sultan(Ramzan Khan),29.5105467,70.8502601,Combined,Punjab,1,1,334,228
123,Government  Boys Primary School- Seu Singh,29.5105467,70.8502901,Combined,Punjab,2,2,1351,1052
125,Government  Boys Primary School- Seu Singh,29.5105467,70.8503201,Combined,Punjab,1,1,667,514
126,Government  Boys Primary School- Seu Singh,29.5105467,70.8503501,Combined,Punjab,1,1,805,598
129,Government  Boys Primary School- Seu Singh,29.5105467,70.8503801,Combined,Punjab,1,1,394,317
127,Government  Boys Primary School- Sher Sultan (Inayat Pur)(Male),29.5105467,70.8504101,Male,Punjab,2,0,982,0
128,Government  Boys Primary School- Sher Sultan (Inayat Pur)(Female),29.5105467,70.8504401,Female,Punjab,0,2,0,832
130,Government  Girls Primary School Sher Sultan (Esay wala) (Female),29.5105467,70.8504701,Female,Punjab,0,2,0,678
