StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
1,Govt.Model P/S Lakhanwal No. 2 Boys Section (Combined),32.6040049,74.0790535,Combined,Punjab,1,1,553,511
4,Govt.Boys H/S Lakhanwal (Combined),32.6040049,74.0790835,Combined,Punjab,2,2,829,725
2,Govt.Model P/S Lakhanwal No. 2 Boys Section (Combined),32.6040049,74.0791135,Combined,Punjab,1,1,653,436
3,Govt.Boys H/S Lakhanwal (Combined),32.6040049,74.0791435,Combined,Punjab,2,1,812,611
5,Govt.Boys H/S Lakhanwal (Combined),32.6040049,74.0791735,Combined,Punjab,1,1,352,326
7,Govt. Girls Community model E/S Kassoki Gujrat   (Male),32.6040049,74.0792035,Male,Punjab,2,0,1018,0
71,Govt. Boys P/S Rehan (Combined),32.6040049,74.0792335,Combined,Punjab,1,1,571,472
72,Govt. Boys P/S  Gondal  Sharif  (Combined),32.6040049,74.0792635,Combined,Punjab,1,1,263,278
9,Govt. Boys P/S Kasooki  (Combined),32.6040049,74.0792935,Combined,Punjab,2,1,745,577
79,Govt. Model  P/S Dhariwal (Combined),32.6040049,74.0793235,Combined,Punjab,2,1,816,636
80,Govt. Boys P/S Ranganwala (Combined),32.6040049,74.0793535,Combined,Punjab,1,1,532,343
81,Govt. Girls P/S  Sheikh Ali Kay  (Combined),32.6040049,74.0793835,Combined,Punjab,1,1,556,406
82,Govt. Boys E/S Paejoki (Combined),32.6040049,74.0794135,Combined,Punjab,2,1,705,542
13,Govt. boys E/S Nowshera Khawajgan (Combined),32.6063446,74.0841444,Combined,Punjab,2,2,1233,946
14,Girls P/S Noshehra Khawajgan (Combined),32.6063446,74.0841744,Combined,Punjab,1,1,652,435
15,Govt. Girls E/S Behal Pur (Combined),32.6063446,74.0842044,Combined,Punjab,2,2,1067,788
17,Boys P/S Behal Pur (Combined),32.6063446,74.0842344,Combined,Punjab,2,1,361,323
18,Boys M/S Natt Sharqi (Combined),32.6063446,74.0842644,Combined,Punjab,1,1,810,606
19,Govt. Model P/S Dhool Kalan Markaz Tanda (Combined),32.6063446,74.0842944,Combined,Punjab,2,1,1011,759
43,Govt. Model  P/S Budhan (Combined),32.6063446,74.0843244,Combined,Punjab,1,1,693,548
44,Govt. Boys P/S Gujgran (Combined),32.6063446,74.0843544,Combined,Punjab,1,1,768,634
55,Boys H/S Behlolpur  High Portion (Combined),32.6063446,74.0843844,Combined,Punjab,2,1,1030,760
56,Boys. H/S  Behlolpur Middle Portion (Combined),32.6063446,74.0844144,Combined,Punjab,2,1,637,434
57,Govt. Girl PS  Kurri Sharif (Combined),32.6063446,74.0844444,Combined,Punjab,2,2,1119,818
60,Govt. Girls H/S  Marri Khokharan (Combined),32.6063446,74.0844744,Combined,Punjab,2,1,598,419
61,Govt. Girls Community Model E/S Shampur Khokhran  (Combined),32.6063446,74.0845044,Combined,Punjab,1,1,407,302
62,Govt. Girls Community Model E/S Shampur Khokhran  (Combined),32.6063446,74.0845344,Combined,Punjab,1,1,657,475
63,Govt. Model  PS Sheikh Chugani (Combined),32.6063446,74.0845644,Combined,Punjab,2,1,621,536
64,Govt. Model P/S  Hattar (Combined),32.6063446,74.0845944,Combined,Punjab,1,1,418,269
65,Govt. Boys P/S Randheer (Combined),32.6063446,74.0846244,Combined,Punjab,1,1,869,621
10,Girls P/S Chak Marzai (Combined),32.6063446,74.0846544,Combined,Punjab,1,1,622,485
11,Govt. Islamia H/S Chopala (Combined),32.6063446,74.0846844,Combined,Punjab,1,1,776,592
12,Govt. Girls H/S Chopala (Combined),32.6063446,74.0847144,Combined,Punjab,1,1,677,559
200,Boys P/S Karim Dad (Combined),32.6080998,74.0821144,Combined,Punjab,1,1,491,379
20,Govt. Model P/S Mattianwala (Combined),32.6081003,74.0821178,Combined,Punjab,1,1,833,626
21,Govt. Model  P/S Nijjan (Combined),32.6081003,74.0821478,Combined,Punjab,1,1,411,327
22,Govt. Boys H/S Kotli Bagwan(A) North Side (Combined),32.6081003,74.0821778,Combined,Punjab,1,1,824,542
23,Govt.Boys H/S Kotli Bagwan (B) South Side (Combined),32.6081003,74.0822078,Combined,Punjab,1,1,770,585
24,Govt. Boys P/S Surkhpur (Combined),32.6081003,74.0822378,Combined,Punjab,2,1,969,684
25,Basic  Health Unit- Surkhpur (Combined),32.6081003,74.0822678,Combined,Punjab,2,1,968,685
26,Basic Health Unit- Surkhpur (Combined),32.6081003,74.0822978,Combined,Punjab,2,2,1409,1007
27,Basic Health Unit- Surkhpur (Combined),32.6081003,74.0823278,Combined,Punjab,1,1,200,150
30,Govt. Girls P/S Rangra (Combined),32.6081003,74.0823578,Combined,Punjab,2,1,850,628
33,Govt. Girls M/S Barrilla Sharif  (Combined),32.6081003,74.0823878,Combined,Punjab,2,1,833,614
35,Govt. Model P/S Gagian (Combined),32.6081003,74.0824178,Combined,Punjab,1,1,413,376
38,Govt. Model  P/S Chak Sheru (Combined),32.6081003,74.0824478,Combined,Punjab,1,1,841,718
39,Govt.Model  P/S Kakkianwala (Combined),32.6081003,74.0824778,Combined,Punjab,1,1,869,644
40,Govt.E/S Qila Sura Singh (Combined),32.6081003,74.0825078,Combined,Punjab,1,1,645,480
41,Govt. Boys P/S Qila Sura Singh (Combined),32.6081003,74.0825378,Combined,Punjab,2,1,811,567
45,Govt. Boys P/S Mota (Combined),32.6081003,74.0825678,Combined,Punjab,2,2,1109,890
48,RHC- Tanda (Combined),32.6081003,74.0825978,Combined,Punjab,2,1,619,480
49,RHC- Tanda (Combined),32.6081003,74.0826278,Combined,Punjab,2,1,669,487
155,Govt. Girls E/S Gharera (Combined),32.6101621,74.0781357,Combined,Punjab,1,1,1027,815
164,Govt. Boys P/S Kolian Hashim (Combined),32.6101621,74.0781657,Combined,Punjab,1,1,475,412
165,Govt. Boys P/S Lahorian (Combined),32.6101621,74.0781957,Combined,Punjab,1,1,631,550
171,Govt. Boys P/S  Chak Behram (Combined),32.6101621,74.0782257,Combined,Punjab,1,1,407,310
172,Govt. Boys H/S Bhakray wali (Combined),32.6101621,74.0782557,Combined,Punjab,1,1,650,545
173,Govt. Boys H/S Bhakray wali (Combined),32.6101621,74.0782857,Combined,Punjab,1,1,583,443
174,Govt. P/S Kotla Dheenda (Combined),32.6101621,74.0783157,Combined,Punjab,1,1,520,447
203,Govt. Boys E/S Majra (Primary Portion) (Combined),32.6101621,74.0783457,Combined,Punjab,1,1,803,655
183,Govt. Boys P/S Darwa (Combined),32.6101621,74.0783757,Combined,Punjab,1,1,438,382
185,Govt. Boys H/S Fateh Pur (Combined),32.6101939,74.0784326,Combined,Punjab,1,1,684,493
190,BHU Fateh pur (Combined),32.6101939,74.0784626,Combined,Punjab,1,1,356,281
191,Govt. Model  P/S Bawanta (Combined),32.6101939,74.0784926,Combined,Punjab,1,1,489,425
192,Govt. Model  P/S  Shah Pur (Combined),32.6101939,74.0785226,Combined,Punjab,1,1,535,411
193,Govt. Model P/S Jhaans (Combined),32.6101939,74.0785526,Combined,Punjab,1,1,568,460
194,Govt. Model  P/S  Phira Khathana  (Combined),32.6101939,74.0785826,Combined,Punjab,1,1,447,346
195,Govt. Model P/S Mehsam (Combined),32.6101939,74.0786126,Combined,Punjab,1,1,745,626
196,Govt. Girls  P/S  Khanowal  (Combined),32.6101939,74.0786426,Combined,Punjab,1,1,418,328
197,Boys P/S Chodowal (Combined),32.6101939,74.0786726,Combined,Punjab,2,1,612,454
198,Govt. Girls Primary Model School Chodowal (Combined),32.6101939,74.0787026,Combined,Punjab,2,1,816,572
199,Girls P/S Bithowal (Combined),32.6101939,74.0787326,Combined,Punjab,1,1,388,263
206,Govt. Girl P/S Nano Handa (Combined),32.6101939,74.0787626,Combined,Punjab,1,1,451,341
204,Boys P/S Dharekari(A) (Combined),32.6111155,74.0792686,Combined,Punjab,1,1,748,613
205,Govt. Girls E/S  Dharekari(B) (Combined),32.6111155,74.0792986,Combined,Punjab,1,1,638,535
16,Govt. Girls E/S Behal Pur (Combined),32.64592,74.27644,Combined,Punjab,1,1,393,348
125,Govt. Model  P/S Harrar (Combined),32.6513626,74.2151811,Combined,Punjab,1,1,368,298
126,Govt. Girls  P/S  Mahay (Combined),32.6513626,74.2152111,Combined,Punjab,1,1,361,324
127,Govt. Boys P/S Kharian Khurd (Combined),32.6513626,74.2152411,Combined,Punjab,1,1,370,349
129,Govt. Boys H/S Hazara Mughlan  (Male),32.6513626,74.2152711,Male,Punjab,2,0,992,0
131,Govt. Model  P/S Ghaian (Combined),32.6513626,74.2153011,Combined,Punjab,1,1,618,525
132,Govt. Boys P/S Do Khoa (Combined),32.6513626,74.2153311,Combined,Punjab,1,1,431,408
133,Govt. Model  P/S Bhoj Pur (Combined),32.6513626,74.2153611,Combined,Punjab,2,1,822,633
144,Govt. Boys P/S  Dhann (Combined),32.6513626,74.2153911,Combined,Punjab,1,1,555,432
145,Govt. Model  P/S Chohan (Combined),32.6513626,74.2154211,Combined,Punjab,1,1,588,438
146,Govt. Boys P/S Kathana (Combined),32.6513626,74.2154511,Combined,Punjab,1,1,644,525
175,Govt. Boys H/S Kotli Kohala  (Male),32.6513626,74.2154811,Male,Punjab,2,0,1027,0
176,Govt. Boys H/S Kotli Kohala (Combined),32.6513626,74.2155111,Combined,Punjab,1,1,693,567
177,Govt. Girls Community Model E/S Kotli Kohala   (Female),32.6513626,74.2155411,Female,Punjab,0,2,0,867
178,Govt. Model P/S Bohian (Combined),32.6513626,74.2155711,Combined,Punjab,1,1,378,290
77,Govt. Model P/S Kasib (Combined),32.6513626,74.2156011,Combined,Punjab,2,2,1049,823
78,Govt. Model P/S Wazeed (Boys Portion) (Combined),32.6513626,74.2156311,Combined,Punjab,1,1,787,640
86,Govt. Girls M/S Chak Miran (Combined),32.6513626,74.2156611,Combined,Punjab,2,2,1057,873
88,Govt. Boys PS Jhamat Abad (Combined),32.6513626,74.2156911,Combined,Punjab,2,1,723,549
91,Govt. Girls PS Jasoo Srai (Combined),32.6513626,74.2157211,Combined,Punjab,1,1,586,474
92,Govt. Girls PS Dhudrai Sharqi (Combined),32.6513626,74.2157511,Combined,Punjab,2,1,630,527
93,Govt. Boys H/S Chak Kamala (Combined),32.6513626,74.2157811,Combined,Punjab,1,1,582,439
94,Boys H/S Karrianwala (Combined),32.6513626,74.2158111,Combined,Punjab,2,1,588,510
95,Boys H/S Karrianwala (Combined),32.6513626,74.2158411,Combined,Punjab,1,1,1206,976
96,Govt. Girls HSS Karrianwala(A)  (Combined),32.6513626,74.2158711,Combined,Punjab,2,2,677,678
97,Govt. Girls HSS Karrianwala(B)  (Combined),32.6513626,74.2159011,Combined,Punjab,2,2,1283,1160
98,Govt. Girls M/S Dhamthal (Combined),32.6513626,74.2159311,Combined,Punjab,2,2,1310,1140
101,Govt. Girls PS Chalay Sharif (Combined),32.6513626,74.2159611,Combined,Punjab,1,1,295,268
119,Boys P/S Bhangranwala (Combined),32.6513626,74.2159911,Combined,Punjab,1,1,496,385
123,Govt. Boys E/S  Kalas  (Combined),32.6513626,74.2160211,Combined,Punjab,1,1,335,279
8,Govt. Girls Community model E/S Kassoki Gujrat   (Female),32.65961,74.30424,Female,Punjab,0,2,0,859
6,Girls H/S Lakhanwal  (Parimary Portion) (Combined),32.66903,74.25784,Combined,Punjab,2,2,644,552
209,Govt. Girls E/S Thimka (Combined),32.66997564304015,74.18940232966041,Combined,Punjab,1,1,827,617
59,Govt. Girls H/S  Marri Khokharan (Combined),32.67152,74.40681,Combined,Punjab,2,2,815,692
207,Govt. Boys P/S Thimka (Combined),32.6758306374767,74.19350802621602,Combined,Punjab,1,1,785,609
210,Govt. Model  P/S Behraj (Combined),32.67759737329112,74.24091687501739,Combined,Punjab,2,1,714,651
208,Govt. Girls  P/S Naffrian (Combined),32.67780867884521,74.20148663695946,Combined,Punjab,1,1,591,493
69,Govt. Boys Public High School Bhagowal kalan  (Female),32.67846,74.32011,Female,Punjab,0,2,0,1084
70,Govt. Boys Public High School Bhagowal kalan  (Male),32.67846,74.32014,Male,Punjab,3,0,1352,0
89,Govt. E/S Kot Ranja (Combined),32.67876,74.20866,Combined,Punjab,1,1,332,284
211,Govt. Girls P/S Kot Ranjha (Combined),32.679767923789086,74.20790715292244,Combined,Punjab,1,1,424,300
180,Boys H/S Alam Garh (Combined),32.68304,74.16049,Combined,Punjab,1,1,487,417
181,Boys H/S Alam Garh (Combined),32.68304,74.16052,Combined,Punjab,1,1,457,410
179,Girls H/S Alam Garh (Combined),32.68371369106955,74.1624032861873,Combined,Punjab,2,1,828,661
67,Govt. Girls H/S Bhagowal Kalan  (Male),32.683987653471696,74.32718470780175,Male,Punjab,2,0,961,0
68,Govt. Girls H/S Bhagowal Kalan  (Female),32.683987653471696,74.3272147078017,Female,Punjab,0,2,0,792
66,Govt. Boys E/S  Bhagowal Kalan (Combined),32.68798928199963,74.32637929110562,Combined,Punjab,1,1,917,696
182,Girls P/S Dhilu Gharbi (Combined),32.689953967823534,74.17356897100318,Combined,Punjab,1,1,571,452
189,Govt. Girls H/S Fateh Pur(B)  (Female),32.69089,74.12812,Female,Punjab,0,2,0,1011
186,Govt. Girls H/S Fateh Pur(A) (Combined),32.69089,74.12815,Combined,Punjab,1,1,584,474
187,Govt. Girls H/S Fateh Pur(A) (Combined),32.69089,74.12818,Combined,Punjab,2,1,721,573
188,Govt. Girls H/S Fateh Pur(B)  (Male),32.69089,74.12821,Male,Punjab,2,0,1086,0
73,Govt. Boys P/S Bheelowal (Combined),32.69395572719543,74.32650637734277,Combined,Punjab,1,1,321,251
74,Govt. Boys P/S Bheelowal (Combined),32.69395572719543,74.3265363773428,Combined,Punjab,1,1,723,534
212,Girls P/S Kotla Soian  (Combined),32.69439580247735,74.21085164564352,Combined,Punjab,2,1,884,623
52,RHC Tanda  (Combined),32.69902,74.36549,Combined,Punjab,2,1,747,619
184,Girls P/S Jaid Pur (Combined),32.69985886890316,74.18676825664964,Combined,Punjab,1,1,764,589
111,Govt. P/S  Lohsar Kalan (Combined),32.70089253404228,74.22172515479394,Combined,Punjab,1,1,545,437
76,Govt. P/S Minuwal (Combined),32.7036,74.32612,Combined,Punjab,2,1,631,521
50,Govt. Boys HSS Tanda (A) High School Block (Combined),32.70489,74.36987,Combined,Punjab,1,1,608,479
51,Govt. Boys HSS Tanda (A) High School Block (Combined),32.70489,74.3699,Combined,Punjab,1,1,455,368
53,Govt. Boys HSS Tanda (B) High School Block (Combined),32.70489,74.36993,Combined,Punjab,2,1,555,452
54,Govt. Boys HSS Tanda (B) High School Block (Combined),32.70489,74.36996,Combined,Punjab,2,2,988,762
46,Govt.Girls H/S Tanda North Side (Combined),32.70677318471096,74.372442346605,Combined,Punjab,2,1,638,570
47,Govt.Girls H/S Tanda North Side (Combined),32.70677318471096,74.372472346605,Combined,Punjab,2,1,649,492
110,Govt. Girls P/S Dhoda Sharif (Combined),32.70944264736156,74.23211823534038,Combined,Punjab,2,1,742,611
75,Govt.Model  P/S Shah Jahani (Combined),32.7107,74.32483,Combined,Punjab,1,1,900,688
104,Govt. Boys P/S Phambarra (Combined),32.7154145706093,74.23431427939144,Combined,Punjab,1,1,382,287
90,Govt. Boys P/S Murali (Combined),32.71611315821427,74.28279857849404,Combined,Punjab,1,1,529,434
159,Govt. Girls M/S Surkkian (Combined),32.72266,74.18977,Combined,Punjab,1,1,664,535
168,Govt. Girls H/S Pero Shah (Combined),32.725861000656195,74.15824314462877,Combined,Punjab,1,1,473,386
