StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
159,Government Boys Middle School Monger         (Combined),30.9895406,70.9541226,Combined,Punjab,2,1,680,551
108,Government Girls High School Chak No.251/TDA        (Combined),31.147860023926633,71.20174402691003,Combined,Punjab,2,2,962,728
112,Government Boys Primary School Chak No.253/TDA        (Combined),31.15055,71.1525,Combined,Punjab,1,1,434,350
38,Government Girls High School Chak No. 250/TDA        (Combined),31.161739014156698,71.21806374013346,Combined,Punjab,2,2,910,760
33,Government Boys Primary School Chak No. 247/TDA        (Combined),31.162080021114733,71.23978056124385,Combined,Punjab,2,2,822,611
71,Government Girls Primary School 102/ML        (Combined),31.16222,71.08111,Combined,Punjab,2,1,861,575
105,Government Girls Primary School Chak No. 246/TDA        (Combined),31.16245,71.25766,Combined,Punjab,1,1,581,379
69,Government Boys School 101/ML        (Combined),31.163569881320576,71.09163040699852,Combined,Punjab,1,1,475,366
56,Government Boys High School Bagh Wala        (Combined),31.166532304897782,70.97397543425413,Combined,Punjab,2,2,766,602
107,(150)Government Boys Primary School Chak No. 115/ML        (Female),31.166995738449522,71.17146841103923,Female,Punjab,0,2,0,834
106,Government Boys Primary School Chak No. 115/ML        (Male),31.166995738449522,71.1714984110392,Male,Punjab,2,0,1052,0
104,(148)Government Girls Primasy School  Chak 242-B/TDA        (Combined),31.16907,71.27792,Combined,Punjab,2,1,636,462
113,(156)Government Girls Primary School Chak No.113 /ML        (Combined),31.17022,71.15085,Combined,Punjab,2,1,665,492
70,(123)Government  Boys Middle  School 100/ML        (Combined),31.17219,71.11127,Combined,Punjab,2,1,735,474
61,Government Boys Middle School 102/TDA.        (Male),31.17234365491883,71.02549664006524,Male,Punjab,3,0,1151,0
62,(116)Government Boys Middle School 102/TDA.        (Female),31.17234365491883,71.0255266400652,Female,Punjab,0,2,0,1001
110,(154)Government Girls Middle School Chak No. 114/ML        (Combined),31.17266,71.1306,Combined,Punjab,1,1,503,387
36,(151)Government Girls Middle School Chak No. 107/ML        (Female),31.172827519991188,71.18738149079796,Female,Punjab,0,3,0,1140
37,Government Girls Middle School Chak No. 107/ML        (Male),31.172827519991188,71.187411490798,Male,Punjab,3,0,1347,0
25,(94)Civil Viternary Hospital Fatehpur         (Female),31.1756937104335,71.20705749167118,Female,Punjab,0,3,0,1120
26,Civil Viternary Hospital Fatehpur         (Female),31.1756937104335,71.2070874916712,Female,Punjab,0,2,0,866
27,Government Boys High School Fatehpur Part-I        (Male),31.176334038028404,71.21507029005679,Male,Punjab,2,0,818,0
28,(95)Government Boys Secondary School Fatehpur Part-I        (Male),31.176334038028404,71.2151002900568,Male,Punjab,3,0,1331,0
29,(96)Government Boys High School Fatehpur Part-II        (Female),31.176334038028404,71.2151302900568,Female,Punjab,0,2,0,1014
30,Government Boys Secondary School Fatehpur Part-II        (Female),31.176334038028404,71.2151602900568,Female,Punjab,0,2,0,663
63,Government Boys Primary School 104/ML        (Combined),31.17639,71.05251,Combined,Punjab,2,2,1012,770
23,Muncipal Committee Fatehpur         (Male),31.177412482711826,71.20747088298927,Male,Punjab,2,0,955,0
24,(93)Muncipal Committee Fatehpur         (Male),31.177412482711826,71.2075008829893,Male,Punjab,3,0,1206,0
31,Government Girls Model High School Fatehpur        (Male),31.17831008578068,71.21539281100509,Male,Punjab,4,0,1739,0
32,Government Girls Model High School Fatehpur Part-ll        (Female),31.17831008578068,71.2154228110051,Female,Punjab,0,3,0,1428
