StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
99,Government Girls Middle  School  Thind Klan Nashaib Malik Wala   (Combined),30.9570487,70.9415124,Combined,Punjab,2,2,956,801
101,Government  Primary School Lodhra     Sumra Nashaib.   (Combined),30.9570487,70.9415424,Combined,Punjab,2,1,936,756
102,Government Girls High  School Sumra Nashaib Shumali.   (Combined),30.9570487,70.9415724,Combined,Punjab,2,1,727,615
103,Government Girls Communities Medel School Basti Joya Sumra Nashaib ShumalI  (Combined),30.9570487,70.9416024,Combined,Punjab,2,1,553,469
104,Government Boys High  School Annar Wala   (Combined),30.9570487,70.9416324,Combined,Punjab,2,2,1042,856
105,Government BoysPrimary School Karoo Magasi Wala   (Combined),30.9570487,70.9416624,Combined,Punjab,2,2,775,694
106,Government Boys Primary School Basti Gurmani   (Combined),30.9570487,70.9416924,Combined,Punjab,2,1,947,802
107,Government Girls Primary School Imtiaz Abad   (Combined),30.9570487,70.9417224,Combined,Punjab,1,1,496,448
110,Government Girls Middle  School 120-A/TDA   (Combined),30.9570487,70.9417524,Combined,Punjab,2,1,817,719
111,Govt Boys Middle School 274/TDA   (Combined),30.9570487,70.9417824,Combined,Punjab,1,1,725,561
112,Government Girls Primary School 128/TDA(Old) (Combined),30.9570487,70.9418124,Combined,Punjab,2,2,978,855
114,Government Girls Primary School 122/TDA (Abdullah Wala)   (Combined),30.9570487,70.9418424,Combined,Punjab,2,2,1201,939
115,Government Boys Primary School 117/TDA   (Combined),30.9570487,70.9418724,Combined,Punjab,2,2,1052,852
117,Government Boys Primary School 114-A/TDA  (Combined),30.9570487,70.9419024,Combined,Punjab,2,1,967,792
100,Government Primary  School Pacca Thindan Wala   (Combined),31.01642159405856,70.92951219382293,Combined,Punjab,2,2,913,782
134,Government Boys Primary School Shafi Abad (Combined),31.026422766600756,70.93778224750162,Combined,Punjab,1,1,472,369
18,Government Boys Primary School Chak No. 331/TDA        (Combined),31.02797044333854,71.2439204872573,Combined,Punjab,2,2,858,726
133,Government Boys Primary School Thind Nashaib   (Combined),31.035991882532556,70.93831686563543,Combined,Punjab,2,1,847,733
123,Government Boys Middle  School Wara Gishkorey Nashaib   (Male),31.03658363116728,70.91253528340806,Male,Punjab,2,0,1187,0
124,Government Boys Middle  School Wara Gishkorey Nashaib   (Female),31.03658363116728,70.9125652834081,Female,Punjab,0,2,0,968
14,Government Boys Primary School Chak No. 319/TDA        (Male),31.04471171608104,71.24924795780876,Male,Punjab,2,0,1072,0
15,Government Boys Primary School Chak No. 319/TDA        (Female),31.04471171608104,71.2492779578088,Female,Punjab,0,2,0,877
128,Government Girls Primary School Akhter Abad   (Combined),31.048834189899193,70.88178062047456,Combined,Punjab,1,1,678,544
132,Government Girls Primary School 114-B/TDA (Combined),31.049349061862063,70.96779230620439,Combined,Punjab,2,1,882,679
131,Government Boys Primary School 114-B/TDA   Shahni Wala   (Combined),31.05016278061821,70.96547517368542,Combined,Punjab,1,1,600,446
19,Government Boys Primary School Chak No. 326/TDA        (Combined),31.0505,71.27615,Combined,Punjab,1,1,508,396
16,Government Girls Elementry School Chak No. 325/TDA        (Female),31.050626198987473,71.30190347414714,Female,Punjab,0,2,0,946
17,Government Boys Primary School Chak No. 325/TDA        (Male),31.050626198987473,71.3019334741471,Male,Punjab,2,0,1159,0
59,Government Boys Primary School 291/TDA  (Combined),31.053091219032886,71.1754886730254,Combined,Punjab,2,1,692,488
10,Government Boys Middle School Chak No. 315/TDA        (Combined),31.054347252396116,71.22569976682946,Combined,Punjab,2,2,970,729
58,Government Girls Middle School 290/TDA        (Combined),31.0572200394487,71.16098893836072,Combined,Punjab,2,2,975,681
121,Government Boys High  School Basti Shado Khan (Part-II)    (Male),31.05804343569564,70.90868197492429,Male,Punjab,3,0,1646,0
122,Government Boys High  School Basti Shado Khan (Part-II)    (Male),31.05804343569564,70.9087119749243,Male,Punjab,2,0,996,0
118,Basic Health Unoit  Basti Shado Khan   (Combined),31.05846581187594,70.90825980001738,Combined,Punjab,2,1,978,768
125,Government Boys Middle  School Noshera Thal Jandi   (Combined),31.058777885109723,70.94627757504702,Combined,Punjab,2,1,966,771
129,Government Boys  High  School Durratta   (Combined),31.065977551359794,70.96892981597111,Combined,Punjab,1,1,698,536
11,Government Boys High School Chak No. 321/TDA        (Male),31.06629617035928,71.28456186946708,Male,Punjab,2,0,1082,0
