StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
31,Government Boys Primary School Chak No. 500/TDA (Combined),30.670066977252123,71.45366570882814,Combined,Punjab,2,2,999,623
32,Government Boys Middle School Chak No. 498/TDA (Combined),30.69138872134166,71.45229605798826,Combined,Punjab,2,1,658,475
30,Government Boys Primary School Chak No. 491/TDA (Combined),30.70098771955731,71.47096162741217,Combined,Punjab,1,1,516,357
77,Government Boys Primary School Gadhey Wala alias Khu Radhu (Combined),30.70509492426027,71.5318127464197,Combined,Punjab,2,1,624,444
29,Government Boys Primary School Chak No. 492/TDA (Combined),30.70779630691359,71.45367969865278,Combined,Punjab,1,1,489,355
22,Government Boys Primary School 125/ML (Combined),30.7162726584184,71.38809548608141,Combined,Punjab,1,1,606,374
19,Government Boys Primary School 487/TDA (Female),30.7275,71.42956,Female,Punjab,0,2,0,866
76,Government Boys Primary School Shergarh Arakiwala(Combined),30.73228047348632,71.55370615066411,Combined,Punjab,1,1,588,394
23,Government Boys High School 123/ML (Combined),30.7539013298244,71.35061409267162,Combined,Punjab,1,1,557,341
18,Government Boys Primary Schoo 486/TDA (Male),30.757395701365205,71.42900160250431,Male,Punjab,3,0,1171,0
20,Union Council Office Sher Garh (Male),30.758972178880036,71.4348681259728,Male,Punjab,2,0,938,0
21,Union Council Office Sher Garh (Female),30.758972178880036,71.4348981259728,Female,Punjab,0,2,0,661
24,Government Boys Primary School 118/ML (Combined),30.776086474793626,71.39610109073031,Combined,Punjab,2,1,677,431
25,Government Girls Middle School Chak No. 475/TDA  (Combined),30.777515014258526,71.35591526743995,Combined,Punjab,2,2,870,617
26,Government Boys High School Chak No. 482/TDA (Combined),30.78405107633355,71.42978791392868,Combined,Punjab,2,1,710,500
68,Government Boys Primary School Paran Wala (Combined),30.813794094210373,71.67166464568577,Combined,Punjab,1,1,352,306
27,Government Girls  Primary School 451/TDA (Combined),30.81783,71.38239,Combined,Punjab,1,1,386,270
28,Government Boys Middle School Chak No. 473/TDA (Combined),30.819356133344815,71.35949285362413,Combined,Punjab,2,2,816,623
7,Government Boys Primary School 447/TDA (Combined),30.825091903639677,71.45020678719943,Combined,Punjab,2,2,1041,824
17,Government Boys Primary School Kung Wala (Combined),30.83675,71.54407,Combined,Punjab,2,2,759,571
16,Government Boys Primary School Mahoo Wala  (Chak 332/TDA) (Combined),30.84069,71.49734,Combined,Punjab,2,2,1331,948
9,Government Boys Primary School 445/TDA (Combined),30.85489,71.42583,Combined,Punjab,2,2,989,739
