StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
42,Government  Girls Primary School Bait Wasava Kalro    (Female),30.68469,70.8986,Female,Punjab,0,2,0,1041
11,Government Girls Middle  School Pittan Wala   (Male),30.6980911,71.0830192,Male,Punjab,2,0,1235,0
12,Government Girls Middle  School Pittan Wala   (Female),30.6980911,71.0830492,Female,Punjab,0,2,0,1096
64,Government Girls Primary School Korey Wala   (Female),30.75683,70.9464,Female,Punjab,0,2,0,995
116,Government Girls Primary School 468/TDA        (Female),30.76416,71.32795,Female,Punjab,0,2,0,787
3,Government Girls High School Peer Jaggi   (Combined),30.7643438,71.0906584,Combined,Punjab,2,1,896,706
2,Government Boys High  School Peer Jaggi.   (Female),30.7643438,71.0906884,Female,Punjab,0,2,0,907
4,Government Boys High  School Peer Jaggi.   (Male),30.7643438,71.0907184,Male,Punjab,2,0,1133,0
5,Government Girls Middle  School 171/TDA   (Combined),30.7643438,71.0907484,Combined,Punjab,2,1,821,719
6,Government  Boys Primary School Basti Allah Bakhsh  (Combined),30.7643438,71.0907784,Combined,Punjab,1,1,512,417
7,Government Boys High  School 172/TDA   (Combined),30.7643438,71.0908084,Combined,Punjab,2,2,1109,863
8,Government Girls High  School 173/TDA   (Combined),30.7643438,71.0908384,Combined,Punjab,2,1,1064,701
9,Government Boys High  School 174/TDA   (Combined),30.7643438,71.0908684,Combined,Punjab,2,1,961,735
10,Government  Boys Primary School Dad Wala   (Combined),30.7643438,71.0908984,Combined,Punjab,2,1,1036,721
14,Government Boys Primary School Pahoor Wala  (Combined),30.7643438,71.0909284,Combined,Punjab,2,1,773,508
68,Veterinary Hospital Kot Sultan   (Female),30.77068,70.93114,Female,Punjab,0,2,0,1117
44,Government Boys Middle  School Shah Wala (Dera Manzoor Shah)   (Combined),30.771924,70.8782766,Combined,Punjab,1,1,749,636
47,Government Boys Primary School Khajian Sharaf Din   (Combined),30.771924,70.8783066,Combined,Punjab,1,1,723,619
48,Government Boys Primary School Husnain Abad   (Combined),30.771924,70.8783366,Combined,Punjab,2,1,824,687
49,Government Girls Primary School Warar Nashaib   (Combined),30.771924,70.8783666,Combined,Punjab,1,1,479,439
51,Government Girls Primary School Bait Gujji   (Combined),30.7751375,70.9020937,Combined,Punjab,1,1,676,573
50,Government Boys Middle  School Bait Gujji   (Combined),30.776167193083513,70.86837960918383,Combined,Punjab,2,1,979,791
13,Government  Boys Primary School Sharif Arain  (Combined),30.777030301245404,71.03270277650485,Combined,Punjab,1,1,705,493
33,Government  Primary School Basti Loharan   (Combined),30.778351,70.9259107,Combined,Punjab,1,1,574,478
34,Government Girls  Middle  School Bait Wasava Shumali   (Combined),30.778351,70.9259407,Combined,Punjab,1,1,756,615
35,Government Boys Middle  School Basti Khirani   (Male),30.778351,70.9259707,Male,Punjab,2,0,1290,0
36,Government Boys Middle  School Basti Khirani   (Female),30.778351,70.9260007,Female,Punjab,0,2,0,1046
57,Government  High  School Kot Sultan   (Male),30.778351,70.9260307,Male,Punjab,3,0,1757,0
58,Government Girls High   School  Kot Sultan          (Female),30.778351,70.9260607,Female,Punjab,0,3,0,1597
59,Government Boys College Kot Sultan   (Male),30.778351,70.9260907,Male,Punjab,2,0,1173,0
60,Government Girls College Kot Sultan   (Female),30.778351,70.9261207,Female,Punjab,0,2,0,1093
61,Government Boys Middle  School No.2            Kot Sultan   (Female),30.778351,70.9261507,Female,Punjab,0,4,0,1587
62,Vocational Training Institute Kot Sultan   (Male),30.778351,70.9261807,Male,Punjab,4,0,2004,0
74,Government Boys Primary School Basti Sithar (Dera Iqbal)   (Combined),30.79596,71.07922,Combined,Punjab,2,1,842,705
97,Government Primary School  Basti Karkan wala Part-I   (Male),30.80366,70.95779,Male,Punjab,3,0,1232,0
109,Government Boys Secondary School Basti Cheena 397/TDA        (Combined),30.8077883,71.2520132,Combined,Punjab,2,1,657,461
111,Government Model Primary School 415/TDA.        (Combined),30.8077883,71.2520432,Combined,Punjab,2,1,628,479
112,Government Boys Primary School Chak No. 437/TDA        (Combined),30.8077883,71.2520732,Combined,Punjab,1,1,533,359
114,Government Boys Middle School 471/TDA        (Combined),30.8077883,71.2521032,Combined,Punjab,2,1,858,565
117,Government Boys High School 464/TDA        (Combined),30.8077883,71.2521332,Combined,Punjab,2,1,791,575
118,Government Girls Middle School 457/TDA        (Combined),30.8077883,71.2521632,Combined,Punjab,2,2,873,638
122,Government Boys Primary School 430/TDA        (Combined),30.8077883,71.2521932,Combined,Punjab,2,2,946,750
125,Government Girls High School 434/TDA        (Combined),30.8077883,71.2522232,Combined,Punjab,2,2,860,699
126,Government Girls Middle School 425/TDA        (Combined),30.8077883,71.2522532,Combined,Punjab,2,2,843,651
127,Government Boys Primary School 425-A/TDA        (Combined),30.8077883,71.2522832,Combined,Punjab,2,2,917,750
128,Government Girls Middle School 426-B/TDA        (Combined),30.8077883,71.2523132,Combined,Punjab,2,2,897,657
129,Government Girls Primary School 426/TDA Niazi Abad        (Combined),30.8077883,71.2523432,Combined,Punjab,2,2,944,667
45,Government Boys Primary School Bakhra    (Combined),30.81914,70.77451,Combined,Punjab,1,1,526,399
46,Government Boys Primary School (Bait Gaddi)   (Combined),30.81919,70.77433,Combined,Punjab,1,1,478,383
81,Government Boys Middle  School 168/TDA   (Combined),30.8198,71.0844,Combined,Punjab,1,1,637,512
80,Government Model Primary School 166/TDA (Senior Campus)   (Female),30.84263,71.09764,Female,Punjab,0,2,0,1019
78,Government Boys Primary School 164-A/TDA   (Combined),30.8443518,71.0710759,Combined,Punjab,1,1,750,644
