StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
111,Boys Primay School Sarsar Thokh (combined),30.42213963,70.26061565,Combined,Punjab,1,1,282,223
109,Boys Middle School Gatta Raikh (combined),30.43566,70.3187,Combined,Punjab,1,1,259,199
105,Boys Primary School Bun Ahmad Jalalani (combined),30.45826625,70.40079318,Combined,Punjab,1,1,244,239
110,Girls Primay School Phughlu (combined),30.46341814,70.2889973,Combined,Punjab,1,1,670,559
112,Boys Primay School Thul Marsar (combined),30.47727,70.28298,Combined,Punjab,1,1,639,605
108,Boys Primary School Azghnani Bun (combined),30.48885556,70.33106987,Combined,Punjab,1,1,386,349
120,Boys Primary School Gawasani Sarbal  (Basti Imam Bakhsh Janubi)  (Combined),30.4946188,70.24596229,Combined,Punjab,1,1,591,512
106,Boys Primary School Mahoi Chhorr (combined),30.5067,70.41255,Combined,Punjab,1,1,169,144
107,Boys Middle School Theekar (combined),30.52075221,70.31417083,Combined,Punjab,1,1,528,454
118,Boys Primary School- Khaima Marki (Combined),30.53281474,70.46914975,Combined,Punjab,1,1,519,400
119,Boys Primary School- Thalang Bun (Combined),30.54234,70.50741,Combined,Punjab,1,1,211,148
102,BOYS MIDDLE SCHOOL MAT CHAKRANI,30.54305,70.28084,Combined,Punjab,2,1,753,660
104,Boys Primary School Nalduf (combined),30.54559,70.37237,Combined,Punjab,1,1,686,571
99,BOYS PRIMARY SCHOOL KHANDAK SAR,30.5533,70.36446,Combined,Punjab,1,1,896,605
100,BOYS MIDDLE SCHOOL CHOIL,30.5589,70.35111,Combined,Punjab,1,1,521,455
97,GIRLS HIGH SCHOOL BARTHI,30.5714,70.37122,Combined,Punjab,1,1,651,552
98,GIRLS HIGH SCHOOL BARTHI,30.5714,70.37125,Combined,Punjab,1,1,574,523
103,BOYS PRIMARY SCHOOL GATA,30.57209,70.23734,Combined,Punjab,1,1,365,323
113,Boys Middle School Dombar Shumali (combined),30.57571,70.27377,Combined,Punjab,1,1,374,296
117,Boys Primary School- Daloo (Combined),30.58015,70.37276,Combined,Punjab,1,1,485,418
53,GIRLS HIGH SCHOOL MAKWAL KALAN PART (I),30.58312,70.73704,Combined,Punjab,1,1,547,415
54,GIRLS HIGH SCHOOL MAKWAL KALAN PART (II),30.58312,70.73707,Combined,Punjab,2,1,684,569
137,BOYS MIDDLE SCHOOL ZAIN,30.58318,70.46137,Combined,Punjab,1,1,486,316
139,BOYS PRIMARY SCHOOL DAHAR,30.60538,70.48882,Combined,Punjab,2,1,789,610
101,BOYS PRIMARY SCHOOL SEEMAR,30.60575,70.30618,Combined,Punjab,1,1,164,134
116,Boys Middle School Kalrachi (Combined),30.61938,70.38923,Combined,Punjab,1,1,361,294
115,Boys Primary School Dhagaywar(combined),30.62438611,70.36514529,Combined,Punjab,1,1,348,302
114,Boys Primary School Maila (combined),30.63215,70.25301,Combined,Punjab,1,1,381,305
61,GIRLS MIDDLE SCHOOL BINDI,30.645,70.70972,Combined,Punjab,1,1,454,401
62,BOYS PRIMARY SCHOOL AZIZ ABAD No.2,30.65556,70.74805,Combined,Punjab,1,1,135,99
40,BOYS HIGH SCHOOL HAIRO SHARQI,30.66342,70.7045,Combined,Punjab,2,1,778,653
138,BOYS PRIMARY SCHOOL THALLA THOKH,30.66909,70.4408,Combined,Punjab,1,1,287,187
59,BOYS MIDDLE SCHOOL DAIRA SHAH,30.67278,70.72861,Combined,Punjab,1,1,608,459
96,BOYS PRIMARY SCHOOL CHAH ZAMBO WALA,30.68198,70.64835,Combined,Punjab,2,1,844,561
136,BOYS PRIMARY SCHOOL SAMEEJ,30.68213,70.37516,Combined,Punjab,1,1,549,504
131,Boys High School Katchi Wanga (Combined),30.6914,70.26996,Combined,Punjab,2,1,708,600
74,GIRLS PRIMARY SCHOOL No.12 TAUNSA,30.69778,70.64249,Female,Punjab,0,2,0,1379
71,BOYS MIDDLE SCHOOL NO.3 TAUNSA PART(I),30.6978,70.64835,Male,Punjab,2,0,1023,0
73,BOYS MIDDLE SCHOOL No.3 TAUNSA PART (II),30.6978,70.64838,Male,Punjab,2,0,1566,0
85,GIRLS MODEL PRIMARY SCHOOL No.2 TAUNSA,30.69898,70.6528,Male,Punjab,2,0,1546,0
86,GIRLS MODEL PRIMARY SCHOOL No2  (MALE PORTION) TAUNSA,30.69898,70.65283,Female,Punjab,0,2,0,1370
76,GIRLS MIDDLE SCHOOL No.5 TAUNSA,30.69909,70.64379,Female,Punjab,0,2,0,905
78,GIRLS MIDDLE SCHOOL No.5  PART (II) TAUNSA,30.69909,70.64382,Female,Punjab,0,2,0,734
75,BOYS PRIMARY SCHOOL No2 TAUNSA PART (I),30.69971,70.64385,Male,Punjab,2,0,1099,0
77,BOYS PRIMARY SCHOOL No2  PART (II) TAUNSA,30.69971,70.64388,Male,Punjab,2,0,1030,0
81,BOYS MODEL MIDDLE SCHOOL TAUNSA PART (I),30.7014,70.65331,Male,Punjab,2,0,1184,0
83,BOYS MODEL MIDDLE SCHOOL PART (II) TAUNSA,30.7014,70.65334,Male,Punjab,2,0,1415,0
80,GIRLS PRIMARY SCHOOL KALO USMAN TAUNSA,30.70152,70.64035,Female,Punjab,0,2,0,749
72,GIRLS PRIMARY SCHOOL NO.7 TAUNSA,30.70167,70.64889,Female,Punjab,0,2,0,859
79,BOYS PRIMARY SCHOOL No.4 PART (II) TAUNSA,30.70167,70.64892,Male,Punjab,2,0,780,0
92,BOYS PRIMARY SCHOOL No.6 TAUNSA,30.70167,70.64895,Female,Punjab,0,2,0,405
70,OFFICE SOCIAL WELFARE TAUNSA,30.7025,70.65195,Female,Punjab,0,2,0,671
69,BOYS PRIMARY SCHOOL No.4 TAUNSA,30.70277,70.64624,Male,Punjab,2,0,781,0
95,OFFICE LIVE STOCK NEAR NADRA OFFICE TAUNSA,30.70306,70.65028,Male,Punjab,2,0,871,0
82,GIRLS HIGHER SECONDARY SCHOOL  PART (I) TAUNSA,30.70317,70.65153,Female,Punjab,0,2,0,1076
84,GIRLS HIGHER SECONDARY SCHOOL PART (II) TAUNSA,30.70317,70.65156,Female,Punjab,0,2,0,1278
65,MUNCIPAL COMMITTEE TAUNSA,30.70336,70.65242,Male,Punjab,2,0,1290,0
88,GIRLS COLLEGE TAUNSA PART(I),30.70354,70.65762,Female,Punjab,0,2,0,536
90,GIRLS COLLEGE TAUNSA PART (II),30.70354,70.65765,Female,Punjab,0,2,0,505
91,OFFICE SDO BUILDING TAUNSA (JANUBI PORTION),30.70361,70.64785,Male,Punjab,2,0,472,0
93,OFFICE SDO BUILDING TAUNSA (SHOMALI PORTION),30.70361,70.64788,Male,Punjab,2,0,857,0
87,BOYS HIGH SCHOOL TAUNSA PART(I),30.70464,70.6591,Male,Punjab,2,0,555,0
89,BOYS HIGH SCHOOL TAUNSA PART (II),30.70464,70.65913,Male,Punjab,2,0,567,0
68,GIRLS PRIMARY SCHOOL No.4 TAUNSA,30.70624,70.64247,Female,Punjab,0,2,0,744
67,OFFICE SDO HIGH WAY TAUNSA,30.70695,70.63857,Male,Punjab,2,0,843,0
66,BOYS PRIMARY SCHOOL MOJAWAR WALI TAUNSA,30.70722,70.65222,Female,Punjab,0,2,0,1169
133,BOYS PRIMARY SCHOOL AROA,30.71809,70.22955,Combined,Punjab,1,1,673,528
135,BOYS PRIMARY SCHOOL MURANJ,30.72142,70.35754,Combined,Punjab,1,1,302,272
132,BOYS PRIMARY SCHOOL KHORALI,30.72423,70.2849,Combined,Punjab,1,1,239,185
49,BOYS PRIMARY SCHOOL JHOK QAZI,30.72731,70.6408,Combined,Punjab,1,1,630,481
130,BOYS MIDDLE SCHOOL BAN DHOOLA (Combined),30.73552,70.25652,Combined,Punjab,1,1,642,529
134,BMP POST JHINDI,30.74428641,70.16737762,Combined,Punjab,1,1,221,135
27,BOYS PRIMARY SCHOOL MEERAN GHARPAIN,30.74461,70.55411,Combined,Punjab,2,1,833,673
122,Boys Primary School Gangayali (Combined),30.74771,70.36404,Combined,Punjab,1,1,218,184
123,Office of the Agriculture Department at Korr (Combined),30.75253,70.32877,Combined,Punjab,1,1,192,159
25,BOYS MIDDLE SCHOOL ASHRAF ABAD,30.75839,70.75491,Combined,Punjab,1,1,547,425
121,Girls Middle School Fazla Katch (Combined),30.77024,70.3176,Combined,Punjab,1,1,718,562
124,Girls Primary School- Kalimarr (Combined),30.77394,70.29893,Combined,Punjab,1,1,704,638
129,Boys Primary School Manka Shumali (Mithwani Qalat) (Combined),30.79666,70.24381,Combined,Punjab,1,1,530,441
128,Boys Primary School Drohi (Combined),30.79775,70.26768,Combined,Punjab,1,1,163,138
126,Boys Primary School Teih (Combined),30.80327,70.29336,Combined,Punjab,1,1,111,76
125,Boys Primary School Chanala (Combined),30.81128,70.29604,Combined,Punjab,1,1,420,353
127,Boys Primary School Qutba (Combined),30.81672,70.25007,Combined,Punjab,1,1,145,115
4,GIRLS MIDDLE SCHOOL NARI JANUBI (COMBINED),30.82941,70.66925,Combined,Punjab,2,2,1337,1134
6,GIRLS PRIMARY SCHOOL NARI SHOMALI,30.84672,70.67196,Combined,Punjab,2,1,733,609
7,GIRLS PRIMARY SCHOOL JAT WALA,30.86747,70.68246,Combined,Punjab,2,1,794,549
