StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
125,Government Boys Primary School Kachi Khan Muhammad,28.80303,70.37515,Combined,Punjab,2,1,523,395
124,Government Boys Primary School Basti Muhammad Akram Machka,28.862552029668226,70.33594515557,Combined,Punjab,2,1,513,401
123,Government Boys Primary School Machka,28.87644386867998,70.31405302029751,Combined,Punjab,2,2,977,761
121,Government Boys Primary School Mad Sain dad,28.89278,70.32526,Combined,Punjab,2,1,942,748
117,Government Girls Primary School Kotla Murtaza Shah,28.90270506448539,70.25246698679736,Combined,Punjab,2,2,716,593
118,Government Model Primary School Kotla Murtaza Shah,28.90278,70.25361,Combined,Punjab,2,1,666,591
115,Government Girls High School Murghai,28.913303940387745,70.26788048925087,Female,Punjab,0,2,0,851
116,Government Girls High School Murghai,28.913303940387745,70.2679104892509,Female,Punjab,0,3,0,894
120,Government Boys Primary School Mud Molvi,28.915579225466075,70.31665655721169,Combined,Punjab,2,1,626,444
114,Government Boys Primary School Jadeed Mosyani,28.91583,70.27639,Male,Punjab,2,0,1092,0
113,Government Boys High School Murghai,28.915949018070478,70.26543985985835,Male,Punjab,4,0,1127,0
122,Government Boys Primary School Ghulam Qadir Jatoi,28.91614,70.26818,Combined,Punjab,1,1,279,208
112,Government Boys Primary School Kotla Gaday Shah,28.927686762990746,70.27014844957407,Combined,Punjab,2,1,770,547
119,Government Boys Primary School Kotla Said Khan,28.932759329877168,70.30842060638454,Combined,Punjab,2,1,833,612
111,Government Boys Primary School Mud Machi,28.9399950200245,70.27641557899543,Combined,Punjab,2,2,754,567
129,Government Boys Primary School Basti Phali,28.944769450367584,70.32475750021563,Combined,Punjab,2,1,672,557
109,Government Model Primary School Kotla Hussain,28.94611,70.36166,Female,Punjab,0,2,0,773
107,Government Boys TCF Miani Malahaan,28.947348190529862,70.36810298060426,Male,Punjab,3,0,832,0
130,Government Boys Primary School Basti Qadu Khan,28.949933053702875,70.35374274220963,Male,Punjab,3,0,920,0
98,Government Girls Primary School Miani Malahan,28.95454511198936,70.36826146628344,Female,Punjab,0,3,0,1381
106,Government Girls Primary School Gano Khani,28.95583,70.36166,Male,Punjab,2,0,1153,0
127,Government Boys Primary School Miani Jattan,28.956001015083267,70.31312014055955,Combined,Punjab,2,2,583,413
131,Government Girls Primary School Faridiya Kot Mithan,28.958513459266513,70.35592716302075,Female,Punjab,0,2,0,530
95,Government Girls Primary School No.4 Kot Mithan,28.958769249371546,70.36377846166745,Female,Punjab,0,3,0,1539
104,Government Girls Primary School Basti Mohib Ali,28.958938703831883,70.37366111860948,Combined,Punjab,2,1,576,522
101,Government Boys Elementary School Mohib Ali,28.95957028375948,70.37524254622477,Combined,Punjab,2,2,805,719
