StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
90,Government Boys Primary School Khadim Hussain Punjabi,28.43840196738139,69.88833241172951,Combined,Punjab,2,2,1209,896
106,Government Girls Primary School Baghon wala,28.44108,69.71357,Combined,Punjab,2,2,956,788
92,Government Boys Primary School Dars Usman,28.44546,69.89494,Female,Punjab,0,3,0,1262
86,Government Boys Primary School Abdul Raheem Mehmood Miani,28.445833740103613,69.93625248966912,Combined,Punjab,2,1,1006,616
91,Government Boys Primary School Kacha Razi Basti Gul Mohamamd Balachani,28.450689525668306,69.90494002300987,Male,Punjab,3,0,2037,0
105,Government Primary School Shahzad Model Farm Basti Sher Khan,28.45866,69.67587,Combined,Punjab,2,1,966,747
85,Union Council Office Soonmiani,28.47276016195032,69.94761431469021,Combined,Punjab,2,2,1129,808
83,Government Boys High School Soonmiani,28.476091713562685,69.94392373330516,Male,Punjab,4,0,1819,0
84,Government Boys High School Soon Miani,28.476091713562685,69.9439537333052,Female,Punjab,0,4,0,1406
88,Government Boys Primary School  Shah Dost Basti Dhani Bux,28.48040637569176,69.9100990348496,Combined,Punjab,2,2,1276,934
93,Improvised at Maktab School Basti Nasrullah Dhandu,28.4868,69.91356,Combined,Punjab,2,1,1158,657
97,Government Boys Primary School Basti Hafiz Nawaz Chiragh Shah,28.49042,69.92592,Combined,Punjab,1,1,630,263
87,Government Boys Primary School Shahmeer Dregh,28.49493100788491,69.96274861658802,Combined,Punjab,2,2,1261,865
94,Union Council Office Shahwali,28.50066,69.73412,Male,Punjab,3,0,1652,0
95,Government Boys High School Shah Wali H.H Shaikh Khalifa Bin Zaid,28.50271,69.733,Female,Punjab,0,4,0,2447
96,Government Boys High School Shah Wali,28.50271,69.73303,Male,Punjab,3,0,1338,0
108,Government Boys Primary School Sher Jan,28.50384,69.50675,Combined,Punjab,1,1,127,170
71,Govenment Primary School Sher Jan No. 1,28.50384,69.50678,Female,Punjab,0,3,0,1039
107,Government Boys High School Mazari Goth,28.5056,69.49215,Combined,Punjab,2,2,986,683
89,Government Boys Primary School Basti Thath,28.518457974655824,69.92661759121421,Combined,Punjab,2,1,1331,897
101,Government Boys Primary School Basti Baloch,28.52342,69.72337,Combined,Punjab,1,1,672,275
60,Government Boys Elementary School Nabi Shah,28.529641038170507,69.96236975345836,Combined,Punjab,2,1,891,614
