StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
84,Govt.Girls H/S Langay(Male),32.43348,73.91891,Male,Punjab,3,0,1372,0
78,Govt. Model  P/S Chak Gill(Female),32.43566,73.89286,Female,Punjab,0,2,0,660
79,Govt. Model  P/S Chak Gill(Male),32.43566,73.89289,Male,Punjab,2,0,880,0
85,Govt.Boys P/S Langay(Female),32.44738,73.90012,Female,Punjab,0,2,0,1056
80,Govt. Girls E/ S School- Chakrian(Combined),32.44748,73.88076,Combined,Punjab,1,1,431,349
81,Govt. Girls E/ S School- Chakrian(Combined),32.44748,73.88079,Combined,Punjab,2,2,1001,764
88,Govt.Girls H/S Khojiawali- (Combined),32.44939,73.92308,Combined,Punjab,2,1,559,321
89,Govt.Girls H/S Khojiawali-  (Male),32.44939,73.92311,Male,Punjab,2,0,799,0
90,Govt.Girls H/S Khojiawali- (Female),32.44939,73.92314,Female,Punjab,0,2,0,564
86,Govt.Boys High School Khojianwali- Combined (South Side) (Male),32.44998,73.92933,Male,Punjab,3,0,1417,0
87,Govt.Boys High School Khojianwali- (South Side)  (Female),32.44998,73.92936,Female,Punjab,0,2,0,1013
82,Govt. Rizwia High School- Langay-(Combined),32.45103,73.90936,Combined,Punjab,2,1,835,665
83,Govt. Rizwia High School- Langay-(Combined),32.45103,73.90939,Combined,Punjab,2,1,357,253
115,Govt.Girls  Community  Model School Golike- (Female),32.45995,73.94935,Female,Punjab,0,2,0,765
116,Govt.Girls  Community  Model School Golike- (Male),32.45995,73.94938,Male,Punjab,2,0,933,0
117,Govt.Girls HSS Golike(Combined),32.45995,73.94941,Combined,Punjab,1,1,541,444
118,Govt.Girls HSS Golike(Combined),32.45995,73.94944,Combined,Punjab,1,1,377,289
119,Govt HSS Golike primary portion- Combined,32.45995,73.94947,Combined,Punjab,1,1,529,429
120,Govt Girls E/S Dharowala(Male),32.46707,73.96304,Male,Punjab,2,0,1209,0
121,Govt Girls E/S Dharowala(Female),32.46707,73.96307,Female,Punjab,0,2,0,986
122,Govt Boys P/S Dharowala(Combined),32.46707,73.9631,Combined,Punjab,2,2,948,721
128,Govt Boys E/S Kot Qutab Din(Combined),32.46745,73.99922,Combined,Punjab,2,1,824,685
129,Govt Girls E/S Kot Qutab Din(Combined),32.46745,73.99925,Combined,Punjab,2,2,775,315
130,Govt Girls E/S Kot Qutab Din(Combined),32.46745,73.99928,Combined,Punjab,1,1,373,521
100,Govt.Model   P/S Dommianwali- Combined,32.47539,73.86456,Combined,Punjab,1,1,677,586
153,Govt. Samia Noreen Shaheed Girls E/S Rajeke Sharif- Combined,32.47571,73.85674,Combined,Punjab,2,1,765,604
101,Govt.Model  P/S Ishra- Combined,32.47878,73.93761,Combined,Punjab,2,1,832,588
126,Govt Girls H/S Jasookey(Combined),32.47897,73.97961,Combined,Punjab,2,1,798,617
142,Govt Boys H/S Kang Channan(Combined),32.47964,73.8362,Combined,Punjab,1,1,909,705
108,Govt.Girls E/S Dalia- Combined,32.48004,73.94005,Combined,Punjab,1,1,781,610
123,Govt Boys H/S Qasim abad Chuamal(Combined),32.48043,74.01066,Combined,Punjab,2,1,929,719
124,Govt Girls E/S Qasim abad (Tahli Sahib)(Combined),32.48043,74.01069,Combined,Punjab,2,1,835,657
150,Govt Boys P/S Kang Sehari(Combined),32.48054,73.84126,Combined,Punjab,1,1,669,503
152,Govt Girls H/S Kang Sehali(Combined),32.48054,73.84129,Combined,Punjab,1,1,591,508
151,Govt. Boys P/S Ghakaki(Combined),32.48172,73.78937,Combined,Punjab,1,1,464,391
127,Govt. Model P/S Sadoki(Combined),32.48307,73.99145,Combined,Punjab,1,1,476,366
174,Govt. Boys P/S Saddoke(Combined),32.48307,73.99148,Combined,Punjab,1,1,318,276
102,Govt.Girls H/S Jheeranwali(Male),32.48954,73.97753,Male,Punjab,2,0,1053,0
103,Govt.Girls H/S Jheeranwali(Female),32.48954,73.97756,Female,Punjab,0,2,0,845
104,Govt.Boys H/S Jheeranwali(Combined),32.48954,73.97759,Combined,Punjab,1,1,793,595
105,Govt.Girls H/S Jheeranwali(Combined),32.48954,73.97762,Combined,Punjab,2,2,354,321
