StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
9,Govt. Model Primary School Bhola(Combined),32.5935682,74.0713194,Combined,Punjab,1,1,656,509
10,Govt. Model P/S Umer Chak (Combined),32.5935682,74.0713494,Combined,Punjab,1,1,637,556
1,Boys E/S School - Kotla Qasim Khan(Combined),32.5935682,74.0713794,Combined,Punjab,2,1,803,654
12,Govt. Boys E/S- Kotla Qasim Khan(Combined),32.5935682,74.0714094,Combined,Punjab,2,1,711,511
2,Govt. Girls P/S Kotla Sarang Khan (Combined),32.5935682,74.0714394,Combined,Punjab,2,1,737,582
3,Boys Middle School- Kotla Sarang Khan(Combined),32.5935682,74.0714694,Combined,Punjab,2,1,798,615
4,Govt. Girls H/S Kotla Qasim Khan (Combined),32.5935682,74.0714994,Combined,Punjab,2,1,874,763
11,Govt.Girls High  School- Kotla Qasim Khan(Combined),32.5935682,74.0715294,Combined,Punjab,2,1,543,426
5,Girls Middle School Paswal(Combined),32.5935682,74.0715594,Combined,Punjab,2,1,872,761
7,Govt. Model Primary School Jalal Din(Combined),32.5935682,74.0715894,Combined,Punjab,1,1,563,439
8,Govt. Girls  P/S Siprai(Combined),32.5935682,74.0716194,Combined,Punjab,1,1,500,427
6,Govt Model Primary School Sukh Chainan(Combined),32.6032204,74.0448838,Combined,Punjab,2,1,867,691
129,Govt. Girls High School Bhalot Makhdoom (Combined),32.65806,73.82361,Combined,Punjab,2,1,581,456
116,Boys Primary School Beknanwala(Combined),32.66167,73.74694,Combined,Punjab,1,1,479,443
115,Govt. Girls Primary School Beknanwala(Combined),32.66389,73.74667,Combined,Punjab,2,1,806,621
71,Govt. Model P/S Rakh Dand (Combined),32.66639,73.84056,Combined,Punjab,1,1,461,357
169,Boys Primary School Mandir  (Male),32.666601,73.9688611,Male,Punjab,3,0,1488,0
170,Boys Primary School Mandir (Female),32.666601,73.9688911,Female,Punjab,0,3,0,1386
69,Govt. Boys P/S Bohar Wala Jotra(Combined),32.66695,73.83055,Combined,Punjab,1,1,577,466
59,Govt. High School Karariwala Khurd(Combined),32.68472,73.78056,Combined,Punjab,2,2,899,776
60,Govt. Girls High School Karariwala Kalan(Combined),32.68472,73.78059,Combined,Punjab,2,2,1106,913
55,Govt. Model Primary School Attowala(Combined),32.71695,73.79056,Combined,Punjab,2,1,1087,1020
88,Govt. Model Primary Chhamber(Combined),32.7375,73.70166,Combined,Punjab,2,1,790,596
39,Govt. Girls P/S Nagrian(Combined),32.73833,73.76972,Combined,Punjab,1,1,372,309
33,Boys Primary School Kolian Habib(Combined),32.76361,73.79806,Combined,Punjab,2,1,749,642
151,Girls High School Dhoria(Combined),32.90746015117109,74.01428995360263,Combined,Punjab,2,2,822,743
152,Girls High School Dhoria (Male),32.90746015117109,74.0143199536026,Male,Punjab,2,0,1194,0
